element_type,osmid,man_made,surveillance:type,surveillance:zone,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,source,email,opening_hours,access,amenity,name,contact:email,contact:fax,contact:phone,contact:website,fee,operator,parking,capacity,addr:housename,ref,level,alt_name,phone,short_name,wikidata,wikipedia,layer,disused:shop,building,name:de,name:en,addr:suburb,check_date,surveillance,tourism,note,drive_through,nodes,building:levels,building:material,roof:shape,old_name,roof:colour,roof:levels,branch,brand,brand:wikidata,brand:wikipedia,leisure,building:colour,office,capacity:disabled,wheelchair:description,height,shop,website,cuisine,takeaway,smoking,check_date:opening_hours,gambling,description,historic,start_date,recycling_type,fixme,roof:type,noaddress,club,sport,sport:league,official_name,roof:angle,building:part,fax,craft,lastcheck,opening_hours:office,architect,architect:wikidata,building:architecture,heritage,heritage:operator,heritage:ref,image,brothel:eros_center,drink:club-mate,wheelchair:entrance_width,wheelchair:step_height,roof:height,railway,roof:material,source:height,wikimedia_commons,breakfast,internet_access,internet_access:fee,service_times,stars,opening_hours:url,healthcare,healthcare:speciality,nohousenumber,asb,note:de,onkz,operator:wikidata,operator:wikipedia,telecom,biergarten,brewery,diet:vegetarian,outdoor_seating,reservation,toilets:wheelchair,self_checkout,diet:halal,diet:kosher,diet:vegan,compressed_air,repair,sale,coffee,opening_hours:signed,indoor_seating,operator:type,note:building_type,subject:wikidata,subject:wikipedia,roof,building:architect,construction_date,roof:orientation,automated,self_service,min_height,min_level,air_conditioning,description:de,service,payment:cash,material,shooting,power,frequency,location,building:min_level,corridor,organic,delivery,name:es,name:ru,name:zh,rooms,beer_garden,building:use,note2,opening_hours:phone,contact:facebook,building:levels:underground,roof:direction,contact:instagram,contact:linkedin,contact:twitter,contact:youtube,second_hand,ways,type,int_name
way,599834311,,,,"POLYGON ((11.6054857 48.1241139, 11.6058257 48.1242828, 11.6058566 48.1242982, 11.6058757 48.124281, 11.6059601 48.1242052, 11.6061619 48.1240241, 11.6061674 48.1240191, 11.6057894 48.1238315, 11.6054857 48.1241139))",,,,,,,,,,,,Werk 12,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5705465474, 7023504454, 6895515744, 7023504453, 7058419005, 7023504452, 5705465476, 9103618813, 5705465474]",5,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,613818144,,,,"POLYGON ((11.5357368 48.1878556, 11.5352298 48.1878934, 11.5351999 48.1877042, 11.535536 48.1876813, 11.5355393 48.1877012, 11.5357095 48.1876888, 11.5357368 48.1878556))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5807039067, 5807039075, 5807039078, 5807039074, 5807039070, 4625043581, 5807039067]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,613818145,,,,"POLYGON ((11.5352298 48.1878934, 11.5346837 48.1879318, 11.5346538 48.1877426, 11.5351999 48.1877042, 11.5352298 48.1878934))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5807039075, 5807039076, 5807039077, 5807039078, 5807039075]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,621806585,,,,"POLYGON ((11.6713961 48.1231137, 11.6714625 48.1230884, 11.6717618 48.1229743, 11.6717417 48.1229508, 11.671826 48.1229187, 11.6719807 48.1230996, 11.6718509 48.123149, 11.6716853 48.1232121, 11.6715307 48.1232711, 11.6713961 48.1231137))",München,DE,2,81825,Hafelhofweg,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5874070018, 5874070019, 10000110209, 10000110208, 5874070023, 5874070020, 8479438208, 8479438210, 5874070025, 5874070018]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,631908323,,,,"POLYGON ((11.5046014 48.14625, 11.5045673 48.1460947, 11.5040961 48.1461415, 11.5041301 48.146296, 11.5046014 48.14625))",,,29,,Christoph-Rapparini-Bogen,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5966828236, 5966828235, 5966828234, 5966828233, 5966828236]",7,,flat,,,,,,,,,#558855,,,,24,,,,,,,,,,,,Umriss nach (schrägem) Esri. Nach neuem M60 korrigieren,,,,,,,,,,,,,,,,,,,,,,,,,,tar_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,635137341,,,,"POLYGON ((11.4268141 48.1876751, 11.4260324 48.1875909, 11.4260777 48.1874039, 11.4268594 48.1874881, 11.4268141 48.1876751))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[5992108692, 5992108693, 5992108694, 5992108695, 5992108692]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,637998476,,,,"POLYGON ((11.5550077 48.1919525, 11.5554385 48.1916832, 11.5565587 48.1924798, 11.5560701 48.1927851, 11.5558199 48.1926072, 11.5557639 48.1926413, 11.5556093 48.1927379, 11.5546753 48.1920737, 11.5548231 48.1919813, 11.554894 48.1920317, 11.5549497 48.1919929, 11.5550077 48.1919525))",München,,7,80935,Lemgostraße,,,,,,,BMW Kompetenzzentrum Batteriezelle - Geb. 070.0,,,+49 89 3820,https://www.bmwgroup.com/de/general/anfahrt-kompetenzzentrum-batteriezelle.html,,BMW Group,,,,,,,,,,,,,commercial,,,,,,,,,"[6013803844, 6013803843, 6013803842, 6013803841, 7367411084, 6013803838, 6013803837, 6013803850, 6013803849, 7367411085, 7367355767, 6013803844]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,640503061,,,,"POLYGON ((11.666859 48.1324786, 11.6669843 48.1326621, 11.6672383 48.1325848, 11.6671638 48.1324757, 11.6670165 48.1325205, 11.6669658 48.1324462, 11.666859 48.1324786))",,,,,,,,,,,,Merkl,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[6033802779, 6033802780, 6033802781, 6033802782, 6033802783, 6033802784, 6033802779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,643899059,,,,"POLYGON ((11.5032558 48.0911562, 11.5032725 48.0906197, 11.5046166 48.0906384, 11.5046102 48.0908449, 11.5040576 48.0908372, 11.5040473 48.0911673, 11.5032558 48.0911562))",München,,37,81477,Drygalski-Allee,,,,,,,Jaguar Land Rover - British Cars,,,,,,AUTO BIERSCHNEIDER BRITISH CARS GMBH & CO. KG,,,,,,,,,,,,,commercial,,,,,,,,,"[6058362706, 6058362705, 6058362704, 6058362703, 6058362702, 6058362701, 6058362706]",3,,flat,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,659124029,,,,"POLYGON ((11.6180004 48.1102785, 11.6180146 48.1102413, 11.6180271 48.1102084, 11.6178664 48.1101811, 11.6178408 48.1102481, 11.6177254 48.1105506, 11.6176746 48.1106838, 11.6176583 48.1107264, 11.6176453 48.1107606, 11.617806 48.110788, 11.617819 48.1107539, 11.6178785 48.1105979, 11.6180004 48.1102785))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,"[6960857106, 6960857109, 1074168668, 1074168684, 6905705548, 6905705549, 6905705545, 6171136097, 1493574026, 1493574062, 6171136098, 6888700399, 6960857106]",4,,flat,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
