element_type,osmid,addr:city,addr:country,addr:postcode,addr:street,geometry,addr:housenumber,entrance,source,fixme,addr:suburb,level,wheelchair,name,wikidata,amenity,wikimedia_commons,architect,heritage,heritage:operator,heritage:ref,image,note,description,wikipedia,roof:colour,opening_hours,building,nodes,building:levels,roof:levels,roof:shape,building:min_level,capacity,layer,operator,building:colour,addr:housename,start_date,height,roof:angle,disused:military,historic,location,old_start_date,roof:height,protect_class,website,area,BLfD:criteria,est_height,ref:BLfD,roof:material,architect:wikidata,building:architecture,roof:orientation,indoor_seating,outdoor_seating,phone,3dr:alpha1,3dr:type,building:levels:underground,noname,building:material,building:flats,smoking,nohousenumber,building:use,denomination,religion,roof:direction,contact:website,building:roof,building:part,source_ref,source:geometry,type,ways
way,30076511,,,,,"POLYGON ((11.5160948 48.13057, 11.5161946 48.1306337, 11.5160939 48.130704, 11.516044 48.1306721, 11.5159941 48.1306402, 11.5160948 48.13057))",,,,,,,,,,,,,,,,,,,,,,residential,"[331277344, 331277349, 331277355, 347603889, 331277360, 331277344]",,,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076512,,,,,"POLYGON ((11.5162718 48.1306833, 11.5161704 48.130754, 11.516234 48.1307947, 11.5162977 48.1308353, 11.5163991 48.1307646, 11.5162718 48.1306833))",,,,,,,,,,,,,,,,,,,,,,residential,"[331277366, 331277370, 347603885, 331277375, 331277380, 331277366]",,,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076513,,,,,"POLYGON ((11.5159278 48.1304623, 11.5158249 48.1305304, 11.5158729 48.1305627, 11.5159209 48.130595, 11.5160237 48.130527, 11.5159278 48.1304623))",,,,,,,,,,,,,,,,,,,,,,residential,"[331277389, 331277396, 347603893, 331277405, 331277409, 331277389]",,,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076526,,,,,"POLYGON ((11.5152378 48.1310313, 11.5150541 48.1310793, 11.5152021 48.1313317, 11.5152234 48.1313262, 11.5152985 48.1314542, 11.5154848 48.1314055, 11.5154449 48.1313374, 11.5154067 48.1312724, 11.5153829 48.1312787, 11.515345 48.1312141, 11.5152763 48.1310969, 11.5152378 48.1310313))",,,,,,,,,,,,,,,,,,,,,,residential,"[331277477, 331277479, 4442604050, 4442604049, 331277480, 331277483, 2455667789, 4442604043, 4442604044, 2455667788, 2455667797, 331277477]",2,1,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076643,,,,,"POLYGON ((11.5149716 48.1294329, 11.5149386 48.1293392, 11.5149263 48.1293411, 11.5149171 48.1293151, 11.5147647 48.129339, 11.5147821 48.1293887, 11.5148036 48.1294498, 11.5148068 48.1294587, 11.5148932 48.1294452, 11.5149716 48.1294329))",,,,,,,,,,,,,,,,,,,,,,residential,"[331278354, 2677580704, 2677580706, 331278355, 331278356, 7256525371, 7256525372, 331278357, 344723211, 331278354]",,,hipped,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076644,,,,,"POLYGON ((11.5152252 48.1296648, 11.5151975 48.129575, 11.515141 48.1295828, 11.5150418 48.1295964, 11.5150694 48.1296861, 11.5152252 48.1296648))",,,,,,,,,,,,,,,,,,,,,,residential,"[331278358, 331278359, 344723216, 331278360, 331278361, 331278358]",,,hipped,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076645,,,,,"POLYGON ((11.5149557 48.1296835, 11.514932 48.1296136, 11.514866 48.1296235, 11.514804 48.1296329, 11.5148276 48.1297028, 11.5149557 48.1296835))",,,,,,,,,,,,,,,,,,,,,,residential,"[331278362, 331278363, 344723215, 331278364, 331278365, 331278362]",,,hipped,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076646,,,,,"POLYGON ((11.5149983 48.1303472, 11.5148368 48.1303712, 11.5148655 48.1304571, 11.5149416 48.1304458, 11.5150269 48.1304331, 11.5149983 48.1303472))",,,,,,,,,,,,,,,,,,,,,,residential,"[331278366, 331278369, 331278370, 2441474614, 331278371, 331278366]",2,2,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076647,,,,,"POLYGON ((11.5149691 48.1302769, 11.5149464 48.1302115, 11.5149411 48.1301963, 11.5147885 48.1302199, 11.5147995 48.1302516, 11.5148164 48.1303004, 11.5149023 48.1302872, 11.5149691 48.1302769))",,,,,,,,,,,,,,,,,,,,,,residential,"[331278372, 7256413244, 331278373, 331278374, 344723235, 331278375, 7256413243, 331278372]",1,2,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30076648,,,,,"POLYGON ((11.5149427 48.1301391, 11.5149102 48.1300435, 11.514734 48.1300702, 11.5147494 48.1301155, 11.5147665 48.1301658, 11.5149427 48.1301391))",,,,,,,,,,,,,,,,,,,,,,residential,"[331278376, 331278378, 331278379, 344723234, 331278380, 331278376]",2,1,gabled,,,,,,,,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
