osmid,y,x,street_count,highway,ref,geometry
132137,48.1457497,11.4223384,3,,,POINT (11.4223384 48.1457497)
132140,48.1428488,11.4237995,4,,,POINT (11.4237995 48.1428488)
132142,48.142046,11.4180459,3,,,POINT (11.4180459 48.142046)
132143,48.1432981,11.4176829,4,,,POINT (11.4176829 48.1432981)
132147,48.1435195,11.4210811,3,,,POINT (11.4210811 48.1435195)
132148,48.1437859,11.4175457,3,,,POINT (11.4175457 48.1437859)
146607,48.2266956,11.5500575,3,motorway_junction,11,POINT (11.5500575 48.2266956)
147042,48.1045127,11.5824343,4,,,POINT (11.5824343 48.1045127)
147044,48.1069315,11.5801394,3,motorway_junction,,POINT (11.5801394 48.1069315)
147050,48.1118806,11.5730996,3,,,POINT (11.5730996 48.1118806)
147056,48.1129642,11.5647595,3,motorway_junction,,POINT (11.5647595 48.1129642)
147062,48.1118298,11.5451633,3,,,POINT (11.5451633 48.1118298)
147065,48.1107507,11.5415389,3,motorway_junction,,POINT (11.5415389 48.1107507)
147066,48.1106261,11.5405693,3,motorway_junction,,POINT (11.5405693 48.1106261)
147076,48.11165,11.5174322,3,,,POINT (11.5174322 48.11165)
147086,48.1245878,11.5128173,3,motorway_junction,39,POINT (11.5128173 48.1245878)
147140,48.1360077,11.4245266,4,,,POINT (11.4245266 48.1360077)
147143,48.1372528,11.4270399,3,,,POINT (11.4270399 48.1372528)
234818,48.1485074,11.425713,4,,,POINT (11.425713 48.1485074)
234819,48.1496464,11.4250201,4,,,POINT (11.4250201 48.1496464)
234821,48.1518052,11.4236824,4,,,POINT (11.4236824 48.1518052)
234822,48.1486816,11.4210185,3,,,POINT (11.4210185 48.1486816)
234823,48.1509142,11.4202106,3,,,POINT (11.4202106 48.1509142)
236823,48.1246178,11.5134906,3,,,POINT (11.5134906 48.1246178)
236827,48.1282686,11.5248237,3,,,POINT (11.5248237 48.1282686)
236829,48.1255677,11.502992,4,,,POINT (11.502992 48.1255677)
236830,48.1260413,11.5030086,4,,,POINT (11.5030086 48.1260413)
236833,48.1121884,11.502421,4,,,POINT (11.502421 48.1121884)
236835,48.1428608,11.5044017,3,,,POINT (11.5044017 48.1428608)
236836,48.1426711,11.5074585,3,,,POINT (11.5074585 48.1426711)
236842,48.1420601,11.5344311,3,motorway_junction,,POINT (11.5344311 48.1420601)
236847,48.1505134,11.5371011,3,,,POINT (11.5371011 48.1505134)
236849,48.1538332,11.5372106,4,,,POINT (11.5372106 48.1538332)
236851,48.1540081,11.5397703,3,,,POINT (11.5397703 48.1540081)
236852,48.1536326,11.5390944,4,,,POINT (11.5390944 48.1536326)
236858,48.1151839,11.4803214,3,,,POINT (11.4803214 48.1151839)
236859,48.1154942,11.4773294,4,,,POINT (11.4773294 48.1154942)
236861,48.1145586,11.4654794,3,,,POINT (11.4654794 48.1145586)
245333,48.1523624,11.5399711,4,,,POINT (11.5399711 48.1523624)
245334,48.1478009,11.5277909,4,traffic_signals,,POINT (11.5277909 48.1478009)
245339,48.1463786,11.5357006,4,,,POINT (11.5357006 48.1463786)
245340,48.1464339,11.5347744,3,,,POINT (11.5347744 48.1464339)
245344,48.1510866,11.5196614,3,,,POINT (11.5196614 48.1510866)
245353,48.1463343,11.5362595,4,,,POINT (11.5362595 48.1463343)
245356,48.1482372,11.5364781,3,,,POINT (11.5364781 48.1482372)
245360,48.1530474,11.5334503,4,,,POINT (11.5334503 48.1530474)
245363,48.1544444,11.5369204,3,,,POINT (11.5369204 48.1544444)
245372,48.1434527,11.4994695,3,,,POINT (11.4994695 48.1434527)
245375,48.145174,11.4796954,3,,,POINT (11.4796954 48.145174)
245377,48.146275,11.465282,4,,,POINT (11.465282 48.146275)
245380,48.1470414,11.4570516,3,,,POINT (11.4570516 48.1470414)
245388,48.1568328,11.4577127,3,,,POINT (11.4577127 48.1568328)
245389,48.1578509,11.4576037,3,,,POINT (11.4576037 48.1578509)
245397,48.1648526,11.457781,3,,,POINT (11.457781 48.1648526)
245399,48.1647716,11.4631066,4,,,POINT (11.4631066 48.1647716)
245400,48.1647614,11.4673213,3,,,POINT (11.4673213 48.1647614)
245402,48.1645971,11.4731435,3,,,POINT (11.4731435 48.1645971)
245408,48.1653188,11.491863,3,,,POINT (11.491863 48.1653188)
245412,48.1645296,11.5026552,4,,,POINT (11.5026552 48.1645296)
245414,48.1640669,11.5063585,3,,,POINT (11.5063585 48.1640669)
245415,48.1637759,11.5070978,4,,,POINT (11.5070978 48.1637759)
245421,48.1439334,11.4317167,3,,,POINT (11.4317167 48.1439334)
246408,48.1349897,11.5339943,4,,,POINT (11.5339943 48.1349897)
246420,48.1059556,11.508511,3,motorway_junction,2,POINT (11.508511 48.1059556)
267718,48.1235567,11.4738659,3,motorway_junction,37,POINT (11.4738659 48.1235567)
267723,48.1237123,11.4741701,3,,,POINT (11.4741701 48.1237123)
267735,48.1248196,11.4950841,3,,,POINT (11.4950841 48.1248196)
273158,48.1813987,11.4321722,3,,,POINT (11.4321722 48.1813987)
273159,48.1792081,11.4354778,3,,,POINT (11.4354778 48.1792081)
273161,48.1720528,11.4461273,3,,,POINT (11.4461273 48.1720528)
273165,48.1830339,11.4299722,3,,,POINT (11.4299722 48.1830339)
273171,48.1665944,11.4538489,4,,,POINT (11.4538489 48.1665944)
273173,48.1661131,11.4547348,4,,,POINT (11.4547348 48.1661131)
273178,48.1665771,11.4553894,3,,,POINT (11.4553894 48.1665771)
273185,48.1651968,11.4565592,4,,,POINT (11.4565592 48.1651968)
273186,48.1653824,11.4567668,4,,,POINT (11.4567668 48.1653824)
273188,48.1637876,11.4560579,3,,,POINT (11.4560579 48.1637876)
273190,48.1645285,11.4541205,4,,,POINT (11.4541205 48.1645285)
273191,48.1651897,11.4538772,3,,,POINT (11.4538772 48.1651897)
274576,48.1602452,11.4020763,3,,,POINT (11.4020763 48.1602452)
274582,48.1608035,11.4085601,3,,,POINT (11.4085601 48.1608035)
274584,48.1611406,11.4117575,3,,,POINT (11.4117575 48.1611406)
274586,48.1612267,11.4125463,3,,,POINT (11.4125463 48.1612267)
275253,48.1750334,11.4095274,3,,,POINT (11.4095274 48.1750334)
275257,48.1728326,11.4101355,3,,,POINT (11.4101355 48.1728326)
275258,48.1719787,11.409866,4,,,POINT (11.409866 48.1719787)
275261,48.1696438,11.4096349,3,,,POINT (11.4096349 48.1696438)
275263,48.1694251,11.4092732,3,,,POINT (11.4092732 48.1694251)
275271,48.1604459,11.4152967,3,,,POINT (11.4152967 48.1604459)
275278,48.1616694,11.4153911,3,,,POINT (11.4153911 48.1616694)
275281,48.1564747,11.4161965,3,,,POINT (11.4161965 48.1564747)
275283,48.1573748,11.418784,3,,,POINT (11.418784 48.1573748)
275284,48.1576299,11.4196552,3,,,POINT (11.4196552 48.1576299)
275908,48.1740453,11.4104949,3,,,POINT (11.4104949 48.1740453)
275915,48.1708508,11.4156666,3,,,POINT (11.4156666 48.1708508)
275916,48.1713378,11.4139874,3,,,POINT (11.4139874 48.1713378)
275922,48.1700556,11.4119527,3,,,POINT (11.4119527 48.1700556)
275923,48.1710628,11.4127904,4,,,POINT (11.4127904 48.1710628)
277381,48.137551,11.5497995,4,,,POINT (11.5497995 48.137551)
277382,48.13754,11.5516066,4,,,POINT (11.5516066 48.13754)
277383,48.137496,11.5559027,4,,,POINT (11.5559027 48.137496)
277384,48.1374426,11.5586377,4,traffic_signals,,POINT (11.5586377 48.1374426)
277385,48.1374144,11.5610259,4,traffic_signals,,POINT (11.5610259 48.1374144)
277386,48.1363408,11.5609356,4,traffic_signals,,POINT (11.5609356 48.1363408)
277387,48.1342444,11.5606937,4,,,POINT (11.5606937 48.1342444)
277388,48.1345175,11.5585645,4,,,POINT (11.5585645 48.1345175)
277393,48.1506313,11.4560657,4,,,POINT (11.4560657 48.1506313)
277395,48.1477519,11.45382,3,,,POINT (11.45382 48.1477519)
277396,48.1472834,11.4534838,4,,,POINT (11.4534838 48.1472834)
277398,48.1469741,11.453845,3,,,POINT (11.453845 48.1469741)
277400,48.1554751,11.4529572,4,,,POINT (11.4529572 48.1554751)
277401,48.1554419,11.4482794,3,,,POINT (11.4482794 48.1554419)
277406,48.1530372,11.4562389,4,,,POINT (11.4562389 48.1530372)
277408,48.157961,11.4442513,3,,,POINT (11.4442513 48.157961)
277410,48.1585463,11.4442506,3,,,POINT (11.4442506 48.1585463)
277411,48.1591394,11.4449342,3,,,POINT (11.4449342 48.1591394)
277412,48.1602237,11.4429185,3,,,POINT (11.4429185 48.1602237)
277416,48.1601824,11.4462501,4,,,POINT (11.4462501 48.1601824)
277418,48.1489312,11.422249,3,,,POINT (11.422249 48.1489312)
277419,48.1477962,11.4228968,3,,,POINT (11.4228968 48.1477962)
277420,48.1476431,11.4222935,3,,,POINT (11.4222935 48.1476431)
277421,48.1459173,11.4233538,4,,,POINT (11.4233538 48.1459173)
277422,48.1456349,11.4224186,3,,,POINT (11.4224186 48.1456349)
277423,48.1440125,11.4208817,4,,,POINT (11.4208817 48.1440125)
277427,48.1441277,11.4187443,3,,,POINT (11.4187443 48.1441277)
277428,48.1451626,11.4203618,4,,,POINT (11.4203618 48.1451626)
277429,48.1455578,11.4200634,3,,,POINT (11.4200634 48.1455578)
277435,48.1442996,11.4174251,3,,,POINT (11.4174251 48.1442996)
277436,48.1442434,11.4169667,3,,,POINT (11.4169667 48.1442434)
277438,48.1439818,11.4175015,3,,,POINT (11.4175015 48.1439818)
277440,48.1442233,11.4161859,3,,,POINT (11.4161859 48.1442233)
277441,48.1443292,11.4155448,3,,,POINT (11.4155448 48.1443292)
277442,48.1445796,11.4147619,3,,,POINT (11.4147619 48.1445796)
277454,48.1427237,11.4142845,3,,,POINT (11.4142845 48.1427237)
277455,48.1427914,11.415006,3,,,POINT (11.415006 48.1427914)
277456,48.1429274,11.4157015,3,,,POINT (11.4157015 48.1429274)
277457,48.1430894,11.4163853,3,,,POINT (11.4163853 48.1430894)
277461,48.1415396,11.4144236,3,,,POINT (11.4144236 48.1415396)
281767,48.131698,11.400923,3,,,POINT (11.400923 48.131698)
281774,48.1291391,11.4023762,3,motorway_junction,4,POINT (11.4023762 48.1291391)
281784,48.1387383,11.3969656,3,motorway_junction,5,POINT (11.3969656 48.1387383)
281788,48.1367703,11.3978412,3,,,POINT (11.3978412 48.1367703)
281812,48.1426007,11.3950438,3,motorway_junction,6,POINT (11.3950438 48.1426007)
281822,48.1432559,11.3945728,3,,,POINT (11.3945728 48.1432559)
282236,48.138821,11.3986947,3,,,POINT (11.3986947 48.138821)
282247,48.1405931,11.3960218,3,,,POINT (11.3960218 48.1405931)
282261,48.1388471,11.3967545,3,motorway_junction,5,POINT (11.3967545 48.1388471)
282268,48.1461808,11.3945943,4,traffic_signals,,POINT (11.3945943 48.1461808)
