element_type,osmid,amenity,capacity,fee,network,opening_hours,operator,payment:coins,payment:debit_cards,ref,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amperage,socket:type2,source,source:delivery_date,voltage,authentication:membership_card,description,manufacturer,motorcar,name,socket:schuko,operator:short,operator:wikidata,operator:wikipedia,website,fixme,authentication:nfc,authentication:none,access,capacity:car,socket:type2_combo,scooter,layer,level,note,covered,bicycle,service:bicycle:charging,service:bicycle:pump,socket:schuko:current,socket:type2:output,contact:phone,contact:website,socket:chademo,socket:chademo:output,socket:type2_combo:output,capacity:charging,description:en,truck,wheelchair,cars,trucks,authentication:app,parking:fee,check_date,status,maxstay,power,traffic_sign,brand,authentication:phone_call,authentication:short_message,surveillance:type,charging_station:output,name:de,name:en,object:city,object:country,object:housenumber,object:postcode,object:street,socket:type2:current,socket:type2:voltage,brand:wikidata,brand:wikipedia,short_name,maxstay:conditional,authentication:membership_card:types,payment:membership_card,ref:EU:EVSE,socket:type:output,cargo,payment:account_cards,payment:credit_cards,payment:electronic_purses,payment:notes,phone,vending,contact:email,note:en,motor_vehicle,charge,image,amenity:wikipedia,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,payment:maestro,ref:ocm
node,5113266380,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,ladenetz.de,DESWME012101;DESWME012102,POINT (11.5776767 48.1102868),,,,,,32,2,,,400,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5137045765,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME008701,POINT (11.602616 48.1800709),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5137051052,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME008601,POINT (11.6025194 48.1801297),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5137051056,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME010401,POINT (11.5966312 48.183943),,,,,,,,,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5148467415,charging_station,2,no,,Mo-Sa 07:00-20:00,Bauhaus,,,,POINT (11.6060216 48.197817),,,,,,,2,,,,,,,,,,,Q672043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5148467416,charging_station,2,no,,Mo-Sa 07:00-20:00,Bauhaus,,,,POINT (11.6059482 48.1978319),,,,,,,2,,,,,,,,,,,Q672043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5148467417,charging_station,2,no,,Mo-Sa 07:00-20:00,Bauhaus,,,,POINT (11.6060838 48.1979522),,,,,,,2,,,,,,,,,,,Q672043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5148467418,charging_station,2,no,,Mo-Sa 07:00-20:00,Bauhaus,,,,POINT (11.6060143 48.1979697),,,,,,,2,,,,,,,,,,,Q672043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5159797481,charging_station,2,no,,Mo-Sa 07:00-20:00,Bauhaus,,,,POINT (11.6063985 48.1977242),,,,,,6,,,,230,,,,,,2,,Q672043,de:Bauhaus (Baumarkt),,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5176528213,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME005301,POINT (11.5484256 48.1020275),,,,,,,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
