element_type,osmid,access,amenity,geometry,parking_space,capacity,nodes,parking,parking:orientation,level,ref,fee,lit,maxstay,park_ride,access:disabled,surface,capacity:disabled,supervised,description,name:de,reservation,capacity:charging,capacity:women,capacity:parent,disabled,smoothness,maxstay:conditional
node,495073049,permissive,parking_space,POINT (11.5724854 48.1863017),,,,,,,,,,,,,,,,,,,,,,,,
node,5741873407,,parking_space,POINT (11.5792307 48.1784164),disabled,,,,,,,,,,,,,,,,,,,,,,,
node,7875632293,,parking_space,POINT (11.5071486 48.1195477),disabled,2,,,,,,,,,,,,,,,,,,,,,,
node,9130143476,,parking_space,POINT (11.5679891 48.1453678),private,1,,,,,,,,,,,,,,,,,,,,,,
node,10246970193,,parking_space,POINT (11.6125896 48.1270826),private,,,,,,,,,,,,,,,,,,,,,,,
way,142041819,,parking_space,"POLYGON ((11.5251096 48.1512803, 11.5251733 48.1512866, 11.5251543 48.1513708, 11.5250907 48.1513639, 11.5251096 48.1512803))",,4,"[1554645147, 1554645153, 1554645290, 1554645252, 1554645147]",street_side,perpendicular,,,,,,,,,,,,,,,,,,,
way,175791398,,parking_space,"POLYGON ((11.5254202 48.2180245, 11.5255742 48.2180234, 11.5255728 48.2179354, 11.5255032 48.2179359, 11.5255029 48.2179162, 11.5254184 48.2179168, 11.5254202 48.2180245))",,,"[1863457041, 1863457040, 1863457038, 1863457039, 1863457027, 1863457029, 1863457041]",,,,,,,,,,,,,,,,,,,,,
way,206004816,,parking_space,"POLYGON ((11.5871127 48.1923556, 11.5868372 48.1923535, 11.5868393 48.1922645, 11.5871148 48.1922665, 11.5871127 48.1923556))",,16,"[2160051067, 2160051065, 2160051045, 2160051046, 2160051067]",,,,,,,,,,,,,,,,,,,,,
way,206004817,,parking_space,"POLYGON ((11.5871109 48.1924555, 11.5868348 48.1924529, 11.5868358 48.1924062, 11.5871119 48.1924088, 11.5871109 48.1924555))",,8,"[2160051093, 2160051092, 2160051079, 2160051080, 2160051093]",,,,,,,,,,,,,,,,,,,,,
way,206004818,,parking_space,"POLYGON ((11.5871317 48.1914037, 11.58713 48.1914893, 11.5868588 48.191487, 11.5868605 48.1914014, 11.5871317 48.1914037))",,14,"[2160050729, 2160050740, 2160050738, 2160050727, 2160050729]",,,,,,,,,,,,,,,,,,,,,
way,206004819,,parking_space,"POLYGON ((11.587134 48.1913023, 11.5871325 48.1913501, 11.5868902 48.1913468, 11.5868917 48.191299, 11.587134 48.1913023))",,6,"[2160050711, 2160050720, 2160050719, 2160050707, 2160050711]",,,,,,,,,,,,,,,,,,,,,
way,206004820,,parking_space,"POLYGON ((11.5871288 48.1915492, 11.5871271 48.1916347, 11.5868552 48.1916323, 11.5868569 48.1915468, 11.5871288 48.1915492))",,14,"[2160050751, 2160050763, 2160050760, 2160050749, 2160050751]",,,,,,,,,,,,,,,,,,,,,
way,206004821,,parking_space,"POLYGON ((11.5861732 48.1924026, 11.5866323 48.1924046, 11.5866318 48.1924508, 11.5861728 48.1924488, 11.5861732 48.1924026))",,13,"[2160051075, 2160051077, 2160051090, 2160051088, 2160051075]",,,,,,,,,,,,,,,,,,,,,
way,206004824,,parking_space,"POLYGON ((11.587236 48.1918347, 11.5872348 48.1919199, 11.5868484 48.1919175, 11.5868495 48.1918344, 11.5869572 48.191835, 11.5869566 48.191874, 11.5870197 48.1918744, 11.5870202 48.1918333, 11.587236 48.1918347))",,20,"[2160050870, 2160050901, 2160050897, 2160050871, 2160050872, 2160050879, 2160050880, 2160050869, 2160050870]",,,,,,,,,,,,,,,,,,,,,
way,206004825,,parking_space,"POLYGON ((11.5872321 48.1919807, 11.58723 48.1920685, 11.5868443 48.1920653, 11.5868464 48.1919774, 11.5870242 48.1919793, 11.5870232 48.1920209, 11.5870862 48.1920216, 11.5870873 48.1919791, 11.5872321 48.1919807))",,20,"[2160050937, 2160050975, 2160050973, 2160050931, 2160050935, 2160050954, 2160050956, 2160050933, 2160050937]",,,,,,,,,,,,,,,,,,,,,
way,206004826,,parking_space,"POLYGON ((11.5871176 48.1921242, 11.5871155 48.192213, 11.5868408 48.1922105, 11.5868428 48.1921219, 11.5869534 48.1921228, 11.5869523 48.1921656, 11.5870192 48.1921663, 11.5870203 48.1921234, 11.5871176 48.1921242))",,14,"[2160051002, 2160051027, 2160051026, 2160050994, 2160050998, 2160051010, 2160051012, 2160051000, 2160051002]",,,,,,,,,,,,,,,,,,,,,
way,206004827,,parking_space,"POLYGON ((11.5862068 48.1912518, 11.5866605 48.1912559, 11.5866588 48.1913416, 11.5864835 48.1913401, 11.5864843 48.191301, 11.586414 48.1913003, 11.5864131 48.1913404, 11.586205 48.1913385, 11.5862068 48.1912518))",,24,"[2160050705, 2160050706, 2160050717, 2160050714, 2160050710, 2160050709, 2160050716, 2160050713, 2160050705]",,,,,,,,,,,,,,,,,,,,,
way,206004828,,parking_space,"POLYGON ((11.5862588 48.1916868, 11.5866498 48.1916899, 11.5866483 48.1917734, 11.5864391 48.1917717, 11.5864398 48.1917309, 11.586367 48.1917303, 11.5863663 48.1917704, 11.5862573 48.1917696, 11.5862588 48.1916868))",,20,"[2160050776, 2160050777, 2160050850, 2160050849, 2160050831, 2160050830, 2160050848, 2160050847, 2160050776]",,,,,,,,,,,,,,,,,,,,,
way,206004829,,parking_space,"POLYGON ((11.5862498 48.1919721, 11.5866414 48.1919751, 11.58664 48.1920608, 11.5864311 48.1920592, 11.5864319 48.1920162, 11.586359 48.1920156, 11.5863583 48.1920585, 11.5862483 48.1920576, 11.5862498 48.1919721))",,20,"[2160050927, 2160050929, 2160050971, 2160050969, 2160050952, 2160050950, 2160050966, 2160050964, 2160050927]",,,,,,,,,,,,,,,,,,,,,
way,206004830,,parking_space,"POLYGON ((11.5862436 48.1922601, 11.5866359 48.1922634, 11.5866342 48.192352, 11.5864229 48.1923502, 11.5864238 48.1923037, 11.586351 48.1923031, 11.5863501 48.1923498, 11.5862419 48.1923489, 11.5862436 48.1922601))",,20,"[2160051037, 2160051044, 2160051064, 2160051062, 2160051055, 2160051051, 2160051060, 2160051058, 2160051037]",,,,,,,,,,,,,,,,,,,,,
way,206004831,,parking_space,"POLYGON ((11.5862665 48.1913962, 11.586657 48.1913997, 11.5866552 48.1914858, 11.586447 48.191484, 11.5864478 48.1914445, 11.586375 48.1914439, 11.5863742 48.1914838, 11.5862648 48.1914828, 11.5862665 48.1913962))",,20,"[2160050726, 2160050728, 2160050739, 2160050737, 2160050731, 2160050730, 2160050736, 2160050735, 2160050726]",,,,,,,,,,,,,,,,,,,,,
way,206004832,,parking_space,"POLYGON ((11.5872406 48.191691, 11.5872387 48.191779, 11.5868516 48.1917753, 11.5868534 48.1916901, 11.5870658 48.1916921, 11.5870649 48.1917312, 11.5871287 48.1917318, 11.5871296 48.1916899, 11.5872406 48.191691))",,20,"[2160050780, 2160050854, 2160050851, 2160050779, 2160050781, 2160050832, 2160050833, 2160050778, 2160050780]",,,,,,,,,,,,,,,,,,,,,
way,206004833,,parking_space,"POLYGON ((11.5861817 48.1921161, 11.5866394 48.1921204, 11.5866376 48.1922088, 11.5864649 48.1922072, 11.5864658 48.1921655, 11.5863955 48.1921649, 11.5863946 48.1922067, 11.5861798 48.1922047, 11.5861817 48.1921161))",,24,"[2160050992, 2160050996, 2160051024, 2160051020, 2160051008, 2160051006, 2160051022, 2160051017, 2160050992]",,,,,,,,,,,,,,,,,,,,,
way,206004834,,parking_space,"POLYGON ((11.5861984 48.1915408, 11.5866535 48.191545, 11.5866517 48.191631, 11.5864798 48.1916294, 11.5864806 48.191593, 11.5864102 48.1915923, 11.5864094 48.1916292, 11.5861966 48.1916273, 11.5861984 48.1915408))",,24,"[2160050748, 2160050750, 2160050762, 2160050758, 2160050756, 2160050755, 2160050759, 2160050757, 2160050748]",,,,,,,,,,,,,,,,,,,,,
way,206004835,,parking_space,"POLYGON ((11.58619 48.1918285, 11.5866464 48.1918327, 11.5866447 48.1919163, 11.58647 48.1919147, 11.5864707 48.1918785, 11.5864004 48.1918778, 11.5863996 48.1919148, 11.5861883 48.1919128, 11.58619 48.1918285))",,24,"[2160050864, 2160050867, 2160050899, 2160050894, 2160050882, 2160050881, 2160050895, 2160050890, 2160050864]",,,,,,,,,,,,,,,,,,,,,
way,241787069,private,parking_space,"POLYGON ((11.4769961 48.1274887, 11.4771975 48.12748, 11.4771188 48.1266665, 11.4769174 48.1266752, 11.4769961 48.1274887))",,,"[2493776358, 2493776357, 2493776355, 2493776356, 2493776358]",,,,,,,,,,,,,,,,,,,,,
way,243270229,,parking_space,"POLYGON ((11.4234869 48.1415285, 11.423505 48.1414749, 11.4241272 48.1415688, 11.424109 48.1416223, 11.4234869 48.1415285))",,,"[2506915069, 2506915064, 2506915073, 2506915084, 2506915069]",,,,,,,,,,,,,,,,,,,,,
way,248852371,,parking_space,"POLYGON ((11.5008852 48.135554, 11.5017912 48.1355119, 11.5017864 48.1354659, 11.5008804 48.1355079, 11.5008852 48.135554))",,1,"[2555745738, 2555745726, 2555745713, 2555745720, 2555745738]",,,0,,,,,,,,,,,,,,,,,,
way,248852372,,parking_space,"POLYGON ((11.5009087 48.1354238, 11.5017777 48.1353836, 11.5017737 48.1353387, 11.5009042 48.1353778, 11.5009087 48.1354238))",,1,"[2555745691, 2555745689, 2555745677, 2555745687, 2555745691]",,,0,,,,,,,,,,,,,,,,,,
way,256558100,,parking_space,"POLYGON ((11.5563132 48.2122318, 11.5563897 48.2122297, 11.556355 48.2116718, 11.5562785 48.2116739, 11.5563132 48.2122318))",,,"[2622091301, 2622091300, 2622091298, 2622091299, 2622091301]",,,,,,,,,,,,,,,,,,,,,
way,256558101,,parking_space,"POLYGON ((11.5563416 48.2129407, 11.5564282 48.2129384, 11.5563931 48.2123451, 11.5563066 48.2123473, 11.5563416 48.2129407))",,,"[2622091307, 2622091306, 2622091302, 2622091303, 2622091307]",,,,,,,,,,,,,,,,,,,,,
way,256558102,,parking_space,"POLYGON ((11.5563421 48.2115493, 11.5563288 48.2110361, 11.556254 48.211037, 11.5562674 48.2115502, 11.5563421 48.2115493))",,,"[2622091296, 2622091294, 2622091295, 2622091297, 2622091296]",,,,,,,,,,,,,,,,,,,,,
way,303462831,,parking_space,"POLYGON ((11.5439055 48.1227066, 11.5439122 48.1225321, 11.5439777 48.1225332, 11.543971 48.1227077, 11.5439055 48.1227066))",,7,"[3078217078, 3078217072, 3078217073, 3078217079, 3078217078]",surface,,,,,,,,,,,,,,,,,,,,
way,303462832,,parking_space,"POLYGON ((11.5440557 48.1227065, 11.544058 48.1225843, 11.5441194 48.1225848, 11.5441171 48.122707, 11.5440557 48.1227065))",,5,"[3078217080, 3078217074, 3078217075, 3078217081, 3078217080]",surface,,,,,,,,,,,,,,,,,,,,
way,307032569,private,parking_space,"POLYGON ((11.5579323 48.1171678, 11.5579929 48.117148, 11.5579787 48.1171286, 11.5579181 48.1171483, 11.5579323 48.1171678))",,1,"[3120769987, 3120769986, 3120769984, 3120769985, 3120769987]",surface,,,19,,,,,,,,,,,,,,,,,
way,307032570,private,parking_space,"POLYGON ((11.5581591 48.1174796, 11.5582199 48.11746, 11.5582055 48.1174403, 11.5581447 48.11746, 11.5581591 48.1174796))",,1,"[3120770019, 3120770018, 3120770016, 3120770017, 3120770019]",surface,,,7,,,,,,,,,,,,,,,,,
way,307032573,private,parking_space,"POLYGON ((11.5581447 48.11746, 11.5582055 48.1174403, 11.5581914 48.1174208, 11.5581306 48.1174405, 11.5581447 48.11746))",,1,"[3120770017, 3120770016, 3120770014, 3120770015, 3120770017]",surface,,,8,,,,,,,,,,,,,,,,,
way,307032578,private,parking_space,"POLYGON ((11.5582158 48.1175577, 11.5582765 48.117538, 11.5582624 48.1175185, 11.5582017 48.1175382, 11.5582158 48.1175577))",,1,"[3120770027, 3120770026, 3120770024, 3120770025, 3120770027]",surface,,,4,,,,,,,,,,,,,,,,,
way,307032579,private,parking_space,"POLYGON ((11.5579751 48.1172264, 11.5580357 48.1172066, 11.5580217 48.1171875, 11.5579611 48.1172072, 11.5579751 48.1172264))",,1,"[3120769993, 3120769992, 3120769990, 3120769991, 3120769993]",surface,,,17,,,,,,,,,,,,,,,,,
way,307032581,private,parking_space,"POLYGON ((11.5577583 48.1170493, 11.5577289 48.1170088, 11.5577012 48.1170177, 11.5577298 48.1170585, 11.5577583 48.1170493))",,1,"[3120769976, 3120769968, 331320247, 3120769978, 3120769976]",surface,,,27,,,,,,,,,,,,,,,,,
way,307032582,private,parking_space,"POLYGON ((11.5579181 48.1171483, 11.5579787 48.1171286, 11.5579644 48.1171089, 11.5579038 48.1171287, 11.5579181 48.1171483))",,1,"[3120769985, 3120769984, 3120769982, 3120769983, 3120769985]",surface,,,20,,,,,,,,,,,,,,,,,
way,307032585,private,parking_space,"POLYGON ((11.558032 48.117305, 11.5580927 48.1172852, 11.5580783 48.1172655, 11.5580176 48.1172852, 11.558032 48.117305))",,1,"[3120770001, 3120770000, 3120769998, 3120769999, 3120770001]",surface,,,14,,,,,,,,,,,,,,,,,
way,307032586,private,parking_space,"POLYGON ((11.5578609 48.11707, 11.5579216 48.1170503, 11.5579072 48.1170305, 11.5578465 48.1170502, 11.5578609 48.11707))",,1,"[3120769975, 3120769972, 3120769969, 3120769971, 3120769975]",surface,,,23,,,,,,,,,,,,,,,,,
way,307032588,private,parking_space,"POLYGON ((11.5582017 48.1175382, 11.5582624 48.1175185, 11.5582481 48.117499, 11.5581874 48.1175186, 11.5582017 48.1175382))",,1,"[3120770025, 3120770024, 3120770022, 3120770023, 3120770025]",surface,,,5,,,,,,,,,,,,,,,,,
