element_type,osmid,access,amenity,geometry,parking_space,capacity,nodes,parking,parking:orientation,level,ref,fee,lit,maxstay,park_ride,access:disabled,surface,capacity:disabled,supervised,description,name:de,reservation,capacity:charging,capacity:women,capacity:parent,disabled,smoothness,maxstay:conditional
way,486665964,,parking_space,"POLYGON ((11.5295923 48.1366591, 11.5295834 48.1366164, 11.5296246 48.1366126, 11.5296334 48.1366554, 11.5295923 48.1366591))",,1,"[4792437889, 4792437888, 4792437891, 4792437890, 4792437889]",,,,,,,,,,,,,,,,,,,,,
way,486665971,,parking_space,"POLYGON ((11.5297688 48.1365686, 11.5298021 48.1365656, 11.5297937 48.1365243, 11.5297603 48.1365273, 11.5297641 48.136546, 11.5297688 48.1365686))",,1,"[4792437906, 4792437908, 4792437907, 4792437905, 4792437855, 4792437906]",,,,,,,,,,,,,,,,,,,,,
way,486665972,,parking_space,"POLYGON ((11.5298021 48.1365656, 11.5298341 48.1365627, 11.5298256 48.1365213, 11.5297937 48.1365243, 11.5298021 48.1365656))",,1,"[4792437908, 4792437910, 4792437909, 4792437907, 4792437908]",,,,,,,,,,,,,,,,,,,,,
way,486665973,,parking_space,"POLYGON ((11.5298341 48.1365627, 11.5298686 48.1365596, 11.5298601 48.1365181, 11.5298256 48.1365213, 11.5298341 48.1365627))",,1,"[4792437910, 4792437912, 4792437911, 4792437909, 4792437910]",,,,,,,,,,,,,,,,,,,,,
way,486665975,,parking_space,"POLYGON ((11.5299328 48.1365537, 11.5299697 48.1365503, 11.5299611 48.1365088, 11.5299242 48.1365122, 11.5299328 48.1365537))",,1,"[4792437914, 4792437916, 4792437915, 4792437913, 4792437914]",,,,,,,,,,,,,,,,,,,,,
way,486665976,,parking_space,"POLYGON ((11.5299697 48.1365503, 11.5300001 48.1365475, 11.5299916 48.136506, 11.5299611 48.1365088, 11.5299697 48.1365503))",,1,"[4792437916, 4792437918, 4792437917, 4792437915, 4792437916]",,,,,,,,,,,,,,,,,,,,,
way,486665977,,parking_space,"POLYGON ((11.5300001 48.1365475, 11.5300314 48.1365446, 11.5300229 48.1365031, 11.5299916 48.136506, 11.5300001 48.1365475))",,1,"[4792437918, 4792437920, 4792437919, 4792437917, 4792437918]",,,,,,,,,,,,,,,,,,,,,
way,486665978,,parking_space,"POLYGON ((11.5300314 48.1365446, 11.5300656 48.1365415, 11.5300571 48.1365, 11.5300229 48.1365031, 11.5300314 48.1365446))",,1,"[4792437920, 4792438722, 4792438721, 4792437919, 4792437920]",,,,,,,,,,,,,,,,,,,,,
way,486665979,,parking_space,"POLYGON ((11.5300656 48.1365415, 11.5300974 48.1365386, 11.5300889 48.1364971, 11.5300571 48.1365, 11.5300656 48.1365415))",,1,"[4792438722, 4792438724, 4792438723, 4792438721, 4792438722]",,,,,,,,,,,,,,,,,,,,,
way,486665980,,parking_space,"POLYGON ((11.5300974 48.1365386, 11.5301294 48.1365357, 11.5301208 48.1364941, 11.5300889 48.1364971, 11.5300974 48.1365386))",,1,"[4792438724, 4792438726, 4792438725, 4792438723, 4792438724]",,,,,,,,,,,,,,,,,,,,,
way,486665981,,parking_space,"POLYGON ((11.5301294 48.1365357, 11.5301629 48.1365326, 11.5301544 48.1364911, 11.5301208 48.1364941, 11.5301294 48.1365357))",,1,"[4792438726, 4792438728, 4792438727, 4792438725, 4792438726]",,,,,,,,,,,,,,,,,,,,,
way,486665982,,parking_space,"POLYGON ((11.5301629 48.1365326, 11.5301949 48.1365297, 11.5301864 48.1364881, 11.5301544 48.1364911, 11.5301629 48.1365326))",,1,"[4792438728, 4792438730, 4792438729, 4792438727, 4792438728]",,,,,,,,,,,,,,,,,,,,,
way,486665984,,parking_space,"POLYGON ((11.530263 48.1365234, 11.5302961 48.1365204, 11.5302875 48.1364789, 11.5302544 48.1364819, 11.530263 48.1365234))",,1,"[4792438732, 4792438734, 4792438733, 4792438731, 4792438732]",,,,,,,,,,,,,,,,,,,,,
way,486665985,,parking_space,"POLYGON ((11.5302961 48.1365204, 11.5303269 48.1365175, 11.5303183 48.136476, 11.5302875 48.1364789, 11.5302961 48.1365204))",,1,"[4792438734, 4792438736, 4792438735, 4792438733, 4792438734]",,,,,,,,,,,,,,,,,,,,,
way,486665986,,parking_space,"POLYGON ((11.5303269 48.1365175, 11.5303588 48.1365146, 11.5303503 48.1364731, 11.5303183 48.136476, 11.5303269 48.1365175))",,1,"[4792438736, 4792438738, 4792438737, 4792438735, 4792438736]",,,,,,,,,,,,,,,,,,,,,
way,486665987,,parking_space,"POLYGON ((11.5303588 48.1365146, 11.5303893 48.1365118, 11.5303807 48.1364703, 11.5303503 48.1364731, 11.5303588 48.1365146))",,1,"[4792438738, 4792438742, 4792438739, 4792438737, 4792438738]",,,,,,,,,,,,,,,,,,,,,
way,486665988,,parking_space,"POLYGON ((11.5303893 48.1365118, 11.530424 48.1365086, 11.5304154 48.1364671, 11.5303807 48.1364703, 11.5303893 48.1365118))",,1,"[4792438742, 4792438741, 4792438740, 4792438739, 4792438742]",,,,,,,,,,,,,,,,,,,,,
way,486665990,,parking_space,"POLYGON ((11.5305612 48.1364961, 11.5305519 48.1364508, 11.5305878 48.1364475, 11.5305971 48.1364928, 11.5305612 48.1364961))",,1,"[4792438746, 4792438745, 4792438747, 4792438748, 4792438746]",,,,,,,,,,,,,,,,,,,,,
way,486665991,,parking_space,"POLYGON ((11.5305971 48.1364928, 11.5305878 48.1364475, 11.5306195 48.1364446, 11.5306288 48.1364899, 11.5305971 48.1364928))",,1,"[4792438748, 4792438747, 4792438749, 4792438750, 4792438748]",,,,,,,,,,,,,,,,,,,,,
way,486665992,,parking_space,"POLYGON ((11.5306288 48.1364899, 11.5306195 48.1364446, 11.5306541 48.1364414, 11.5306634 48.1364867, 11.5306288 48.1364899))",,1,"[4792438750, 4792438749, 4792438751, 4792438752, 4792438750]",,,,,,,,,,,,,,,,,,,,,
