element_type,osmid,amenity,amperage,authentication:short_message,capacity,operator,ref,socket:type2,source,source:delivery_date,voltage,geometry,brand,brand:wikidata,brand:wikipedia,name,opening_hours,operator:wikidata,operator:wikipedia,note:de,authentication:membership_card,payment:account_cards,description,access,authentication:app,authentication:nfc,contact:phone,contact:website,fee,motorcar,parking:fee,socket:type2:output,addr:suburb,wheelchair,socket:type2:current,socket:type2:voltage,survey:date,payment:mastercard,payment:paypal,payment:visa,location,authentication:phone_call,layer,level,socket:schuko,short_name,website,charge,payment:american_express,payment:sepa,payment:vpay,comment,addr:city,addr:housenumber,addr:postcode,addr:street,phone,bicycle,authentication:none,socket:chademo,socket:type2_combo,scooter,socket:chademo:output,socket:type2_combo:output,truck,camera:direction,camera:mount,camera:type,highway,man_made,surveillance,surveillance:type,surveillance:zone,socket:type1_combo,note,covered,ref:EU:EVSE,payment:credit_cards,addr:country,hgv,maxstay,noname,output,charging_station:output,network,description:de,socket:usb,socket:tesla_supercharger_ccs,start_date,socket:type2_cable,fixme,lit,support,payment:maestro,payment:mea,object:city,object:country,object:housenumber,object:postcode,object:street,mapillary,bus,payment:bank_transfer,amenity:wikipedia,socket:tesla_supercharger_ccs:output,socket:type2_cable:output,payment:Giro-e,payment:Ladekarte,payment:app,payment:qr_code,lamp_mount,lamp_type,payment:cards,payment:contactless,check_date,small_electric_vehicle,motor_vehicle,manufacturer,payment:nfc,authentication:contactless,contact:email,maxstay:conditional,name:en,payment:cash,payment:membership_card,socket:type2_combo:current,socket:type2_combo:voltage,socket:device:USB-A,socket:device:USB-C,parking:lane:charge:conditional,socket:type1:output,email,image,image:0,image:1,nodes,parking,parking:orientation,surface,capacity:disabled,parking_space,orientation
node,1054886450,charging_station,32,,,Vattenfall,015 040,2,,,,POINT (13.2621994 52.4110043),,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1104278129,charging_station,32,,3,Vattenfall,,2,,,,POINT (13.5115476 52.5346286),,,,,,,,,yes,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1184068018,charging_station,32;16,,2,Vattenfall,015 016,2,,,,POINT (13.3773368 52.5097676),,,,Vattenfall Ladesäule,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1244643565,charging_station,32,,2,Vattenfall,11016,2,,,,POINT (13.3390018 52.5028673),,,,,24/7,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1244644142,charging_station,32,yes,2,RWE-Effizienz,BA-0504-8 / BA-0503-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.4092291 52.518701),,,,,,,,Jüdenstraße vor rotem Rathaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1244656914,charging_station,,yes,2,RWE-Effizienz,,,,,,POINT (13.3549562 52.5058153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1245844409,charging_station,,yes,2,Innogy,BB-6117-3 / BB-6172-0,2,,,,POINT (13.3788405 52.5286924),Innogy,Q2124721,de:Innogy,Innogy,24/7,Q2124721,de:Innogy,Luisenstraße hinter Invalidenstraße/Platz vor neuem Tor,,,,,,,,,,,,22 kW,,yes,32,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1254306707,charging_station,32,yes,2,Innogy,BA-0877-1 / BA-0878-8,2,,,400,POINT (13.4215151 52.5242748),Innogy,Q2124721,de:Innogy,Innogy,24/7,Q2124721,de:Innogy,Mollstraße / Berolinastraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1256825689,charging_station,32,yes,2,RWE-Effizienz,BA-0016-3 / BA-0105-8,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.345732 52.5203465),,,,,,,,Flensburger Straße / Claudiusstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542302,charging_station,32,yes,2,Innogy,BA-0742-6 / BA-0726-5,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3572887 52.4822945),Innogy,Q2124721,,Innogy,,Q2124721,,Torgauerstraße (EUREF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542303,charging_station,32,yes,2,RWE-Effizienz,BA-0732-8 / BA-0733-4,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3901603 52.5093332),,,,,,,,Krausenstraße; Ecke Friedrichstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542304,charging_station,32,yes,2,Innogy,BA-0079-1 / BA-0340-7,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3490066 52.5077924),Innogy,Q2124721,,Innogy,,Q2124721,,Stülerstraße / Corneliusstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542305,charging_station,20,,2,Innogy,BA-0735-7,2,survey,,250,POINT (13.3530258 52.5040992),Innogy,Q2124721,de:Innogy,Innogy,24/7,Q2124721,de:Innogy,Lützowplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542307,charging_station,,,2,Innogy,,,,,,POINT (13.315155 52.4932386),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542308,charging_station,32,yes,2,RWE-Effizienz,BA-0587-2 / BA-0588-9,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.2957182 52.5189122),,,,,,,,Schloßstraße vor Sammlung Berggruen,,,,,,,,,,,,,,,,,2023-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542309,charging_station,32,yes,2,Innogy,,2,,,400,POINT (13.3094096 52.5166652),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,Otto-Suhr-Allee Nähe Rathaus Charlottenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542310,charging_station,32,yes,2,Innogy,,2,,,400,POINT (13.3277355 52.5052667),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,Fasanenstraße Südwest vor Eckhaus Kantstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272542311,charging_station,32,yes,2,RWE-Effizienz,BA-0514-6 / BA-0512-2,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3297794 52.5129985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843199,charging_station,32,yes,2,RWE-Effizienz,BA-0621-4 / BA-0649-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.4049979 52.5357727),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843200,charging_station,32,yes,2,Innogy,BA-0626-6 / BA-0624-3,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3729792 52.5106917),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,Bellevuestraße (Sony Center),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843201,charging_station,32,yes,2,RWE-Effizienz,BA-0627-2 / BA-0618-0,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.4163073 52.5194446),,,,,,,,Grunerstraße; Parkhaus ALEXA Säule Rechts,,,Parkhaus Ebene P -1 Platz A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843202,charging_station,32,yes,2,RWE-Effizienz,BA-0873-6 / BA-0874-2,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.3623286 52.5232019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843203,charging_station,32,yes,2,Innogy,BA-0656-0 / BA-0657-7,2,,,400,POINT (13.3688928 52.5359318),Innogy,Q2124721,de:Innogy,Innogy,24/7,Q2124721,de:Innogy,,,,,yes,,,,,yes,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843204,charging_station,32,yes,2,RWE-Effizienz,BA-0895-5/ BA-0896-1,2,"RWE Effizienz GmbH, Dortmund",2011/01/17,400,POINT (13.4172844 52.5177552),,,,,,,,Voltairestraße / Alexanderstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843208,charging_station,32,,2,Innogy,BA-0882-8 / BA-0881-1,2,,,400,POINT (13.4104844 52.5158333),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,Neue Jüdenstraße (Stralauer Straße),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843209,charging_station,32,yes,2,Innogy,BA-0524-4 / BA-0523-8,2,,2011/01/17,400,POINT (13.3802923 52.5198157),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,Luisenstraße / Schiffbauerdamm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843210,charging_station,32,yes,2,Innogy,BA-0552-6 / BA-0470-0,2,,,400,POINT (13.3958828 52.5291165),Innogy,Q2124721,de:Innogy,Innogy,24/7,Q2124721,de:Innogy,Torstraße / Bergstraße,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843211,charging_station,32,yes,2,Innogy,BA-0506-0 / BA-0497-1,2,,2011/01/17,400,POINT (13.390273 52.5189792),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1272843213,charging_station,32,yes,2,Innogy,BA-0655-4 / BA-0654-8,2,,2011/01/17,400,POINT (13.3957562 52.5343955),Innogy,Q2124721,de:Innogy,Innogy,,Q2124721,de:Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
