osmid,y,x,street_count,ref,highway,geometry
693087471,48.809676,9.1144006,1,,,POINT (9.1144006 48.809676)
693087478,48.8105625,9.1138782,3,,,POINT (9.1138782 48.8105625)
693087480,48.8111274,9.1140164,1,,,POINT (9.1140164 48.8111274)
693650563,48.7550162,9.186082,3,,traffic_signals,POINT (9.186082 48.7550162)
697015726,48.7976196,9.2361371,3,,,POINT (9.2361371 48.7976196)
697015777,48.7985201,9.2385652,1,,,POINT (9.2385652 48.7985201)
697870485,48.8323131,9.1481038,1,,,POINT (9.1481038 48.8323131)
697870558,48.835187,9.1521961,1,,,POINT (9.1521961 48.835187)
698563642,48.8330231,9.2169368,3,,,POINT (9.2169368 48.8330231)
698867537,48.7806699,9.1904147,3,,,POINT (9.1904147 48.7806699)
698891538,48.7214606,9.0939267,1,,,POINT (9.0939267 48.7214606)
702486485,48.7485584,9.1022264,1,,,POINT (9.1022264 48.7485584)
703467088,48.7366254,9.2179764,3,,,POINT (9.2179764 48.7366254)
703467089,48.7369686,9.2179619,1,,,POINT (9.2179619 48.7369686)
703500396,48.8044777,9.114164,3,,,POINT (9.114164 48.8044777)
703500407,48.8014332,9.1105576,3,,,POINT (9.1105576 48.8014332)
703875488,48.7954558,9.176051,1,,,POINT (9.176051 48.7954558)
703875502,48.7932194,9.1756207,1,,turning_circle,POINT (9.1756207 48.7932194)
703875532,48.7935833,9.1772212,3,,,POINT (9.1772212 48.7935833)
704322873,48.7957305,9.1875174,3,,,POINT (9.1875174 48.7957305)
705151746,48.8047682,9.11362,3,,,POINT (9.11362 48.8047682)
706075614,48.7489044,9.2609774,3,,,POINT (9.2609774 48.7489044)
706075626,48.7492599,9.2608389,3,,,POINT (9.2608389 48.7492599)
706075658,48.7532868,9.2653166,3,,,POINT (9.2653166 48.7532868)
707275545,48.8143204,9.2129792,3,,,POINT (9.2129792 48.8143204)
707275566,48.8131914,9.2111193,3,,,POINT (9.2111193 48.8131914)
707275712,48.8151005,9.2119127,3,,,POINT (9.2119127 48.8151005)
707707083,48.8134536,9.2107692,3,,,POINT (9.2107692 48.8134536)
707779964,48.807302,9.1010313,1,,,POINT (9.1010313 48.807302)
710399085,48.8265813,9.2391071,4,,,POINT (9.2391071 48.8265813)
710399087,48.826621,9.2400661,1,,,POINT (9.2400661 48.826621)
719304186,48.7236148,9.1667915,3,,traffic_signals,POINT (9.1667915 48.7236148)
720403449,48.8164818,9.2388984,3,,,POINT (9.2388984 48.8164818)
720557491,48.7804405,9.1274077,3,,,POINT (9.1274077 48.7804405)
722904405,48.8003947,9.2128285,4,,,POINT (9.2128285 48.8003947)
726825740,48.7963852,9.1899655,2,,,POINT (9.1899655 48.7963852)
726825742,48.7954929,9.1898949,4,,,POINT (9.1898949 48.7954929)
726825759,48.7993741,9.1900798,3,,,POINT (9.1900798 48.7993741)
726825820,48.7927347,9.1897045,4,,,POINT (9.1897045 48.7927347)
727272465,48.7469821,9.0825506,1,,,POINT (9.0825506 48.7469821)
727272763,48.754882,9.0881229,1,,,POINT (9.0881229 48.754882)
729635392,48.7409822,9.2338437,1,,,POINT (9.2338437 48.7409822)
732687646,48.7592042,9.2549282,3,,,POINT (9.2549282 48.7592042)
732691520,48.759096,9.2543673,1,,,POINT (9.2543673 48.759096)
735145021,48.7582996,9.2383617,3,,,POINT (9.2383617 48.7582996)
735145023,48.7584298,9.2383924,3,,,POINT (9.2383924 48.7584298)
735145122,48.7587265,9.2384237,1,,,POINT (9.2384237 48.7587265)
735391783,48.8455369,9.2044472,3,,,POINT (9.2044472 48.8455369)
736445165,48.7655485,9.2045792,3,,,POINT (9.2045792 48.7655485)
738900527,48.7844277,9.1599406,3,,,POINT (9.1599406 48.7844277)
738900569,48.8142948,9.233668,3,,,POINT (9.233668 48.8142948)
738900681,48.8299356,9.2321498,3,,,POINT (9.2321498 48.8299356)
739846865,48.8055375,9.2104505,3,,,POINT (9.2104505 48.8055375)
741569462,48.7893223,9.1976236,3,,,POINT (9.1976236 48.7893223)
741569466,48.7887871,9.2071192,3,,,POINT (9.2071192 48.7887871)
745979640,48.7265779,9.0779697,3,,,POINT (9.0779697 48.7265779)
745979742,48.7266965,9.0779238,1,,,POINT (9.0779238 48.7266965)
747159103,48.7600573,9.2544059,3,,,POINT (9.2544059 48.7600573)
747200502,48.7457042,9.1479565,1,,,POINT (9.1479565 48.7457042)
750029960,48.7349341,9.1176306,3,,,POINT (9.1176306 48.7349341)
750030086,48.7352094,9.1167298,1,,,POINT (9.1167298 48.7352094)
750030262,48.7354716,9.1153631,3,,,POINT (9.1153631 48.7354716)
750030574,48.7340397,9.1162813,3,,,POINT (9.1162813 48.7340397)
