element_type,osmid,amenity,authentication:app,authentication:membership_card,authentication:nfc,brand,capacity,fee,motorcar,network,opening_hours,operator,operator:wikidata,operator:wikipedia,ref:charging_station:num,socket:type2,socket:type2:current,socket:type2:output,socket:type2:voltage,geometry,access,bicycle,website,note,socket:schuko,socket:schuko:current,socket:schuko:output,socket:schuko:voltage,name,not:operator:wikidata,ref,parking:fee,payment:coins,payment:notes,colour,mapillary,fixme,amperage,description,description:de,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wikimedia_commons,addr:suburb,check_date,start_date,authentication:none,contact:website,socket:chademo,socket:type2_combo,motor_vehicle,level,manufacturer,scooter,truck,voltage,image,phone,socket:type2_combo:current,socket:type2_combo:output,socket:type2_combo:voltage,socket:chademo:current,socket:chademo:output,socket:chademo:voltage,socket:type2_cable,socket:type2_cable:current,socket:type2_cable:output,socket:type2_cable:voltage,authentication:short_message,motorcycle,charging_station:battery_swapping,operator:website,payment:mastercard,payment:paypass,payment:visa,covered,name:en,payment:american_express,payment:app,payment:bitcoin,payment:cards,payment:cash,payment:cheque,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:diners_club,payment:discover_card,payment:electronic_purses,payment:ep_easycard,payment:ep_ipass,payment:girocard,payment:jcb,payment:maestro,payment:telephone_cards,payment:visa_debit,payment:visa_electron,layer,wheelchair,bus,hgv,source,nodes
node,2388723941,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10044,2,32,22 kW,400,POINT (9.1499338 48.7222376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2388765673,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000055,2,32,22 kW,400,POINT (9.1565953 48.8428704),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2388837778,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000071,2,32,22 kW,400,POINT (9.1563474 48.7211032),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2450415795,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904017,2,32,22 kW,400,POINT (9.1748664 48.7492511),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2451000881,charging_station,,yes,,,2,yes,yes,eze.network,,eze.network GmbH,,,,2,,22 kW,,POINT (9.2678923 48.7628198),,no,https://www.eze.network/locations/stuttgart,,,,,,Stuttgart Obertürkheim Bahnhof,Q644304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2451926101,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10032,2,16,11 kW,400,POINT (9.2644052 48.7681233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2451941105,charging_station,,,,,2,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,POINT (9.2585762 48.7756306),,,,,,,,,,,3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2590889263,charging_station,,yes,,,2,,yes,,,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.2074307 48.8085816),,,,,,,,,,,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2599237057,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10003,2,16,11 kW,400,POINT (9.0927241 48.7384128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2628807706,charging_station,,yes,,,2,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.1026382 48.7450969),,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2631705899,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904833,2,32,22 kW,400,POINT (9.1681438 48.7656994),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2648283300,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000022,2,32,22 kW,400,POINT (9.1700192 48.7543029),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2710004108,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10028,2,16,11 kW,400,POINT (9.1415991 48.7320518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2721674321,charging_station,,,,,2,yes,yes,,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,,2,,22kW,,POINT (9.1639838 48.7726315),,,,,2,,3.7kW,,,,3019,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2725937337,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10026,2,16,11 kW,400,POINT (9.1623369 48.8002752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2789786614,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000017,2,32,22 kW,400,POINT (9.1565184 48.7731535),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2826478916,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10034,2,16,11 kW,400,POINT (9.1475694 48.7837602),,,,,,,,,,,,,,,lightblue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2826478917,charging_station,,yes,,,2,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.0948727 48.8212952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2879687801,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904761,2,32,22 kW,400,POINT (9.1231553 48.7787097),,,,,2,16,3.7 kW,230,,,,,,,,220767159514750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2943249681,charging_station,,,,,2,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.1915881 48.8178131),,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2953767063,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904744,2,32,22 kW,400,POINT (9.1912737 48.7804058),,yes,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2957198877,charging_station,,,,,2,,yes,,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.1762321 48.7812824),,yes,,,2,,,,,,,,,,,,ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2957198878,charging_station,,,,,2,,yes,,24/7,EnBW Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.1795528 48.7824755),,yes,,,2,,,,,,Lautenschlagerstraße 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2990887824,charging_station,,,,,2,yes,yes,,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,,2,,,,POINT (9.0947799 48.8222021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3003594491,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10006,2,16,11 kW,400,POINT (9.2307696 48.8303742),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3024741369,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904014,2,32,22 kW,400,POINT (9.2171282 48.7566239),,,,,2,16,3.7 kW,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3132200630,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000019,2,32,22 kW,400,POINT (9.1578084 48.7832891),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3134645339,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10057,2,16,11 kW,400,POINT (9.1604544 48.7788046),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3138512685,charging_station,,yes,,,2,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,2,,,,POINT (9.1516913 48.7877821),,,,,2,,,,,,3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3225589661,charging_station,,yes,,,1,,yes,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,1,,,,POINT (9.1520287 48.8424322),,,,,1,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3225589662,charging_station,yes,yes,,,2,yes,yes,Stadtwerke Stuttgart,24/7,Stadtwerke Stuttgart GmbH,Q2328627,de:Stadtwerke Stuttgart,DE*STR*E10047,2,16,11 kW,400,POINT (9.1635153 48.8487767),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3225589663,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000070,2,32,22 kW,400,POINT (9.1595235 48.8490117),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3231457934,charging_station,,,,,3x2,no,,,,EnBW,Q644304,de:EnBW Energie Baden-Württemberg,,,,,,POINT (9.1672656 48.7124212),,yes,,,yes,,,,,,3130,,,,,,,,Ladestation für elektrische Fahrräder,3 Schliessfächer mit Code-Schlössern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3320948961,charging_station,,,,,2,,,,,,,,,,,,,POINT (9.1807645 48.7903331),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3354476626,charging_station,yes,yes,yes,EnBW,2,yes,yes,EnBW,24/7,Energie Baden-Württemberg AG,Q644304,de:EnBW Energie Baden-Württemberg,DE*EBW*E904780,2,32,22 kW,400,POINT (9.1467181 48.8054834),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3366627273,charging_station,yes,yes,yes,,2,yes,yes,eze.network,24/7,eze.network GmbH,,,DE*EZE*ETTA000029,2,32,22 kW,400,POINT (9.1401391 48.7275929),,,https://www.eze.network/locations/stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
