element_type,osmid,geometry,amenity,name,website,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,club,description,source,addr:country,tourism,nodes,architect,building,building:levels,roof:levels,roof:shape,start_date,opening_hours,air_conditioning,check_date:opening_hours,contact:email,contact:phone,contact:website,fee,internet_access,internet_access:fee,internet_access:ssid,lastcheck,name:zh,toilets:wheelchair,wikidata,wikipedia,roof:material,addr:suburb,access,leisure,sport,fax,phone,roof:colour,height,historic,image,ways,type
way,143958026,"POLYGON ((9.2013152 48.8131686, 9.2013076 48.8131473, 9.2013389 48.8131425, 9.2013265 48.8131078, 9.201414 48.8130943, 9.201423 48.8131192, 9.2014634 48.8131129, 9.2014745 48.8131439, 9.2014491 48.8131478, 9.2013152 48.8131686))",,,,,,,,,,,,,,"[1575365533, 1575365514, 1575365501, 1575365477, 1575365465, 1575365483, 1575365478, 1575365503, 1575365515, 1575365533]",,civic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,144379277,"POLYGON ((9.1601443 48.8070614, 9.1601398 48.8070586, 9.1602127 48.8070023, 9.1603483 48.8070785, 9.1602938 48.8071205, 9.1602753 48.8071348, 9.1601443 48.8070614))",,,,,Stuttgart,2A,70469,Mühlstraße,,,,DE,,"[1579301615, 9307433708, 1579301626, 1579301627, 1579301618, 3410701779, 1579301615]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,240474364,"POLYGON ((9.1626638 48.7810415, 9.1627346 48.7809433, 9.1625874 48.7808953, 9.1625155 48.7809951, 9.1626638 48.7810415))",,,,,,,,,,,,,,"[2482077257, 2482077252, 2482077247, 2482077256, 2482077257]",,civic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,263269830,"POLYGON ((9.1735368 48.7764941, 9.173539 48.7764813, 9.1735711 48.7764649, 9.173512 48.7764148, 9.1736119 48.7763592, 9.1736203 48.7763669, 9.1736094 48.776372, 9.1736984 48.7764533, 9.1737926 48.7765392, 9.173727 48.7765705, 9.1737051 48.7765809, 9.173695 48.7765716, 9.1736765 48.7765804, 9.1736599 48.7765787, 9.1736524 48.776572, 9.173636 48.7765704, 9.1736019 48.7765395, 9.1735897 48.7765382, 9.1735368 48.7764941))",,,,,Stuttgart,21,70173,Gymnasiumstraße,,,,DE,,"[10126604292, 1057852534, 1057852842, 1057852202, 1057852705, 8905714805, 8905714804, 1057852831, 2688889965, 10126615697, 1057851998, 8905714797, 8905714796, 8905714798, 8905714799, 10126615700, 8905714803, 10126604291, 10126604292]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,273574659,"POLYGON ((9.1719946 48.7777791, 9.1719801 48.7777881, 9.1721651 48.7779185, 9.1721806 48.777909, 9.1723051 48.7779968, 9.1723278 48.7779828, 9.1723327 48.7779863, 9.1723576 48.7779711, 9.1723521 48.7779672, 9.1723627 48.7779607, 9.1723675 48.7779641, 9.1723934 48.7779482, 9.1723882 48.7779446, 9.1723978 48.7779386, 9.172403 48.7779423, 9.1724272 48.7779273, 9.1724218 48.7779235, 9.1724315 48.7779175, 9.1724368 48.7779212, 9.1724612 48.7779062, 9.1724559 48.7779024, 9.1725677 48.7778335, 9.1724835 48.7777735, 9.1724381 48.7777424, 9.172413 48.7777588, 9.1722389 48.777636, 9.172265 48.7776199, 9.172239 48.7776019, 9.1719741 48.7777646, 9.1719946 48.7777791))",,Hospitalhof,https://www.hospitalhof.de/,,Stuttgart,33,70174,Büchsenstraße,,,,DE,,"[8907072659, 2784079778, 8907072663, 8907072662, 2784079779, 8907072678, 8907072671, 8907072670, 8907072677, 8907072676, 8907072669, 8907072668, 8907072675, 8907072674, 8907072667, 8907072666, 8907072673, 8907072672, 8907072665, 8907072664, 8907072679, 3330986574, 3330986573, 8907072657, 8907072655, 8907072656, 8907072658, 3330986565, 8907072660, 8907072659]",,civic,5,,,,,,,,,,,,,,,,,Q18706666,,,,,,,,,,,,,,
way,275957756,"POLYGON ((9.1735885 48.8086968, 9.17361 48.8087425, 9.1739582 48.8086714, 9.1739372 48.8086256, 9.173884 48.8086364, 9.1735907 48.8086963, 9.1735885 48.8086968))",,,,,Stuttgart,20,70192,Beim Höhenfreibad,,,,DE,,"[2806070148, 2806070160, 2806070158, 2806070154, 2806070156, 2806070147, 2806070148]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,288267149,"POLYGON ((9.1610083 48.7737982, 9.161282 48.7738844, 9.1613753 48.7737572, 9.1613045 48.7737346, 9.1613595 48.7736596, 9.1612319 48.7736185, 9.1611996 48.7736087, 9.1610604 48.773565, 9.1607746 48.773471, 9.1607656 48.7734848, 9.1607437 48.7734839, 9.1606948 48.7735425, 9.1607828 48.7735706, 9.160748 48.7736139, 9.1610534 48.7737136, 9.1610083 48.7737982))",,,,,Stuttgart,41,70176,Ludwigstraße,,,,DE,,"[2918254576, 297765371, 297765372, 2918254574, 2918254570, 9519544470, 9519544469, 9519528194, 9519528196, 9519528197, 9519528198, 9519528199, 2918254565, 2918254562, 9519528193, 2918254576]",,civic,3,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,288715868,"POLYGON ((9.1635528 48.7788119, 9.1636666 48.7788678, 9.1636536 48.7788791, 9.1636989 48.7789023, 9.1637198 48.7788853, 9.1637772 48.7789145, 9.1637687 48.7789211, 9.1638042 48.7789386, 9.1637925 48.7789474, 9.1638405 48.7789712, 9.1638524 48.7789609, 9.1639465 48.7790068, 9.163935 48.779017, 9.1639797 48.7790403, 9.1640424 48.7789854, 9.1640643 48.778999, 9.1640873 48.7789839, 9.1641059 48.7789962, 9.164183 48.7789471, 9.1641416 48.7789199, 9.1641471 48.7789164, 9.1640792 48.7788754, 9.1640744 48.7788791, 9.1639925 48.7788345, 9.1639974 48.7788305, 9.1639239 48.7787943, 9.163919 48.7787987, 9.1638308 48.778758, 9.163835 48.7787546, 9.1637474 48.7787235, 9.1637427 48.7787287, 9.1636924 48.7787118, 9.1636389 48.7786947, 9.1635528 48.7788119))",,,,,Stuttgart,89,70176,Silberburgstraße,,,,DE,,"[391024626, 2922687271, 2922687272, 2922687275, 2922687274, 2922687277, 9214822105, 2922687279, 2922687282, 2922687285, 2922687284, 2922687293, 2922687294, 2922687297, 2922687288, 2922687291, 2922687287, 2922687292, 2922687281, 9214822104, 9214822103, 9214822102, 2922687273, 9214822101, 9214822100, 9214822099, 2922687268, 2922687265, 9214822098, 9214822097, 2922687264, 391024614, 2922687263, 391024626]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,290267474,"POLYGON ((9.1379506 48.7784325, 9.1379759 48.7784631, 9.1379492 48.7784727, 9.1381237 48.7786839, 9.1381419 48.7786868, 9.1381949 48.7787494, 9.1384805 48.7786453, 9.1384952 48.7786289, 9.1385029 48.7786213, 9.1384248 48.778527, 9.1384162 48.7785166, 9.1383796 48.7785095, 9.1381968 48.7785752, 9.1381406 48.7785066, 9.1381477 48.7784984, 9.1380904 48.7784292, 9.1380345 48.7784493, 9.1380046 48.7784131, 9.1379506 48.7784325))",,,,,Stuttgart,271,70193,Am Kräherwald,,,,DE,,"[2938228334, 2938228339, 2938228340, 2938228358, 2938228357, 2938228359, 2938228355, 2938228354, 2938228352, 2938228349, 2938228347, 2938228346, 2938228351, 2938228345, 2938228344, 2938228333, 2938228338, 2938228331, 2938228334]",,civic,3,3,double_saltbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,290267486,"POLYGON ((9.1384248 48.778527, 9.1385217 48.7784892, 9.1385463 48.7785188, 9.1386513 48.7784809, 9.1386663 48.7784985, 9.1386801 48.7784933, 9.1387397 48.7785508, 9.1387382 48.7785676, 9.1386195 48.7786221, 9.1386006 48.778621, 9.1385998 48.778631, 9.1385582 48.7786505, 9.138543 48.7786347, 9.1384952 48.7786289, 9.1385029 48.7786213, 9.1384248 48.778527))",,,,,Stuttgart,271,70193,Am Kräherwald,,,,DE,,"[2938228349, 2938228343, 601603637, 2938228341, 9282908479, 9282908478, 2938228350, 9282908477, 9282908476, 9282908474, 9282908475, 2938228356, 2938228353, 2938228354, 2938228352, 2938228349]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
