element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,entrance,geometry,source,access,building,name,description,note,operator,website,wheelchair,check_date,url,nodes,building:levels,roof:levels,roof:shape,building:colour,building:material,roof:colour,roof:material,roof:orientation,service,was:amenity,was:cuisine,was:name,was:website,building:levels:underground,fixme,reg_name,start_date,source:roof:shape,name:wikipedia,height,name:building,phone,source:addr,nohousenumber,owner,wikidata,ele,roof:height,building:part,operator:url,proposed:name,start_date:construction,proposed:roof:shape,construction,building:parts,architect,building:name,building:min_level,ways,type
way,30164505,Stuttgart,DE,51,70195,Brucknerstraße,,,"POLYGON ((9.1294878 48.7734997, 9.1295787 48.7733589, 9.1294752 48.7733299, 9.1293985 48.7733084, 9.1293075 48.7734492, 9.1294878 48.7734997))",,,residential,,,,,,,,,"[332400150, 332400151, 10167359281, 332400152, 332400153, 332400150]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30172105,Stuttgart,DE,56A,70195,Alte Stuttgarter Straße,,,"POLYGON ((9.1278723 48.7776246, 9.1279594 48.7776234, 9.1279567 48.7775412, 9.1278696 48.7775424, 9.1278723 48.7776246))",,,residential,,,,,,,,,"[332469315, 7387929817, 7387929816, 332469309, 332469315]",,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31694696,Stuttgart,DE,2,70193,Steinenhausenstraße,,,"POLYGON ((9.1515009 48.7785136, 9.1516743 48.7786156, 9.1515884 48.778679, 9.151415 48.7785769, 9.1515009 48.7785136))",,,residential,,,,,,,,,"[354674651, 354674654, 354674657, 354674660, 354674651]",3,1,hipped,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31727763,Stuttgart,DE,120,70193,Bebelstraße,,,"POLYGON ((9.1419477 48.7747075, 9.1418726 48.7747703, 9.1417985 48.7747729, 9.1418043 48.7746555, 9.1419551 48.7746612, 9.1419477 48.7747075))",,,residential,,,,,,,,,"[354976895, 1238604259, 354976897, 354976898, 354976900, 354976895]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32560505,Stuttgart,DE,85,70195,Alte Stuttgarter Straße,,,"POLYGON ((9.1297911 48.7777866, 9.1296887 48.7777864, 9.1296892 48.7776965, 9.1297916 48.7776967, 9.1297911 48.7777866))",,,residential,,,,,,,,,"[366208761, 7387929815, 7387929814, 366208760, 366208761]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34289739,,,,,,,,"POLYGON ((9.2322925 48.8288589, 9.2323699 48.8288587, 9.2324485 48.8288588, 9.2324509 48.8288243, 9.232455 48.828768, 9.2323757 48.8287677, 9.2322975 48.8287679, 9.2322923 48.828826, 9.2322925 48.8288589))",,,residential,,,,,,,,,"[3656750072, 3656750075, 3656750074, 3447690352, 3447690339, 3656750076, 393172890, 393172885, 3656750072]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34289741,,,2,,Wichernweg,,,"POLYGON ((9.2320757 48.8286177, 9.2321825 48.8286185, 9.2321809 48.8285421, 9.2320741 48.8285413, 9.2320757 48.8286177))",,,residential,,,,,,,,,"[393172895, 7357674391, 7357674390, 393172898, 393172895]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34311978,Stuttgart,DE,2,70469,Kruppstraße,,,"POLYGON ((9.1710603 48.8129702, 9.1711732 48.813074, 9.1709211 48.8131929, 9.1709686 48.8132366, 9.1706662 48.8133791, 9.1705546 48.8132764, 9.1707564 48.8131813, 9.1707076 48.8131364, 9.1710603 48.8129702))",,,residential,,,,,,,,,"[393477086, 393477090, 393477094, 393477096, 393477100, 393477103, 393477108, 393477111, 393477086]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35955650,Stuttgart,DE,28,70563,Holderbuschweg,,,"POLYGON ((9.1007453 48.7368821, 9.1007968 48.7367923, 9.1009856 48.7368394, 9.1009341 48.7369292, 9.1007453 48.7368821))",,,residential,,,,,,,,,"[420300078, 420300076, 420300080, 420300082, 420300078]",2,2,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,38665952,Stuttgart,DE,39,70565,Galileistraße,,,"POLYGON ((9.1186884 48.719518, 9.1184939 48.7195619, 9.118538 48.7196489, 9.1187337 48.7196048, 9.1186884 48.719518))",Luftbild LHS,,residential,,,,,,,,,"[2091606253, 457945246, 457945233, 2091606256, 2091606253]",3,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
