element_type,osmid,geometry,barrier,description,level,name,amenity,access,source,leisure,url,nodes,start_date,operator,website,surface,natural,wikidata,historic,loc_name,old_name,landuse,wikipedia,opening_hours,place,architect:wikidata,alt_name,reg_name,name:-2021-10-13,area,fireplace,tourism,private,bbq,dog,model_sport:aircraft,source:name,height,note,fixme,name:etymology:wikidata,name:wikipedia,lit,club,leaf_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,community_centre:for,email,fax,phone,fence,ways,drones,slackline,type,name:1937-1945
way,100298299,"POLYGON ((9.1702688 48.8373493, 9.1707757 48.8372469, 9.1705638 48.8367844, 9.1700569 48.8368956, 9.1702688 48.8373493))",,,,,,,,park,,"[1159306008, 1159306007, 1159306009, 1159306006, 1159306008]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103877512,"POLYGON ((9.2121031 48.7758787, 9.2122052 48.7759173, 9.212425 48.7757845, 9.2122004 48.7756724, 9.2121031 48.7758787))",,,,,,,,park,,"[1199072619, 1199072525, 1199072579, 1199072547, 1199072619]",,,,,,,,,,,,,,,,,,,yes,picnic_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103888473,"POLYGON ((9.2280003 48.7728937, 9.2281653 48.7730794, 9.2284126 48.7729667, 9.2282809 48.7728009, 9.2280003 48.7728937))",,,,Aussichtsplattform Schillerlinde,,,,park,,"[257088568, 512592606, 512592636, 512592604, 257088568]",,Verschönerungsverein Stuttgart e.V.,,,,,,,,,,,,,,,,,,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106062626,"POLYGON ((9.1182629 48.8140328, 9.1185301 48.8129427, 9.1191907 48.8130103, 9.119071 48.8136269, 9.1187396 48.8139647, 9.1186862 48.8141041, 9.1182629 48.8140328))",,,,Wormser Platz,,,,park,,"[1221298106, 1221298707, 1221298224, 1221297854, 1221297657, 1221298868, 1221298106]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,109744675,"POLYGON ((9.2187753 48.7988263, 9.2190543 48.7988519, 9.2191162 48.7985659, 9.2188348 48.7985344, 9.2187753 48.7988263))",,,,,,,,park,,"[1255478406, 1255478374, 1255478393, 1255478358, 1255478406]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,111803034,"POLYGON ((9.0763488 48.7493238, 9.0768171 48.7493482, 9.0769292 48.7492633, 9.0774324 48.749009, 9.0775343 48.7488852, 9.0765097 48.7487756, 9.0764891 48.7488168, 9.0763488 48.7493238))",,,,,,,,park,,"[1272958993, 1272958942, 1272958995, 1272958969, 1272959012, 1272958991, 1696019123, 1272958993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,119037137,"POLYGON ((9.1488378 48.8050687, 9.1492728 48.8052397, 9.148709 48.806012, 9.1483603 48.8059202, 9.148849 48.8054305, 9.1488378 48.8050687))",,,,,,,,park,,"[1338246135, 1338246139, 1338246145, 1338246153, 1338246141, 1338246135]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,120864823,"POLYGON ((9.2062647 48.8000931, 9.2066523 48.8003424, 9.207202 48.7999716, 9.2068144 48.7997223, 9.2062647 48.8000931))",,,,Rosengarten,,,,park,,"[1354156275, 1354156292, 1354156255, 1354156248, 1354156275]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122660413,"POLYGON ((9.227412 48.844542, 9.2267179 48.843901, 9.2268793 48.8437875, 9.2269929 48.8436785, 9.2271215 48.8434495, 9.2271577 48.843262, 9.227098 48.8431359, 9.2270567 48.8429948, 9.2269454 48.8429244, 9.2265415 48.8428117, 9.226729 48.8426069, 9.2270196 48.8427018, 9.2272237 48.8424915, 9.2278127 48.842686, 9.2282248 48.8423881, 9.2284029 48.8424536, 9.2289786 48.8426493, 9.2289439 48.8426888, 9.2288332 48.8428144, 9.2291946 48.8429326, 9.2292904 48.8428029, 9.2293254 48.8427555, 9.2294148 48.842615, 9.2297138 48.8425595, 9.229704 48.8427036, 9.2297554 48.8429082, 9.2298074 48.843056, 9.2298625 48.8432623, 9.229918 48.8436155, 9.2299539 48.8437455, 9.2299772 48.8440028, 9.2298916 48.8441879, 9.2297434 48.8443987, 9.229524 48.8445938, 9.2292699 48.8447427, 9.2290066 48.8448476, 9.2286441 48.8449455, 9.2284546 48.8449738, 9.228152 48.8450103, 9.2278482 48.8450422, 9.2276303 48.8447924, 9.227412 48.844542))",,,,,,,,park,,"[1369956107, 1369956105, 1369956092, 2366779180, 1369956104, 2366779175, 2366779172, 2366779167, 1369956096, 1369956091, 1369956102, 1369956114, 1369956112, 1369956111, 1369956110, 1373478557, 1369956116, 2880153536, 1369956106, 1369956097, 2398303088, 1369956100, 1369956099, 2376069125, 2376069126, 1369956095, 1857877361, 1369956117, 1369956101, 1369956103, 1369956094, 1369956115, 1369956093, 2376069146, 2376069151, 2376069153, 1369956113, 2376069160, 2376069162, 1369956098, 2398303250, 1369956107]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,124106496,"POLYGON ((9.199373 48.7778436, 9.1993616 48.778263, 9.1986243 48.7782443, 9.1983098 48.7781299, 9.1983035 48.7780579, 9.1978184 48.7777031, 9.1973212 48.7773594, 9.1973882 48.7773069, 9.1978548 48.7772003, 9.1980902 48.7771316, 9.1983059 48.7770576, 9.1986318 48.7769034, 9.1986967 48.7769084, 9.1988992 48.7773006, 9.1990517 48.7775331, 9.1992145 48.7777162, 9.199373 48.7778436))",wall,,,,,,,park,,"[8340199902, 1382176608, 1382176607, 1382176606, 3092776724, 8340199901, 1382176568, 3067567735, 1382176553, 3067567733, 1382176544, 1382176538, 3067566430, 1382176563, 1382176581, 1382176587, 8340199902]",,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
