element_type,osmid,amenity,geometry,wheelchair,access,wheelchair:description,operator,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,level,email,fax,name,opening_hours,phone,shop,website,brand,nodes,brand:wikidata,brand:wikipedia,building,internet_access,short_name,toilets:wheelchair,alt_name,building:levels,roof:levels,check_date:opening_hours,cuisine,roof:shape,contact:phone,contact:website,old_name,toilets,takeaway,diet:vegan,diet:vegetarian,description,craft,disused:shop,name:ko,wikidata,changing_table,drink:club-mate,building:colour,building:levels:underground,building:material,height,roof:colour,roof:material,source,source:height,access:covid19,drive_through:covid19,opening_hours:covid19,heritage,heritage:operator,start_date,contact:facebook,contact:instagram,contact:mobile,clothes,motorcycle:clothes,motorcycle:parts,addr:suburb,building:min_level,layer,roof:height,architect,wikimedia_commons,wikipedia,noaddress,branch,contact:email,diet:halal,diet:kosher,contact:fax,healthcare,opening_hours:signed,nohousenumber,not:brand:wikidata,trade,check_date,disused:kiosk,disused:name,disused:opening_hours,outdoor_seating,reservation,smoking,note:building:levels,air_conditioning,currency:EUR,diet:gluten_free,diet:healthy,diet:lactose_free,diet:local,diet:meat,diet:mediterranean,diet:non-vegetarian,image,membership,payment:cash,payment:coins,payment:credit_cards,payment:debit_cards,payment:girocard,payment:maestro,payment:mastercard,payment:visa,ref:vatin,second_hand,stroller,cash_withdrawal,internet_access:fee,loc_name,name:de,opening_hours:url,self_checkout,breakfast,drive_through,ice_cream,indoor_seating,leisure,note,addr:housename,noname,ways,type
way,105624934,,"POLYGON ((8.5053338 50.0974962, 8.5052168 50.0976301, 8.5054916 50.0977303, 8.5056595 50.0975459, 8.5056713 50.09744, 8.5056762 50.0973457, 8.5056831 50.0973003, 8.5053559 50.0972875, 8.5053338 50.0974962))",yes,,,,,,,,,,,,,,,,,,"[1216375385, 1216374497, 1216375189, 1216375070, 2296281374, 2296281363, 1216375459, 1216375568, 1216375385]",,,retail,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105699408,,"POLYGON ((8.7432569 50.1388295, 8.7431846 50.1388028, 8.7431821 50.1388056, 8.7431793 50.1388045, 8.7430755 50.1389238, 8.7428951 50.1388601, 8.7427282 50.1386797, 8.7427516 50.138651, 8.742748 50.1386497, 8.7427502 50.1386475, 8.7426525 50.1386125, 8.7427531 50.1384971, 8.7429218 50.1383024, 8.7430946 50.138104, 8.7429045 50.138036, 8.7429744 50.1379549, 8.742985 50.1379448, 8.7429976 50.1379349, 8.7430103 50.1379267, 8.7430276 50.1379172, 8.743039 50.1379121, 8.7430554 50.1379058, 8.7430749 50.1378996, 8.743092 50.137896, 8.7431096 50.1378923, 8.7431256 50.1378904, 8.7431423 50.1378893, 8.7431587 50.137889, 8.7431731 50.1378893, 8.7431862 50.13789, 8.7431998 50.1378914, 8.7432132 50.1378933, 8.7432273 50.1378962, 8.743239 50.137899, 8.743253 50.1379028, 8.7432656 50.1379073, 8.7433641 50.1377925, 8.7434135 50.1377361, 8.7437224 50.1376444, 8.7440165 50.1379537, 8.7437407 50.1382715, 8.7437315 50.138268, 8.7436493 50.1383624, 8.743659 50.1383658, 8.7432569 50.1388295))",,,,,Frankfurt am Main,DE,23,60388,Borsigallee,,,,,,,,,,"[1217283795, 1217283798, 1229893068, 1229892913, 1217283763, 1217283775, 1217283777, 1229892307, 1229892235, 1229892705, 1217283811, 1229892502, 1229892850, 1229892375, 1217283790, 10298689432, 10298689431, 1217283787, 10298689430, 10298689429, 10298689428, 10298689427, 10298689426, 10298689425, 10298689424, 10298689423, 1217283780, 10298689422, 1217283784, 10298689421, 1229892213, 10298689420, 1217283762, 10298689419, 1229892981, 1217283773, 1229892652, 1217283805, 1217283801, 1217283757, 1229892740, 1229892937, 1229892661, 1229892765, 1217283795]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105757455,,"POLYGON ((8.4988164 50.0975656, 8.4988981 50.097471, 8.4987448 50.0974165, 8.4986631 50.0975111, 8.4988164 50.0975656))",,,,,Frankfurt am Main,,11,65931,Bechtenwaldstraße,,,,,,,,,,"[1217776013, 1217775438, 1217774353, 1217775617, 1217776013]",,,retail,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105757465,,"POLYGON ((8.4988123 50.0971543, 8.4988177 50.0970673, 8.4987137 50.0970647, 8.4987083 50.0971517, 8.4988123 50.0971543))",,,,,Frankfurt am Main,,51,65931,Pfaffenwiese,,,,,,,,,,"[1217774954, 1217776110, 1217775239, 1217775840, 1217774954]",,,retail,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105757475,,"POLYGON ((8.4977929 50.0974568, 8.4982878 50.0976404, 8.4983845 50.0975332, 8.4980852 50.0974222, 8.4982241 50.0972681, 8.4980284 50.0971955, 8.4977929 50.0974568))",,,,,Frankfurt am Main,,5,65931,Bechtenwaldstraße,,,,,,,,,,"[1217775349, 1217774615, 1217775264, 1217774814, 1217775863, 1217774078, 1217775349]",,,retail,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105757581,,"POLYGON ((8.497866 50.0986768, 8.497893 50.0986727, 8.4979392 50.0986159, 8.4979358 50.0985918, 8.4979481 50.0985768, 8.4979852 50.0985727, 8.4980284 50.0985199, 8.4980203 50.0984997, 8.4979232 50.0984671, 8.4978946 50.0984726, 8.4978495 50.0985278, 8.4978537 50.0985451, 8.4978415 50.0985601, 8.4978118 50.0985621, 8.4977614 50.098624, 8.4977676 50.0986438, 8.497866 50.0986768))",,,,,Frankfurt am Main,,54,65931,Pflugspfad,,,,,,,,,,"[1217774876, 2302797305, 2302797251, 1217776065, 2302797237, 2302797232, 2302797209, 2302797201, 2302797173, 2302797180, 2302797211, 2302797216, 1217774763, 2302797222, 1217774460, 2302797281, 1217774876]",,,retail,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105757616,,"POLYGON ((8.4986742 50.0977059, 8.4984565 50.0976313, 8.4983913 50.0977096, 8.4985365 50.0977594, 8.4985059 50.0977961, 8.498659 50.0978485, 8.4987145 50.0977819, 8.4986339 50.0977542, 8.4986742 50.0977059))",,,,,Frankfurt am Main,,34,65931,Kegelbahn,,,,,,,,,,"[1217775963, 1217774687, 1217774554, 1217775957, 1217774546, 1217775284, 1217776080, 1217775794, 1217775963]",,,retail,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105760663,,"POLYGON ((8.4922464 50.0984715, 8.4923488 50.0985093, 8.4923819 50.0985215, 8.4923988 50.0985026, 8.4924386 50.0984582, 8.4924945 50.0983957, 8.492359 50.0983458, 8.4922464 50.0984715))",,,,,,,,,,,,,,,,,,,"[1217811277, 1217809229, 2302797210, 2302797203, 2302797164, 1217810187, 1217810470, 1217811277]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106414120,,"POLYGON ((8.4949378 50.0942498, 8.4948129 50.0941142, 8.4946718 50.0941678, 8.4947474 50.0942533, 8.4947831 50.0942936, 8.4949378 50.0942498))",,,,,,,5,,Alt-Zeilsheim,,,,,,,,,,"[1224438281, 1224438797, 1224439185, 2305468680, 2305468686, 1224438281]",,,retail,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106414129,,"POLYGON ((8.4908716 50.0961082, 8.4909316 50.0960694, 8.4908781 50.0960226, 8.4907993 50.0959569, 8.4907534 50.0959833, 8.4908557 50.0960691, 8.4908359 50.0960844, 8.4908716 50.0961082))",,,,,,,,,,,,,,,,,,,"[1224439488, 1224438505, 2305469098, 1224438925, 1224438391, 2305469110, 2305469119, 1224439488]",,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
