element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,wheelchair,addr:country,amenity,nodes,building,building:levels,roof:shape,roof:levels,old_name,wikipedia,source,building:colour,height,roof:colour,roof:height,note,building:material,roof:material,fixme,roof:orientation,description,email,name,operator,operator:type,phone,social_facility,social_facility:for,website,roof:direction,addr:housename,building:levels:underground,building:min_level,check_date
way,301109175,"POLYGON ((8.6261896 50.1079809, 8.62575 50.1079618, 8.6257369 50.1080978, 8.6257224 50.1082476, 8.6259297 50.1082558, 8.6259429 50.1081189, 8.6261734 50.1081278, 8.6261896 50.1079809))",Frankfurt am Main,132,60486,Europa-Allee,,,,"[3052204767, 2709568708, 3052204769, 2709568745, 2709568747, 2709568723, 3052204771, 3052204767]",residential,8,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109176,"POLYGON ((8.6269444 50.1074717, 8.627196 50.1074833, 8.6272116 50.1073441, 8.6271484 50.1073412, 8.6271501 50.1073268, 8.6271504 50.107324, 8.6270125 50.1073166, 8.6270119 50.1073213, 8.6270102 50.1073348, 8.62696 50.1073325, 8.6269444 50.1074717))",Frankfurt am Main,133,60486,Europa-Allee,,,,"[2709568695, 3052204759, 3052204750, 3051653259, 9004812528, 9004812530, 9004812531, 9004812529, 3051653258, 2709568615, 2709568695]",residential,7,flat,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109177,"POLYGON ((8.6247976 50.1080813, 8.6249372 50.1080872, 8.6249244 50.1082131, 8.6250828 50.1082197, 8.625096 50.1080899, 8.6252084 50.1080946, 8.6252241 50.1079392, 8.6250273 50.107931, 8.6248137 50.1079221, 8.6247976 50.1080813))",Frankfurt am Main,136,60486,Europa-Allee,,,,"[3052204768, 2709568716, 2709568735, 2709568736, 2709568719, 3052204770, 3052204766, 3051716248, 3052204765, 3052204768]",residential,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109179,"POLYGON ((8.6248137 50.1079221, 8.6245228 50.10791, 8.6245007 50.1079891, 8.6244536 50.1081967, 8.6246605 50.1082028, 8.6246733 50.1080762, 8.6247976 50.1080813, 8.6248137 50.1079221))",Frankfurt am Main,138,60486,Europa-Allee,,,,"[3052204765, 2709568703, 3051653254, 2709568729, 2709568732, 2709568714, 3052204768, 3052204765]",residential,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109180,"POLYGON ((8.6267533 50.1070128, 8.6267334 50.1071644, 8.6264674 50.1071501, 8.6264232 50.106995, 8.6267533 50.1070128))",Frankfurt am Main,143,60486,Europa-Allee,,,,"[2709568558, 3052204746, 3052204745, 2709568555, 2709568558]",residential,8,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109181,"POLYGON ((8.6267334 50.1071644, 8.6267163 50.1073146, 8.6265203 50.1073056, 8.6264674 50.1071501, 8.6267334 50.1071644))",Frankfurt am Main,145,60486,Europa-Allee,,,,"[3052204746, 2709568610, 2709568604, 3052204745, 3052204746]",residential,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109183,"POLYGON ((8.6266994 50.107462, 8.6264705 50.1074522, 8.6264864 50.1073045, 8.6265203 50.1073056, 8.6267163 50.1073146, 8.6266994 50.107462))",Frankfurt am Main,147,60486,Europa-Allee,,,,"[2709568692, 3052204758, 3052204749, 2709568604, 2709568610, 2709568692]",residential,8,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109184,"POLYGON ((8.6264705 50.1074522, 8.6262699 50.1074438, 8.6262862 50.1072949, 8.6264864 50.1073045, 8.6264705 50.1074522))",Frankfurt am Main,149,60486,Europa-Allee,,,,"[3052204758, 3052204757, 3052204748, 3052204749, 3052204758]",residential,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109186,"POLYGON ((8.6262699 50.1074438, 8.626068 50.1074346, 8.6260844 50.1072858, 8.6262862 50.1072949, 8.6262699 50.1074438))",Frankfurt am Main,151,60486,Europa-Allee,,,,"[3052204757, 3052204756, 3052204747, 3052204748, 3052204757]",residential,8,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,301109187,"POLYGON ((8.626068 50.1074346, 8.6258258 50.1074259, 8.6258379 50.1072748, 8.6260548 50.1072837, 8.6260844 50.1072858, 8.626068 50.1074346))",Frankfurt am Main,153,60486,Europa-Allee,,,,"[3052204756, 2709568681, 2709568589, 2709568591, 3052204747, 3052204756]",residential,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,307032596,"POLYGON ((8.6621339 50.1475792, 8.662207 50.1474421, 8.6623717 50.1474782, 8.6622986 50.1476152, 8.6621339 50.1475792))",Frankfurt am Main,160,60431,Hügelstraße,,DE,,"[321321448, 318719602, 318719604, 321321449, 321321448]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,307032599,"POLYGON ((8.6620609 50.1477163, 8.6621339 50.1475792, 8.6622986 50.1476152, 8.6622255 50.1477523, 8.6620609 50.1477163))",Frankfurt am Main,162,60431,Hügelstraße,,DE,,"[318719603, 321321448, 321321449, 318719605, 318719603]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,314900543,"POLYGON ((8.6324435 50.067504, 8.6323768 50.0675986, 8.6325455 50.0676476, 8.6326121 50.067553, 8.6324435 50.067504))",Frankfurt am Main,112,60528,Flughafenstraße,,DE,,"[3209572953, 3209572958, 3209579261, 3209572956, 3209572953]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315779592,"POLYGON ((8.6394664 50.1783865, 8.6393463 50.1783309, 8.6392391 50.1784271, 8.6393591 50.1784819, 8.6394664 50.1783865))",Frankfurt am Main,10,60438,Margarete-Steiff-Straße,,,,"[3219141212, 665902112, 665902122, 3219141216, 3219141212]",residential,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315779595,"POLYGON ((8.6395864 50.1784421, 8.6394664 50.1783865, 8.6393591 50.1784819, 8.6394791 50.1785366, 8.6395864 50.1784421))",Frankfurt am Main,12,60438,Margarete-Steiff-Straße,,,,"[1371253567, 3219141212, 3219141216, 1371253613, 1371253567]",residential,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315779612,"POLYGON ((8.6390173 50.1782548, 8.638944 50.1783166, 8.6390815 50.1783816, 8.639154 50.17832, 8.6390173 50.1782548))",Frankfurt am Main,2,60438,Margarete-Steiff-Straße,,,,"[3219141205, 3219141207, 3219141211, 3219141209, 3219141205]",residential,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315779650,"POLYGON ((8.6391068 50.1781793, 8.6390173 50.1782548, 8.639154 50.17832, 8.6392428 50.1782447, 8.6391068 50.1781793))",Frankfurt am Main,4,60438,Margarete-Steiff-Straße,,,,"[3219141200, 3219141205, 3219141209, 3219141204, 3219141200]",residential,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315779679,"POLYGON ((8.6391964 50.1781038, 8.6391068 50.1781793, 8.6392428 50.1782447, 8.6393315 50.1781694, 8.6391964 50.1781038))",Frankfurt am Main,6,60438,Margarete-Steiff-Straße,,,,"[3219141195, 3219141200, 3219141204, 3219141198, 3219141195]",residential,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,315779681,"POLYGON ((8.639286 50.1780283, 8.6391964 50.1781038, 8.6393315 50.1781694, 8.6394203 50.1780941, 8.639286 50.1780283))",Frankfurt am Main,8,60438,Margarete-Steiff-Straße,,,,"[2920365130, 3219141195, 3219141198, 2920365129, 2920365130]",residential,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,316689677,"POLYGON ((8.6212212 50.1284717, 8.6213805 50.1284742, 8.6213878 50.1282829, 8.6212286 50.1282804, 8.6212212 50.1284717))",Frankfurt am Main,338,60487,Ludwig-Landmann-Straße,,,,"[3228453890, 3228453891, 3228453889, 3228453888, 3228453890]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,317117161,"POLYGON ((8.6620267 50.1149718, 8.662002 50.1148854, 8.6621791 50.1148648, 8.6621519 50.1147686, 8.6619734 50.1147894, 8.6619692 50.1147748, 8.6619462 50.1147774, 8.6619223 50.1147802, 8.6619264 50.1147947, 8.6617954 50.1148099, 8.6618201 50.1148972, 8.6618473 50.1149927, 8.6620267 50.1149718))",,,,,,,,"[3233479398, 3233479394, 3233479393, 3233479388, 9877518896, 9877518895, 3233479382, 9877518893, 9877518894, 3233479389, 3233479381, 3233479399, 3233479398]",residential,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
