element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,nodes,building,wheelchair,check_date:opening_hours,consulate,country,diplomatic,office,opening_hours:signed,target,building:levels,building:min_level,layer,note:building:min_level,source,ways,type
way,244192167,"POLYGON ((8.6526163 50.123586, 8.6526743 50.1235072, 8.6525961 50.1234835, 8.6526011 50.1234768, 8.6525146 50.1234507, 8.6525097 50.1234574, 8.6524792 50.1234481, 8.6524212 50.1235269, 8.6526163 50.123586))",Frankfurt am Main,DE,39,60325,Zeppelinallee,,"[2515358776, 325145910, 2515358771, 2515358770, 2515358765, 2515358767, 325145915, 2515358775, 2515358776]",government,,,,,,,,,,,,,,,
way,244192171,"POLYGON ((8.6525583 50.1236648, 8.6526163 50.123586, 8.6524212 50.1235269, 8.6523948 50.1235647, 8.6524206 50.1235725, 8.6524078 50.1235899, 8.6524221 50.1236236, 8.6524444 50.1236304, 8.6524328 50.1236461, 8.6524801 50.1236604, 8.6524916 50.1236446, 8.6525583 50.1236648))",Frankfurt am Main,DE,41,60325,Zeppelinallee,,"[325145912, 2515358776, 2515358775, 360768892, 360768889, 325145917, 2515358781, 2515358784, 2515358790, 2515358792, 2515358785, 325145912]",government,,,,,,,,,,,,,,,
way,244192199,"POLYGON ((8.6528516 50.1226492, 8.6528356 50.1226465, 8.6528205 50.1226844, 8.6527916 50.1226797, 8.6527708 50.1227318, 8.6530384 50.1227759, 8.6530745 50.1226858, 8.6528516 50.1226492))",Frankfurt am Main,,27,60325,Zeppelinallee,,"[2515358677, 369316115, 369316114, 2515358682, 325146044, 325146043, 2515358684, 2515358677]",government,,,,,,,,,,,,,,,
way,295658121,"POLYGON ((8.6470199 50.1027561, 8.649337 50.1037138, 8.6493971 50.1037171, 8.6494641 50.10369, 8.6495021 50.1036605, 8.6495233 50.1036143, 8.6495172 50.1035597, 8.6471516 50.1026177, 8.6470999 50.102621, 8.6470534 50.1026359, 8.6470187 50.1026607, 8.6470003 50.1026919, 8.6470007 50.1027252, 8.6470199 50.1027561))",Frankfurt am Main,,25,60327,Adam-Riese-Straße,,"[2993984206, 2993984212, 2993984211, 2993984210, 2993984209, 2993984208, 2993984207, 2993984200, 2993984201, 2993984202, 2993984203, 2993984204, 2993984205, 2993984206]",government,,,,,,,,,6,,,,extrapolation,,
way,300429306,"POLYGON ((8.7026375 50.1093477, 8.702575 50.1093403, 8.7026099 50.109219, 8.7026 50.1092308, 8.7025735 50.109324, 8.7025484 50.1093218, 8.7025433 50.1093364, 8.7025098 50.1093324, 8.702538 50.1092979, 8.7022392 50.1092028, 8.7022228 50.1091974, 8.7022251 50.1091949, 8.7022127 50.1091906, 8.7024865 50.1090177, 8.7024987 50.1090086, 8.702533 50.1089756, 8.7027235 50.1090705, 8.7026964 50.1091074, 8.7026924 50.1091577, 8.7026375 50.1093477))",,,,,,,"[3045217298, 9840073147, 9840073143, 9840073142, 9840073144, 9840073145, 9840073146, 3045217308, 3045217303, 3045217304, 9840073178, 9840073177, 9038014834, 9840073155, 9840073154, 1686919866, 3045217296, 9840073156, 9840073157, 3045217298]",government,,,,,,,,,3,,,,,,
way,314619648,"POLYGON ((8.6950266 50.1503228, 8.6948906 50.1505863, 8.6953135 50.1506758, 8.6953282 50.1506474, 8.6957237 50.1507312, 8.6957104 50.150757, 8.6957768 50.1507711, 8.6958887 50.1505541, 8.6956315 50.1504996, 8.6955732 50.1506125, 8.6951049 50.1505133, 8.6951858 50.1503565, 8.6950266 50.1503228))",,,,,,,"[3206626117, 30083493, 3206626154, 3206626152, 3206626155, 3206626156, 3206626157, 3206626141, 3206626132, 3206626147, 3206626136, 3206626122, 3206626117]",government,,,,,,,,,,,,,,,
way,539998299,"POLYGON ((8.6724891 50.1395055, 8.6726008 50.1395349, 8.6726633 50.1394375, 8.6725516 50.1394081, 8.6724891 50.1395055))",Frankfurt am Main,DE,348,60320,Marbachweg,,"[322822004, 321838759, 321838751, 322822005, 322822004]",government,,,,,,,,,,,,,,,
way,617806868,"POLYGON ((8.6333258 50.1753378, 8.6336644 50.1752412, 8.6335071 50.1750151, 8.6331685 50.1751116, 8.6333258 50.1753378))",Frankfurt am Main,,2,60438,Konrad-Zuse-Straße,,"[5839788113, 5839788112, 5839788111, 5839788110, 5839788113]",government,,,,,,,,,,,,,,,
way,910256771,"POLYGON ((8.7017257 50.1092395, 8.7017568 50.1090951, 8.7018045 50.109099, 8.7017815 50.1092028, 8.7018769 50.10908, 8.7021907 50.1091752, 8.7022022 50.1091868, 8.7022127 50.1091906, 8.7022251 50.1091949, 8.7022228 50.1091974, 8.7022392 50.1092028, 8.7021725 50.1092955, 8.7017257 50.1092395))",,,,,,,"[8451218478, 8451218479, 8451218480, 8451218482, 8451218481, 9840073176, 9840073175, 9038014834, 9840073177, 9840073178, 3045217304, 3045217300, 8451218478]",government,,,,,,,,,,,,,,,
relation,1108386,"POLYGON ((8.6890255 50.1163545, 8.6890664 50.1163439, 8.6890741 50.1163418, 8.6890768 50.1163454, 8.6891385 50.1163288, 8.6891368 50.116326, 8.6893232 50.1162766, 8.6893321 50.1162901, 8.6894216 50.1162668, 8.6894174 50.1162597, 8.6895187 50.1162328, 8.6895983 50.116212, 8.6896035 50.1162199, 8.6896894 50.1161962, 8.6896816 50.1161837, 8.689864 50.1161351, 8.6898657 50.1161382, 8.6899297 50.1161211, 8.6899274 50.1161176, 8.6899433 50.1161141, 8.6899811 50.116104, 8.6901246 50.1160666, 8.6900552 50.1159095, 8.6900825 50.115905, 8.6900633 50.1158634, 8.69007 50.1158621, 8.6900602 50.1158422, 8.6900526 50.1158253, 8.6900474 50.1158267, 8.6900266 50.115782, 8.6900006 50.1157845, 8.6899307 50.1156285, 8.6898667 50.1156359, 8.6898654 50.1156312, 8.6897748 50.1156415, 8.6897758 50.1156462, 8.6897064 50.1156545, 8.6897207 50.1157029, 8.6897018 50.1157024, 8.6896855 50.1157198, 8.6896909 50.115731, 8.6894293 50.115764, 8.6894238 50.115745, 8.689364 50.1157522, 8.6893608 50.1157389, 8.6893255 50.1157431, 8.6892921 50.1157469, 8.689297 50.1157602, 8.6892323 50.1157673, 8.6892355 50.1157798, 8.6889816 50.1158033, 8.6889811 50.1157897, 8.6889599 50.1157788, 8.6889365 50.1157829, 8.6889248 50.1157364, 8.6888527 50.1157428, 8.6888518 50.1157387, 8.6887611 50.1157478, 8.6887623 50.1157519, 8.6886897 50.1157586, 8.6887341 50.1159896, 8.6887072 50.1159914, 8.688717 50.1160415, 8.6887103 50.1160418, 8.6887137 50.1160616, 8.6887169 50.1160816, 8.6887232 50.1160811, 8.6887317 50.1161312, 8.6887656 50.1161293, 8.6887951 50.1163014, 8.6887983 50.1163248, 8.6888041 50.1163628, 8.6888847 50.1163923, 8.6890255 50.1163545), (8.688991 50.1160863, 8.6889981 50.1160838, 8.6890018 50.1160813, 8.6890054 50.1160745, 8.6889946 50.1160097, 8.6889931 50.1160051, 8.6889884 50.1160011, 8.6889813 50.1159971, 8.6889745 50.115995, 8.6889667 50.1159946, 8.6889506 50.1159059, 8.6892255 50.1158778, 8.6892772 50.1161065, 8.6892679 50.1161106, 8.6892609 50.1161144, 8.6892543 50.1161186, 8.6892461 50.1161251, 8.6892375 50.1161344, 8.6892305 50.1161446, 8.6892267 50.1161552, 8.6892247 50.1161662, 8.6892247 50.1161753, 8.6892279 50.1161835, 8.689231 50.1161912, 8.6892352 50.1161983, 8.6890118 50.1162575, 8.6889826 50.1160873, 8.688991 50.1160863), (8.6894859 50.1158506, 8.689781 50.1158204, 8.6897922 50.1158477, 8.6897808 50.1158494, 8.689813 50.1159281, 8.6898258 50.1159261, 8.6898697 50.1160318, 8.6896689 50.1160846, 8.6896622 50.1160759, 8.6896538 50.1160678, 8.6896449 50.116061, 8.6896346 50.1160547, 8.6896235 50.1160493, 8.6896109 50.1160448, 8.689595 50.1160401, 8.6895779 50.116037, 8.6895603 50.1160361, 8.6895437 50.1160362, 8.6895288 50.1160378, 8.6894859 50.1158506))",,,,,,Gerichtsgebäude A,"[[[264150861, 1853445290, 1853445285, 1853445267, 1853445269, 9837457067, 9837457066, 1591630239, 9837457068, 9837457069, 1853445237, 1853445236, 264150862, 9837457073, 9837457070, 9837457071, 9837457072, 264150863, 9837457074, 10699495695, 10699495696, 264150864, 842540352, 842540406, 1853445195, 1853445189, 1591630295, 1853445187, 1853445191, 842540458, 842540361, 9837457075, 10699495693, 10699495692, 264150865, 264150866, 9837457078, 9837457077, 9837457076, 9837457079, 264150867, 842540414, 842540469, 9837445651, 9837445650, 9531599144, 9837445649, 9837445648, 842540382, 842540450, 264150868, 5003771177, 5003771176, 9837457055, 9837457053, 9837457054, 9837457056, 842540438, 842540480, 9837457058, 9837457057, 1591630195, 9837457059, 9837457060, 842540390, 842540472, 9837457065, 9837457062, 9837457063, 9837457064, 1853445294, 1853445299, 1853445310, 264150861], [842540429, 842540391, 1853445278, 842540442, 1853445273, 842540396, 9837445640, 9837445639, 842540451, 9837445638, 1853445262, 9837445637, 9837445636, 842540365, 842540402, 842540457, 842540373, 1853445246, 1853445248, 9837445641, 1853445250, 842540423, 842540467, 842540381, 842540433, 1853445260, 842540351, 842540429], [842540363, 9837445647, 9837445646, 842540463, 9837445645, 1853445254, 9837445644, 1853445256, 9837445643, 842540378, 9837445642, 842540427, 842540386, 1853445228, 1853445230, 1853445208, 1853445204, 842540436, 842540355, 842540363]]]",government,,,,,,,,,,,,,,"[24350082, 70604568, 70604562]",multipolygon
relation,1108949,"POLYGON ((8.6877846 50.1169663, 8.6877377 50.1169947, 8.6877894 50.1170341, 8.6880829 50.1172576, 8.688378 50.1175015, 8.6884084 50.1174873, 8.6884431 50.1174706, 8.6884641 50.1174895, 8.6891055 50.1171691, 8.6891385 50.1171526, 8.689016 50.1170506, 8.6889836 50.1170676, 8.6889028 50.117108, 8.6887942 50.1170196, 8.6888231 50.1170049, 8.68884 50.1170072, 8.6888563 50.1170069, 8.6888692 50.1170045, 8.6888801 50.1170014, 8.68889 50.1169969, 8.6888976 50.1169924, 8.6889081 50.1169814, 8.6889121 50.1169718, 8.6889139 50.1169599, 8.6889071 50.1169451, 8.6888942 50.1169331, 8.6888801 50.1169265, 8.6888651 50.1169231, 8.6888495 50.1169209, 8.6888298 50.1169222, 8.6888145 50.1169261, 8.6888044 50.1169309, 8.6887932 50.1169383, 8.6887856 50.1169453, 8.6887804 50.1169547, 8.6887785 50.116965, 8.6887474 50.1169807, 8.6886372 50.1168896, 8.6887162 50.1168527, 8.6887799 50.116821, 8.6887663 50.1168228, 8.6887138 50.1167792, 8.6886633 50.1167543, 8.6886211 50.1167763, 8.6885767 50.1167983, 8.6883964 50.116791, 8.6878319 50.1167683, 8.6878233 50.1168599, 8.6878139 50.1169486, 8.6877846 50.1169663), (8.6883679 50.1171221, 8.6883499 50.1171073, 8.6881509 50.1169439, 8.6881678 50.1169354, 8.6883951 50.1169414, 8.6885025 50.1170303, 8.6885214 50.117046, 8.6886875 50.1171835, 8.6885364 50.1172604, 8.6883679 50.1171221))",,,,,,Gerichtsgebäude E,"[[[1591630325, 843412426, 7249324954, 843412396, 602121943, 7249324953, 9837457018, 9837457017, 3901503759, 602121942, 8303783408, 10699514326, 602121939, 10699514325, 602121941], [602121941, 1591630253, 602121935, 1591630198, 1853445373, 7249324957, 602121936, 1853445372, 9837457019, 843412399, 7249324956, 843412401, 1591630319, 1853445422, 9837445666, 1853445412, 1853445409, 1853445405, 7249324955, 1591630315, 1853445400, 1591630317, 1853445404, 1853445406, 1591630321, 1591630323, 1853445426, 1853445430, 1853445436, 1853445442, 1853445445, 1853445447, 9837445665, 1853445449, 9837457022, 1591630325], [843412407, 843412423, 9837445662, 9837445663, 843412404, 1853445408, 843412383, 9837445664, 9837445661, 843412407]]]",government,,,,,,,,,,,,,,"[47252496, 1086043027, 70712833]",multipolygon
