osmid,y,x,street_count,highway,ref,geometry
482273,50.1322896,8.5900068,3,,,POINT (8.5900068 50.1322896)
482275,50.133849,8.5901745,3,,,POINT (8.5901745 50.133849)
482319,50.1359867,8.5904304,3,,,POINT (8.5904304 50.1359867)
482324,50.1989008,8.6483228,3,,,POINT (8.6483228 50.1989008)
482329,50.2025499,8.6484165,3,,,POINT (8.6484165 50.2025499)
482369,50.0548575,8.6061113,3,,,POINT (8.6061113 50.0548575)
482600,50.0879317,8.6192385,6,,,POINT (8.6192385 50.0879317)
482612,50.1340906,8.594883,3,,,POINT (8.594883 50.1340906)
482630,50.1337141,8.5929664,3,,,POINT (8.5929664 50.1337141)
482632,50.0903559,8.6184182,3,,,POINT (8.6184182 50.0903559)
482636,50.1981735,8.6405113,3,motorway_junction,17,POINT (8.6405113 50.1981735)
499219,50.1235991,8.5793127,4,,,POINT (8.5793127 50.1235991)
504228,50.1489537,8.7042826,3,,,POINT (8.7042826 50.1489537)
504242,50.1602049,8.6946432,3,,,POINT (8.6946432 50.1602049)
504254,50.1594227,8.6794922,3,motorway_junction,7,POINT (8.6794922 50.1594227)
504298,50.1940653,8.6530893,3,motorway_junction,5,POINT (8.6530893 50.1940653)
504299,50.1957565,8.6514753,3,,,POINT (8.6514753 50.1957565)
504300,50.1969922,8.6502842,3,motorway_junction,4,POINT (8.6502842 50.1969922)
504372,50.1970891,8.6498799,3,,,POINT (8.6498799 50.1970891)
504374,50.1935522,8.6533063,3,motorway_junction,5,POINT (8.6533063 50.1935522)
504407,50.1591439,8.6808774,3,motorway_junction,7,POINT (8.6808774 50.1591439)
504416,50.1597773,8.69251,3,motorway_junction,8,POINT (8.69251 50.1597773)
504558,50.1605177,8.6741817,3,motorway_junction,7,POINT (8.6741817 50.1605177)
504577,50.1467419,8.7035806,3,motorway_junction,9,POINT (8.7035806 50.1467419)
504605,50.1573986,8.7050137,3,motorway_junction,8,POINT (8.7050137 50.1573986)
504613,50.1290365,8.7243417,3,,,POINT (8.7243417 50.1290365)
504984,50.1964612,8.6522422,4,,,POINT (8.6522422 50.1964612)
504999,50.1898472,8.6527638,3,,,POINT (8.6527638 50.1898472)
505028,50.1179444,8.7313039,3,,,POINT (8.7313039 50.1179444)
505122,50.1765434,8.6458342,3,,,POINT (8.6458342 50.1765434)
505132,50.1766123,8.6457437,3,,,POINT (8.6457437 50.1766123)
505140,50.1749724,8.6425552,4,,,POINT (8.6425552 50.1749724)
505267,50.0862604,8.6195839,3,,,POINT (8.6195839 50.0862604)
506996,50.1167081,8.5372566,3,,,POINT (8.5372566 50.1167081)
506997,50.1178384,8.5403538,3,motorway_junction,,POINT (8.5403538 50.1178384)
