element_type,osmid,geometry,natural,barrier,name,wheelchair,access,opening_hours,operator,website,leisure,addr:city,addr:housenumber,addr:postcode,addr:street,operator:type,nodes,source,source:position,name:etymology:wikidata,name:etymology:wikipedia,wikidata,wikipedia,landuse,dog,lit,surface,leaf_type,place,note,loc_name,start_date,fixme,ways,type
way,29505963,"POLYGON ((8.2724596 49.9947903, 8.2717018 49.9946922, 8.2717915 49.9946594, 8.2718673 49.9946354, 8.2719275 49.9945933, 8.2719837 49.9945236, 8.2720378 49.9943593, 8.2721057 49.9941529, 8.2721341 49.9940694, 8.272165 49.993986, 8.2722224 49.9939038, 8.2722913 49.9938207, 8.272594 49.9939165, 8.2727487 49.9939672, 8.2728967 49.9940207, 8.2730687 49.9941134, 8.273299 49.9942963, 8.2735127 49.9944867, 8.2738046 49.9947722, 8.2738203 49.9948097, 8.2738067 49.9948356, 8.2737797 49.994859, 8.2737442 49.9948785, 8.2737059 49.9949018, 8.2736734 49.9949215, 8.2735781 49.9949506, 8.2734734 49.9949564, 8.2733612 49.9949539, 8.2732714 49.9949412, 8.2731464 49.9949145, 8.2728038 49.9948409, 8.2724596 49.9947903))",,,,,,,,,park,,,,,,"[325234840, 3414554322, 5371250857, 5371250858, 5371250859, 325234841, 3414554319, 3414554318, 5371250860, 3414554307, 5371250861, 325234844, 5371250863, 5371250862, 325234846, 325234854, 5371250864, 325235013, 5371250865, 325234856, 5371250866, 5371250867, 3414554303, 651305029, 3414554299, 325234860, 5371250853, 3414554323, 3414554324, 325234864, 5371250854, 325234840]",,,,,,,,,,,,,,,,,,
way,37741049,"POLYGON ((8.3126965 49.9607451, 8.3127342 49.9607298, 8.3127582 49.9607199, 8.3128232 49.960698, 8.3129184 49.9606573, 8.3130485 49.9605878, 8.3131387 49.9595629, 8.3131485 49.9592821, 8.3131097 49.9590085, 8.3121975 49.9592865, 8.3112554 49.9595259, 8.3113709 49.9598837, 8.3117808 49.9598506, 8.312152 49.9605081, 8.311801 49.9606115, 8.3119962 49.9609171, 8.3120345 49.960977, 8.3126965 49.9607451))",,wall,Laubenheimer Park,,,,,,park,,,,,,"[442667676, 482696129, 4458154386, 4458154382, 8992635029, 442667670, 5349476414, 5349476413, 442667671, 482696135, 442667672, 2871969544, 8992635028, 442667673, 442667674, 9007859909, 442667675, 442667676]",,,,,,,,,,,,,,,,,,
way,39955980,"POLYGON ((8.2930031 49.9723654, 8.2940626 49.9721275, 8.2939431 49.9718864, 8.29434 49.971795, 8.2939265 49.9710323, 8.2940581 49.9710213, 8.294402 49.9712717, 8.2948887 49.9716028, 8.2952192 49.9717594, 8.2954089 49.9719453, 8.2955419 49.9721872, 8.2948474 49.9724685, 8.2940633 49.9727894, 8.2937453 49.9728937, 8.2928617 49.9731836, 8.2925041 49.9732864, 8.2918301 49.9734802, 8.2913324 49.9735661, 8.2905617 49.9735427, 8.2897607 49.9734841, 8.2896454 49.9733905, 8.2893419 49.973168, 8.289369 49.973089, 8.2894256 49.9730595, 8.2899113 49.9729687, 8.2900169 49.9731934, 8.2900368 49.9731887, 8.2902701 49.9731341, 8.2910231 49.9729771, 8.2911173 49.9729541, 8.2906169 49.9720481, 8.2907326 49.97201, 8.2912856 49.972931, 8.2913902 49.9729442, 8.2916953 49.9728542, 8.2921218 49.9727295, 8.2923388 49.9726704, 8.2924799 49.9726209, 8.2928006 49.9725313, 8.2927899 49.9725162, 8.292781 49.9724988, 8.2926327 49.9722844, 8.2921515 49.9715867, 8.2923195 49.9715343, 8.2922305 49.9714163, 8.2921929 49.9713636, 8.292156 49.9713234, 8.2914204 49.9703377, 8.2918325 49.9702175, 8.2919485 49.9704459, 8.2923987 49.9712574, 8.2929405 49.972243, 8.2930031 49.9723654))",,,Großbergpark,,,,,,park,,,,,,"[479846692, 479846694, 1676866497, 1251027843, 1251027882, 1251027872, 1251027823, 479846697, 479846699, 479846907, 479846702, 479846905, 479846704, 479846815, 479846706, 479846902, 479846708, 479846710, 479846711, 479846713, 479846717, 479846719, 479846721, 479846954, 479846723, 479846727, 8462230653, 479846847, 479846729, 1251027828, 1251027852, 1251027880, 1251027846, 479846731, 1360356728, 1251024051, 479846779, 1273050986, 479846978, 479846733, 479846735, 6098776258, 6098776257, 6098776256, 1676866495, 2151668312, 6098776254, 479846737, 1251027877, 6098776255, 6098776253, 479846739, 479846692]",,,,,,,,,,,,,,,,,,
way,39955982,"POLYGON ((8.2906678 49.9735053, 8.2912565 49.9735405, 8.2918573 49.9734273, 8.2919483 49.973279, 8.2919153 49.9732246, 8.2916231 49.9731141, 8.2918131 49.9729864, 8.2923465 49.9727427, 8.2923394 49.9726804, 8.2923388 49.9726704, 8.2914028 49.9729319, 8.2910735 49.9730112, 8.2904101 49.9731454, 8.2906678 49.9735053))",,,,limited,,,,,park,,,,,,"[479846761, 479846763, 479846765, 479846773, 497797561, 497797558, 479846775, 479846778, 479846839, 479846779, 2151668376, 479846831, 3969026822, 479846761]",,,,,,,,,,,,,,,,,,
way,43199996,"POLYGON ((8.2511029 50.0014809, 8.250416 50.0014352, 8.2505171 50.0006724, 8.2511972 50.0007121, 8.2511029 50.0014809))",,,,,,,,,park,,,,,,"[541408824, 541408804, 541408803, 541408818, 541408824]",,,,,,,,,,,,,,,,,,
way,43199998,"POLYGON ((8.2495263 50.0013584, 8.2488516 50.0013213, 8.2489513 50.0005757, 8.2496314 50.0006155, 8.2495263 50.0013584))",,,,,,,,,park,,,,,,"[541408808, 541408807, 541408805, 541408806, 541408808]",,,,,,,,,,,,,,,,,,
way,43199999,"POLYGON ((8.2481074 49.9998191, 8.2476047 49.9997897, 8.247699 49.9991225, 8.2482018 49.9991519, 8.2481074 49.9998191))",,,,,,,,,park,,,,,,"[541408799, 541408797, 541408793, 541408794, 541408799]",,,,,,,,,,,,,,,,,,
way,43200000,"POLYGON ((8.2496469 49.9999164, 8.2491455 49.9998869, 8.2492414 49.9992134, 8.2497428 49.999243, 8.2496469 49.9999164))",,,,,,,,,park,,,,,,"[541408800, 541408798, 541408795, 541408796, 541408800]",,,,,,,,,,,,,,,,,,
way,43200001,"POLYGON ((8.2512682 50.0000166, 8.2506826 49.9999812, 8.2507034 49.999839, 8.2507817 49.9993039, 8.2513686 49.9993389, 8.2512682 50.0000166))",,,,,,,,,park,,,,,,"[541408811, 541408802, 1647279168, 541408809, 541408810, 541408811]",,,,,,,,,,,,,,,,,,
way,52575315,"POLYGON ((8.2964541 49.9757998, 8.2965745 49.975703, 8.296465 49.9756333, 8.296367 49.9757066, 8.2964082 49.9757506, 8.2964541 49.9757998))",,,,,,,,,park,,,,,,"[667925002, 667925000, 667925001, 667924999, 2228729988, 667925002]",,,,,,,,,,,,,,,,,,
