osmid,y,x,street_count,ref,highway,geometry
258572825,49.9594812,8.2009436,4,,,POINT (8.2009436 49.9594812)
258572827,49.9591723,8.1999334,3,,,POINT (8.1999334 49.9591723)
258572828,49.9589315,8.1991965,3,,,POINT (8.1991965 49.9589315)
258572830,49.9584553,8.1977378,3,,,POINT (8.1977378 49.9584553)
258572832,49.9582201,8.1970499,3,,,POINT (8.1970499 49.9582201)
258573474,49.9569556,8.1995002,3,,,POINT (8.1995002 49.9569556)
258573596,49.9576434,8.2007426,3,,,POINT (8.2007426 49.9576434)
258573638,49.9580082,8.2013733,3,,,POINT (8.2013733 49.9580082)
258573957,49.9582823,8.201878,4,,,POINT (8.201878 49.9582823)
258574177,49.9583251,8.2020053,4,,,POINT (8.2020053 49.9583251)
258574223,49.9592458,8.1978713,1,,turning_circle,POINT (8.1978713 49.9592458)
258579467,49.9508122,8.223013,3,,,POINT (8.223013 49.9508122)
258600067,49.9563894,8.2289842,3,,,POINT (8.2289842 49.9563894)
258600229,49.9660033,8.1907389,3,,,POINT (8.1907389 49.9660033)
258600786,49.964534,8.1874527,3,,,POINT (8.1874527 49.964534)
258601175,49.9555682,8.1898516,3,,,POINT (8.1898516 49.9555682)
258601203,49.9540834,8.190551,3,,,POINT (8.190551 49.9540834)
