element_type,osmid,amenity,capacity,geometry,nodes,parking,access,capacity:disabled,capacity:parent,capacity:women,fee,parking_space,smoothness,surface
way,798956165,parking_space,1,"POLYGON ((8.2328615 49.9949797, 8.2328942 49.9949871, 8.2329164 49.9949462, 8.2328837 49.9949388, 8.2328615 49.9949797))","[7472262398, 7472262413, 7472262412, 7472262397, 7472262398]",,,,,,,,,
way,798956166,parking_space,1,"POLYGON ((8.2328288 49.9949724, 8.2328615 49.9949797, 8.2328837 49.9949388, 8.232851 49.9949315, 8.2328288 49.9949724))","[7472262400, 7472262398, 7472262397, 7472262399, 7472262400]",,,,,,,,,
way,798956167,parking_space,1,"POLYGON ((8.2327961 49.9949651, 8.2328288 49.9949724, 8.232851 49.9949315, 8.2328183 49.9949242, 8.2327961 49.9949651))","[7472262390, 7472262400, 7472262399, 7472262401, 7472262390]",,,,,,,,,
way,798956168,parking_space,1,"POLYGON ((8.2327634 49.9949577, 8.2327961 49.9949651, 8.2328183 49.9949242, 8.2327856 49.9949168, 8.2327634 49.9949577))","[7472262403, 7472262390, 7472262401, 7472262402, 7472262403]",,,,,,,,,
way,798956169,parking_space,1,"POLYGON ((8.2327307 49.9949504, 8.2327634 49.9949577, 8.2327856 49.9949168, 8.2327529 49.9949095, 8.2327307 49.9949504))","[7472262394, 7472262403, 7472262402, 7472262404, 7472262394]",,,,,,,,,
way,798956170,parking_space,1,"POLYGON ((8.232698 49.994943, 8.2327307 49.9949504, 8.2327529 49.9949095, 8.2327202 49.9949022, 8.232698 49.994943))","[7472262406, 7472262394, 7472262404, 7472262405, 7472262406]",,,,,,,,,
way,798956171,parking_space,1,"POLYGON ((8.2326653 49.9949357, 8.232698 49.994943, 8.2327202 49.9949022, 8.2326876 49.9948948, 8.2326653 49.9949357))","[7472262408, 7472262406, 7472262405, 7472262407, 7472262408]",,,,,,,,,
way,798956172,parking_space,1,"POLYGON ((8.2326327 49.9949284, 8.2326653 49.9949357, 8.2326876 49.9948948, 8.2326549 49.9948875, 8.2326327 49.9949284))","[7472238984, 7472262408, 7472262407, 7472262409, 7472238984]",,,,,,,,,
way,798956173,parking_space,1,"POLYGON ((8.2326 49.994921, 8.2326327 49.9949284, 8.2326549 49.9948875, 8.2326222 49.9948801, 8.2326 49.994921))","[7472262410, 7472238984, 7472262409, 7472262411, 7472262410]",,,,,,,,,
way,956960525,parking_space,1,"POLYGON ((8.2013453 49.9595898, 8.2013925 49.9596043, 8.2014585 49.9595802, 8.2014158 49.9595657, 8.2013453 49.9595898))","[8855283946, 8855283947, 8855283948, 8855283949, 8855283946]",,,,,,,disabled,,
way,956960526,parking_space,1,"POLYGON ((8.2014765 49.9596342, 8.2015296 49.9596501, 8.2016031 49.9596245, 8.2015499 49.9596077, 8.2014765 49.9596342))","[8855283950, 8855283951, 8855283952, 8855283953, 8855283950]",,,,,,,disabled,,
way,958470967,parking_space,1,"POLYGON ((8.2295355 50.0261049, 8.2295016 50.0260633, 8.2295596 50.0260439, 8.2295934 50.0260854, 8.2295355 50.0261049))","[8868338461, 8868338459, 8868338458, 8868338460, 8868338461]",surface,customers,,1,,,,excellent,asphalt
way,958470968,parking_space,1,"POLYGON ((8.2296263 50.0261258, 8.2295684 50.0261453, 8.2295355 50.0261049, 8.2295934 50.0260854, 8.2296263 50.0261258))","[8868338463, 8868338462, 8868338461, 8868338460, 8868338463]",surface,,2,,,,,excellent,asphalt
way,958853222,parking_space,1,"POLYGON ((8.1756827 49.9869301, 8.1756647 49.9869434, 8.1757235 49.9869769, 8.1757415 49.9869628, 8.1756827 49.9869301))","[8872393449, 8872393450, 8872393451, 8872393452, 8872393449]",,,,,,,disabled,,
way,974002248,parking_space,1,"POLYGON ((8.1820525 49.9865185, 8.1820905 49.9865078, 8.1820633 49.9864632, 8.1820249 49.9864731, 8.1820525 49.9865185))","[9013882481, 9013882482, 9013882483, 9013882484, 9013882481]",,,,,,,disabled,,
