element_type,osmid,access,amenity,fee,parking,geometry,created_by,capacity,capacity:disabled,capacity:parent,maxheight,name,opening_hours,operator,wheelchair,source,noexit,barrier,charge,layer,maxstay,capacity:women,operator:wikidata,operator:wikipedia,bicycle,foot,note,motorcar,park_ride,description,operator:type,surface,addr:street,addr:city,addr:country,addr:housenumber,addr:postcode,survey:date,covered,capacity:wheelchair,designation,highway,capacity:car,capacity:motorcycle,alt_name,traffic_sign,website,hgv,access:conditional,parking:orientation,nodes,supervised,building,building:facade:colour,building:levels,building:levels:underground,building:material,building:max_level,building:min_level,roof:colour,roof:levels,roof:shape,name:etymology:wikidata,toll,capacity:long,source:maxheight,lit,smoothness,source:position,height,check_date:opening_hours,toilets:wheelchair,landuse,location,nohousenumber,ref,unimainz:buildingId,capacity:charging,fixme,bridge,check_date:fee,tourist_bus,FIXME,orientation,parking:condition,ways,type
way,491212768,private,parking,,surface,"POLYGON ((8.189962 49.9549855, 8.1901018 49.9546394, 8.1899685 49.9546205, 8.1899538 49.9546599, 8.1899212 49.9547371, 8.1899028 49.9547863, 8.1898831 49.9548391, 8.1898812 49.9549165, 8.1898629 49.9549655, 8.189962 49.9549855))",,15,,,,,,,,,,,,,,,,,,,,,,,,paved,Büchnerallee,,,,,,,,,,,,,,,,,,"[4833566620, 4833566921, 3100111925, 4833566922, 3100112029, 3100112032, 3100112034, 3100112037, 3100112039, 4833566620]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,491212769,private,parking,,surface,"POLYGON ((8.1925186 49.9542704, 8.1925583 49.9541667, 8.1925877 49.9541718, 8.1928807 49.9542226, 8.1928922 49.9542245, 8.19287 49.9542659, 8.1928326 49.9542982, 8.1927953 49.9543072, 8.1927229 49.9543019, 8.1925186 49.9542704))",,9,,,,,,,,,,,,,,,,,,,,,,,,paved,Tucholskyweg,,,,,,,,,,,,,,,,,,"[4833566923, 4833566924, 4833566930, 4833566933, 4833566925, 4833566926, 4833566927, 4833566928, 4833566929, 4833566923]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,491212779,private,parking,,surface,"POLYGON ((8.192683 49.9544462, 8.1927075 49.9543846, 8.1930694 49.9544402, 8.1930414 49.9545026, 8.192683 49.9544462))",,10,,,,,,,,,,,,,,,,,,,,,,,,paved,Rilkeallee,,,,,,,,,,,,,,,,,,"[4833566965, 4833566966, 4833566967, 4833566968, 4833566965]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,491212780,private,parking,,surface,"POLYGON ((8.1936976 49.954607, 8.1937197 49.9545521, 8.1940116 49.9545987, 8.1939871 49.9546573, 8.1936976 49.954607))",,8,,,,,,,,,,,,,,,,,,,,,,,,paved,Rilkeallee,,,,,,,,,,,,,,,,,,"[4833566969, 4833566970, 4833566971, 4833566972, 4833566969]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,491212781,private,parking,,surface,"POLYGON ((8.194607 49.9547542, 8.1946351 49.9546971, 8.1949585 49.9547519, 8.1949339 49.954809, 8.194607 49.9547542))",,9,,,,,,,,,,,,,,,,,,,,,,,,paved,Rilkeallee,,,,,,,,,,,,,,,,,,"[4833566973, 4833566974, 4833566975, 4833566976, 4833566973]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,491212783,private,parking,,surface,"POLYGON ((8.1915112 49.9526641, 8.1915305 49.9526484, 8.1916459 49.9525696, 8.1916912 49.9525379, 8.1918417 49.9526221, 8.1917927 49.9526553, 8.1916789 49.9527424, 8.191663 49.952754, 8.1915112 49.9526641))",,18,,,,,,,,,,,,,,,,,,,,,,,,paved,Wedekindstraße,,,,,,,,,,,,,,,,,,"[8676786947, 3100111655, 3100111649, 8676786952, 8676786951, 3100111656, 3100111660, 8676786948, 8676786947]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,491212784,private,parking,,surface,"POLYGON ((8.1923634 49.9529131, 8.1922019 49.9528227, 8.1921626 49.9528554, 8.1920488 49.9529425, 8.1919818 49.9529769, 8.1919962 49.9530033, 8.1920037 49.9530349, 8.1920009 49.9530898, 8.1920226 49.9530889, 8.1921192 49.9530687, 8.192156 49.9530551, 8.1921958 49.9530373, 8.192312 49.9529484, 8.1923634 49.9529131))",,18,,,,,,,,,,,,,,,,,,,,,,,,paved,Wedekindstraße,,,,,,,,,,,,,,,,,,"[8676786957, 8676786958, 3100111673, 3100111686, 8676786954, 8676786956, 8676786953, 8676786955, 4833571677, 4833571678, 6976051212, 3100111694, 3100111688, 8676786957]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,505545442,private,parking,,,"POLYGON ((8.2078556 49.9962599, 8.2078321 49.9963231, 8.2082606 49.9965565, 8.2083579 49.9965192, 8.2084477 49.9965396, 8.2084833 49.9965372, 8.2087103 49.9964444, 8.2087365 49.9964204, 8.2087867 49.9962685, 8.208589 49.9962386, 8.2086035 49.9961989, 8.2083477 49.9961602, 8.2083414 49.9961776, 8.208145 49.9961478, 8.2081517 49.9961296, 8.2080483 49.9961139, 8.2080181 49.9961966, 8.2078861 49.9961766, 8.2078556 49.9962599))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1289479613, 4954534080, 4954534079, 4954534078, 4954534077, 4954534076, 4954534075, 4954534074, 1289479636, 1289479565, 1289479605, 2404298181, 2404298182, 2404298179, 2404298176, 1289479569, 1289479561, 1289479627, 1289479613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,507896079,,parking,,,"POLYGON ((8.2211957 50.0108655, 8.2212671 50.0106248, 8.2214544 50.0106477, 8.221383 50.0108884, 8.2211957 50.0108655))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4973169457, 4973169456, 4973169455, 4973169454, 4973169457]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,508674271,customers,parking,no,surface,"POLYGON ((8.2184198 49.9967502, 8.2186049 49.9967847, 8.2187283 49.9965243, 8.2186961 49.9964709, 8.218731 49.9963967, 8.2185701 49.9963846, 8.2184198 49.9967502))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4979325596, 4979325595, 4979325594, 4979325593, 4979325592, 4979325591, 4979325596]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,508674274,,parking,,lane,"POLYGON ((8.2089528 49.9961155, 8.2090363 49.9958682, 8.2089897 49.9958617, 8.2089062 49.996109, 8.2089528 49.9961155))",,,,,,Besucher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4979325608, 4979325607, 4979325606, 4979325605, 4979325608]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,513308745,no,parking,,surface,"POLYGON ((8.2221815 49.9835962, 8.2224099 49.9836788, 8.2224786 49.983598, 8.2225672 49.9836311, 8.2226844 49.9834858, 8.2227273 49.9834987, 8.2229903 49.9831733, 8.2227158 49.9830796, 8.2221815 49.9835962))",,,,,,Parkplatz P7,,1. FSV Mainz 05 e.V.,,,,,,,,,,,,,,,,"Medienparkplatz, Stellfläche und Anschlüsse für Übertragungswagen.",,asphalt,,,,,,,,,,,,,,,,,,,"[5018038871, 5018038872, 5018038873, 5018038874, 5018038875, 5018038876, 5018038877, 5018038878, 5018038871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,513308746,private,parking,no,surface,"POLYGON ((8.2228189 49.9829663, 8.2233395 49.9831342, 8.2235566 49.9828373, 8.223448 49.9828066, 8.2234756 49.9827687, 8.2231592 49.9826646, 8.2228189 49.9829663))",,,,,,Parkplatz P6,,1. FSV Mainz 05 e.V.,,,,,,,,,,,,,,,,Behindertenparkplatz bei Heimspielen. Zufahrt nur mit Parkschein (Abholung Bruchweg) und Schwerbehindertenausweis mit Zusatz G.,,asphalt,,,,,,,,,,,,,,,,,,,"[5018038879, 5018038880, 5018038881, 5018038882, 5018038883, 5018038884, 5018038879]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,513308747,no,parking,,surface,"POLYGON ((8.2271903 49.984668, 8.2263936 49.9844256, 8.2258905 49.9850624, 8.2260342 49.9851111, 8.2263117 49.9849449, 8.2265586 49.985066, 8.2265993 49.985086, 8.2271903 49.984668))",,,,,,Parkplatz P3,,1. FSV Mainz 05 e.V.,,,,,,,,,,,,,,,,,,dirt,,,,,,,,,,,,,,,,,,,"[5018038886, 5018038887, 5018038888, 5018038889, 5018038890, 5318254103, 5018038891, 5018038886]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,513308748,no,parking,,surface,"POLYGON ((8.2217827 49.984002, 8.2222992 49.9841586, 8.222481 49.9839238, 8.2220093 49.9837707, 8.2217827 49.984002))",,,,,,Parkplatz P8,,1. FSV Mainz 05 e.V.,,,,,,,,,,,,,,,,,,ground,,,,,,,,,,,,,,,,,,,"[5018038892, 5018038893, 5018038894, 5018038895, 5018038892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,514868840,customers,parking,no,surface,"POLYGON ((8.2903939 49.9761417, 8.2905596 49.9759554, 8.2904572 49.9759177, 8.2902914 49.976104, 8.2903939 49.9761417))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5029196701, 5029196700, 5029196699, 5029196698, 5029196701]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,516395677,,parking,no,,"POLYGON ((8.2354536 49.9632263, 8.2356441 49.9629944, 8.2357436 49.9629784, 8.2358057 49.9630077, 8.2356483 49.9632103, 8.2355323 49.9632423, 8.2354536 49.9632263))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5041129763, 5041129764, 5041129765, 5041129766, 5041129767, 5041129768, 5041129763]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,523883833,customers,parking,,surface,"POLYGON ((8.2722856 49.9934578, 8.2723366 49.9934388, 8.2725485 49.9933388, 8.2724117 49.9932147, 8.2721434 49.9933336, 8.2722856 49.9934578))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5099255627, 5099255626, 5099255628, 5099255629, 5099255630, 5099255627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,524480015,yes,parking,yes,surface,"POLYGON ((8.2653136 50.0095104, 8.2648465 50.0091027, 8.2649074 50.009075, 8.2653662 50.0094835, 8.2653136 50.0095104))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5103916655, 5103916654, 5103916653, 5103916652, 5103916655]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,524480017,yes,parking,yes,surface,"POLYGON ((8.2654331 50.0096109, 8.2657664 50.0099127, 8.2658333 50.0098889, 8.2654809 50.0095879, 8.2654331 50.0096109))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5103916659, 5103916658, 5103916657, 5103916656, 5103916659]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,525699252,customers,parking,,,"POLYGON ((8.1773882 49.9873066, 8.1774284 49.9873558, 8.1774619 49.9873872, 8.177504 49.9873687, 8.177586 49.9874425, 8.1775453 49.9874616, 8.1776257 49.9875406, 8.1777461 49.9874861, 8.1776101 49.9873719, 8.1776868 49.9873507, 8.177642 49.9872646, 8.1775573 49.987287, 8.1775411 49.9872606, 8.1775037 49.9872728, 8.1774643 49.9872856, 8.1773882 49.9873066))",,,,,,,,Gemeinschaftspraxis Dr. König & Dr. Nadler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3391695871, 3391695866, 5113646352, 5113646353, 5113646354, 5113646355, 3391695859, 5113646356, 5113646357, 5113646358, 5113646359, 5113646360, 5113646350, 6968648162, 8925858554, 3391695871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,526265133,,parking,,street_side,"POLYGON ((8.1664134 49.9819101, 8.1663579 49.9819376, 8.1662649 49.9818622, 8.1663223 49.9818293, 8.1664134 49.9819101))",,5,,,,,,,,,,,,,1 hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5118062503, 5118062511, 5118062505, 5118062506, 5118062503]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,526265136,customers,parking,,,"POLYGON ((8.1703838 49.9822064, 8.1706748 49.9820957, 8.1704927 49.9818805, 8.1704452 49.9818983, 8.1703531 49.9818022, 8.1702531 49.9820651, 8.1703282 49.9821444, 8.1703355 49.9821411, 8.1703838 49.9822064))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5118062832, 5118062833, 5118062834, 5118062835, 5118062845, 5118062836, 6957716269, 6957716268, 5118062832]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,530316568,customers,parking,no,surface,"POLYGON ((8.2893509 49.9756873, 8.2893012 49.9756701, 8.2892657 49.9755589, 8.2889733 49.9754545, 8.288972 49.975448, 8.2893066 49.9754347, 8.2892912 49.975273, 8.2888748 49.9752863, 8.2889137 49.975401, 8.2888881 49.9754877, 8.2888827 49.9755059, 8.2888547 49.9755881, 8.288887 49.9756, 8.2890168 49.975648, 8.2890461 49.9756588, 8.2890914 49.9756732, 8.288807 49.9759944, 8.2890299 49.9760641, 8.2892617 49.9758058, 8.2893509 49.9756873))",,,,,,,,,yes,,,,,,2 hours,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,"[5149838856, 6606613923, 6606613924, 6606613925, 6606613926, 6606613927, 6606613928, 6606613929, 6606613932, 8050738060, 5149838854, 5149836815, 8049915001, 8771020238, 266232849, 6606613930, 6606613931, 5149838855, 1865436070, 5149838856]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,534483854,private,parking,,underground,"POLYGON ((8.1999305 49.9616497, 8.1996937 49.9615718, 8.1997409 49.9615124, 8.1999778 49.9615903, 8.1999305 49.9616497))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5183344093, 5183344094, 5183344095, 5183344096, 5183344093]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,538756587,yes,parking,no,surface,"POLYGON ((8.2544029 49.9890999, 8.2543849 49.9890181, 8.2544239 49.9890058, 8.254549 49.9891497, 8.2545674 49.9892539, 8.2545648 49.9893352, 8.2545516 49.989408, 8.2545135 49.9895217, 8.2543791 49.9896214, 8.2543657 49.9895946, 8.254385 49.9895007, 8.2544186 49.9894247, 8.2544366 49.9893338, 8.2544343 49.9892472, 8.2544231 49.9891678, 8.2544029 49.9890999))",,,,,,,,,,,,,,,,,,,,,,,,,,paved,,,,,,,,,,,,,,,,,,,"[4563115207, 1836483612, 5214277087, 5214277088, 5214277089, 5214277090, 5214277091, 5214277092, 5214277093, 279977448, 4563115202, 4563115203, 4563115204, 4563115205, 4563115206, 4563115207]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,538828171,yes,parking,,,"POLYGON ((8.1753381 49.9951626, 8.1753362 49.9950031, 8.1754007 49.9950045, 8.1753977 49.9951613, 8.1753381 49.9951626))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5214937223, 5214937224, 5214937225, 5214937226, 5214937223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,538828172,yes,parking,,,"POLYGON ((8.1750885 49.995239, 8.1751039 49.9947815, 8.1751709 49.9947809, 8.1751555 49.9952384, 8.1750885 49.995239))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5214937227, 5214937228, 5214937229, 5214937230, 5214937227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845239,,parking,,,"POLYGON ((8.1483415 49.9722938, 8.1489319 49.9724325, 8.1489577 49.972387, 8.1483674 49.9722482, 8.1483415 49.9722938))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961452, 5247961451, 5247961450, 5247961449, 5247961452]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845240,,parking,,,"POLYGON ((8.1492313 49.97249, 8.1498372 49.9726324, 8.1498636 49.9725859, 8.1492577 49.9724435, 8.1492313 49.97249))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961456, 5247961455, 5247961454, 5247961453, 5247961456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845241,,parking,,,"POLYGON ((8.1501802 49.9727192, 8.1506621 49.9728324, 8.1506917 49.9727804, 8.1502098 49.9726672, 8.1501802 49.9727192))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961460, 5247961459, 5247961458, 5247961457, 5247961460]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845242,,parking,,,"POLYGON ((8.1499058 49.972779, 8.151016 49.9730399, 8.1510425 49.9729931, 8.1499324 49.9727322, 8.1499058 49.972779))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961464, 5247961463, 5247961462, 5247961461, 5247961464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845243,,parking,,,"POLYGON ((8.1481973 49.9723817, 8.1495732 49.9727051, 8.1495975 49.9726623, 8.1482217 49.9723389, 8.1481973 49.9723817))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961468, 5247961467, 5247961466, 5247961465, 5247961468]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845244,,parking,,,"POLYGON ((8.1467631 49.9720469, 8.1480244 49.9723433, 8.1480492 49.9722997, 8.1467879 49.9720033, 8.1467631 49.9720469))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961472, 5247961471, 5247961470, 5247961469, 5247961472]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845245,,parking,,,"POLYGON ((8.1477925 49.972114, 8.1477665 49.9721598, 8.1481024 49.9722388, 8.1481285 49.9721929, 8.1477925 49.972114))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961476, 5247961473, 5247961474, 5247961475, 5247961476]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845246,,parking,,,"POLYGON ((8.1470715 49.9719467, 8.1470467 49.9719903, 8.1476628 49.9721351, 8.1476875 49.9720914, 8.1470715 49.9719467))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5247961480, 5247961477, 5247961478, 5247961479, 5247961480]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,542845250,yes,parking,no,surface,"POLYGON ((8.1513416 49.9727518, 8.1513911 49.9727635, 8.1512771 49.9729677, 8.1510355 49.9729141, 8.1510858 49.9728204, 8.1511796 49.972611, 8.1514 49.9726567, 8.1513416 49.9727518))",,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,"[4543054977, 5247962123, 5247961491, 5247961490, 2382352839, 2382352837, 4543078940, 4543054977]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551612013,yes,parking,no,surface,"POLYGON ((8.2683017 49.9954134, 8.2683672 49.9954017, 8.2683872 49.9954497, 8.2683346 49.995494, 8.2684794 49.995578, 8.2684058 49.9956321, 8.2681812 49.99556, 8.2682681 49.9954506, 8.2683017 49.9954134))",,10,,,,,,,,,,,,,,,,,,,,,no,,,asphalt,,,,,,,,,,,,,,,,,,,"[5492250525, 5327059162, 5327059163, 5327059164, 5327059165, 5327059166, 5492250523, 5492250524, 5492250525]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551619599,yes,parking,no,surface,"POLYGON ((8.2555377 49.9986411, 8.2554961 49.998642, 8.255461 49.9986281, 8.2554462 49.99861, 8.2554431 49.9985859, 8.2555628 49.9985034, 8.2555817 49.998522, 8.2555854 49.998591, 8.2555759 49.998623, 8.2555377 49.9986411))",,7,,,,,,,,,,,,,,,,,,,,,,,,asphalt,Goßlerweg,,,,,,,,,,,,,,,,,,"[5327104057, 9529838260, 9529838261, 5327104058, 9529838259, 5327104059, 9529838257, 9529838258, 5327104060, 5327104057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551619600,private,parking,,surface,"POLYGON ((8.2527707 49.9965843, 8.2528498 49.9966234, 8.2529166 49.9969572, 8.2527803 49.9969696, 8.2526906 49.9969787, 8.2525978 49.9966019, 8.2526941 49.9965934, 8.2527707 49.9965843))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5327113477, 5327104077, 5327104067, 5324149225, 5327104083, 5327104074, 5327104072, 5327113477]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551620440,customers,parking,yes,surface,"POLYGON ((8.2527707 49.9965843, 8.2526511 49.9961461, 8.2531467 49.9964377, 8.2530965 49.9964801, 8.2530313 49.9965303, 8.2533016 49.9966884, 8.2532471 49.9967357, 8.2531793 49.9967965, 8.2528498 49.9966234, 8.2527707 49.9965843))",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5327113477, 5327113476, 5327113478, 1155188079, 5327113479, 5327113480, 5325387328, 5327113481, 5327104077, 5327113477]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551678559,customers,parking,,,"POLYGON ((8.1875785 49.9723402, 8.1877209 49.9723604, 8.1878236 49.9723852, 8.1878314 49.972359, 8.1878888 49.9721666, 8.1876405 49.9721333, 8.1875785 49.9723402))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5327588311, 9016330209, 5327588305, 9016330210, 5327588304, 5327588312, 5327588311]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551975679,private,parking,,,"POLYGON ((8.2150451 50.0226356, 8.2151436 50.0226229, 8.2151608 50.022678, 8.2150623 50.0226906, 8.2150451 50.0226356))",,3,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,"[5329943343, 5329943344, 5329943345, 5329943346, 5329943343]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551975680,yes,parking,no,surface,"POLYGON ((8.2161981 50.0235967, 8.2160975 50.0233178, 8.2161635 50.0233079, 8.2162641 50.0235869, 8.2161981 50.0235967))",,10,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,"[5329943360, 5329943361, 5329943362, 5329943363, 5329943360]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,551975681,yes,parking,no,surface,"POLYGON ((8.2160169 50.023108, 8.2159184 50.0228186, 8.2159901 50.0228085, 8.2160886 50.0230979, 8.2160169 50.023108))",,10,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,"[5329943364, 5329943365, 5329943366, 5329943367, 5329943364]",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552178219,yes,parking,no,surface,"POLYGON ((8.3120267 49.9620368, 8.3121254 49.9620158, 8.3125204 49.9619318, 8.312454 49.9618027, 8.3119604 49.9619078, 8.3120267 49.9620368))",,24,,,,,,,,,,,,,120,,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,"[5331575600, 5333203547, 5331575599, 5331575598, 5331575597, 5331575600]",no,,,,,,,,,,,,,,,no,very_bad,,,,,,,,,,,,,,,,,,,
way,552381471,private,parking,,street_side,"POLYGON ((8.3116082 49.9624834, 8.3117415 49.9624533, 8.3117134 49.9624017, 8.31158 49.9624318, 8.3116082 49.9624834))",,4,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,"[5333202393, 5333202392, 5333202391, 5333202390, 5333202393]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552381475,yes,parking,no,surface,"POLYGON ((8.312051 49.9622393, 8.3120444 49.962099, 8.3121214 49.9620975, 8.3121281 49.9622378, 8.312051 49.9622393))",,18,,,,,,,,,,,,,120,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,"[5333203533, 5333203532, 5333203531, 5333203530, 5333203533]",no,,,,,,,,,,,,,,,no,bad,,,,,,,,,,,,,,,,,,,
way,552381476,permissive,parking,,surface,"POLYGON ((8.3120897 49.9623255, 8.3121656 49.9623094, 8.3121304 49.9622407, 8.3120545 49.9622568, 8.3120897 49.9623255))",,2,1,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,"[5333203537, 5333203536, 5333203535, 5333203534, 5333203537]",no,,,,,,,,,,,,,,,no,good,,,,,,,,,,,,,,,,,,,
way,552381479,yes,parking,no,surface,"POLYGON ((8.3122956 49.9623108, 8.3124769 49.9622722, 8.3126449 49.9622364, 8.3125896 49.962129, 8.3124229 49.9621646, 8.3122403 49.9622035, 8.3122956 49.9623108))",,18,,,,,,,,,,,,,120,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,"[5333203546, 5333203541, 5333203545, 5333203544, 5333203540, 5333203543, 5333203546]",no,,,,,,,,,,,,,,,no,bad,,,,,,,,,,,,,,,,,,,
way,553329064,yes,parking,no,street_side,"POLYGON ((8.314033 49.9629564, 8.314098 49.9629671, 8.3140229 49.9628055, 8.3139558 49.9627939, 8.314033 49.9629564))",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5341338433, 5341338434, 5341338435, 5341338436, 5341338433]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,554023885,yes,parking,no,surface,"POLYGON ((8.2893323 49.9911167, 8.2894037 49.9911797, 8.2899081 49.9909995, 8.2900319 49.9911302, 8.2903961 49.9910041, 8.2902327 49.9907894, 8.2900603 49.990856, 8.2893323 49.9911167))",,40,,,,,,,,,,,,,,,,,,,,,no,,,asphalt,Am Winterhafen,Mainz,,,55131,,,,,,,,,,,,,,"[5347101383, 5347101384, 5347101385, 5347101386, 5347101387, 5347101388, 26773483, 5347101383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
