element_type,osmid,access,amenity,fee,parking,geometry,created_by,capacity,capacity:disabled,capacity:parent,maxheight,name,opening_hours,operator,wheelchair,source,noexit,barrier,charge,layer,maxstay,capacity:women,operator:wikidata,operator:wikipedia,bicycle,foot,note,motorcar,park_ride,description,operator:type,surface,addr:street,addr:city,addr:country,addr:housenumber,addr:postcode,survey:date,covered,capacity:wheelchair,designation,highway,capacity:car,capacity:motorcycle,alt_name,traffic_sign,website,hgv,access:conditional,parking:orientation,nodes,supervised,building,building:facade:colour,building:levels,building:levels:underground,building:material,building:max_level,building:min_level,roof:colour,roof:levels,roof:shape,name:etymology:wikidata,toll,capacity:long,source:maxheight,lit,smoothness,source:position,height,check_date:opening_hours,toilets:wheelchair,landuse,location,nohousenumber,ref,unimainz:buildingId,capacity:charging,fixme,bridge,check_date:fee,tourist_bus,FIXME,orientation,parking:condition,ways,type
node,787691294,yes,parking,,,POINT (8.1786727 49.9848208),,,3,,,Am Bürgerhaus,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,805577359,customers,parking,no,surface,POINT (8.2360285 49.9755534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1041062306,customers,parking,no,street_side,POINT (8.2963727 49.9817198),,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1315124011,private,parking,no,surface,POINT (8.3143539 49.9600598),,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1322631916,customers,parking,no,surface,POINT (8.2208007 49.9942617),,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1615008217,customers,parking,no,underground,POINT (8.2255502 50.0256869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1635811677,yes,parking,yes,underground,POINT (8.2707657 50.0050937),,190,,,1.9,Deutschhausplatz,24/7,Parken-in-Mainz GmbH,no,,yes,,,-1,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1691368742,no,parking,,underground,POINT (8.2110183 50.0210464),,,,,,,,MCH Immobilien,,,,,,-1,,,,,,,,,,,private,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1735315078,private,parking,,surface,POINT (8.2392341 49.9918192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1735315080,private,parking,,surface,POINT (8.2405932 49.9919013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1735315081,private,parking,,surface,POINT (8.240022 49.9923227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1735315084,private,parking,,surface,POINT (8.2385789 49.9940596),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
