u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,tunnel,service,junction,width,access,est_width
506942,56003606,0,31476628,True,2,,trunk_link,60,False,53.875,"LINESTRING (8.3123572 49.9725265, 8.3125197 49.9729996)",,,,,,,,
523176,847758042,0,4851492,False,4,L 431,secondary,50,False,64.069,"LINESTRING (8.3127601 49.976068, 8.3127463 49.9761036, 8.312657 49.9762718, 8.3124829 49.9766158)",,Wormser Straße,,,,,,
523176,78381661,0,"[252614884, 7744733]",True,2,L 431,secondary,100,False,89.903,"LINESTRING (8.3127601 49.976068, 8.3127817 49.9759461, 8.3128781 49.9755178, 8.3128996 49.9753953, 8.3129153 49.9752659)",,,,,,,,
529356,459041349,0,137337650,False,,,service,,False,37.575,"LINESTRING (8.2750568 49.9722543, 8.275308 49.9719575)",,Vogelsbergstraße,,alley,,,,
529356,31382302,0,38723113,False,,,living_street,,True,84.83699999999999,"LINESTRING (8.2750568 49.9722543, 8.275187 49.9723166, 8.2755728 49.9724093, 8.2761696 49.9724969)",,Vogelsbergstraße,,,,,,
529356,334285436,0,"[137337650, 152998794]",False,,,"['living_street', 'service']",,True,170.00300000000001,"LINESTRING (8.2750568 49.9722543, 8.2746884 49.9726905, 8.274653 49.9727688, 8.2747275 49.9727779, 8.2748291 49.9727826, 8.2749666 49.9727495, 8.2761024 49.9728809)",,Vogelsbergstraße,,alley,,,,
529398,718489777,0,29377165,True,2,B 40,primary,50,False,166.262,"LINESTRING (8.2661565 49.9893639, 8.266428 49.9878789)",,Pariser Straße,,,,,,
529398,529743,0,29377150,True,2,K 7,tertiary,50,False,16.060000000000002,"LINESTRING (8.2661565 49.9893639, 8.2662526 49.9893621, 8.2662988 49.9893594, 8.2663808 49.9893565)",,An der Philippsschanze,,,,,,
529420,129950420,0,13854570,True,1,,trunk_link,50,False,316.695,"LINESTRING (8.24803 49.9718994, 8.2476708 49.9716604, 8.2457317 49.9703344, 8.245538 49.9702042, 8.2454045 49.9701354, 8.2452652 49.9700851, 8.245143 49.9700482, 8.2448307 49.9699701)",,,,,,,,
529420,1137960617,0,"[156400283, 1079071108, 156400261]",True,2,B 40,trunk,70,False,481.312,"LINESTRING (8.24803 49.9718994, 8.2465 49.9706111, 8.2458415 49.9700485, 8.2456345 49.9698812, 8.2439296 49.9684672)",yes,Pariser Straße,,,,,,
529430,29565443,0,1059930296,False,4,L 431,secondary,30,True,40.715,"LINESTRING (8.2806291 49.9946578, 8.2802936 49.9949537)",,Rheinstraße,,,,,,
529430,26773477,0,"[31544994, 1079448887]",False,5,L 431,secondary,50,False,220.538,"LINESTRING (8.2806291 49.9946578, 8.2806787 49.994613, 8.2807254 49.9945719, 8.2810363 49.9942984, 8.2813671 49.993989, 8.2816465 49.99371, 8.2820264 49.9932853, 8.2820514 49.9932557, 8.2821143 49.9931811, 8.28221 49.9930672, 8.2822792 49.9929849)",,Rheinstraße,,,,,,
529430,2140578365,0,"[1079448885, 1079448886]",False,4,,tertiary,50,False,111.115,"LINESTRING (8.2806291 49.9946578, 8.2804391 49.9945683, 8.2798016 49.9942682, 8.2794733 49.9941137, 8.279375 49.9940674)",,Holzhofstraße,,,,,,
529440,31382196,0,4864220,False,,,residential,30,False,37.007999999999996,"LINESTRING (8.2801806 49.9733445, 8.2799533 49.9732834, 8.2797499 49.9731681)",,Vogelsbergstraße,,,,,,
529440,459041378,0,4864220,False,,,residential,30,True,145.501,"LINESTRING (8.2801806 49.9733445, 8.2801623 49.9733964, 8.2801359 49.9734716, 8.2800503 49.9735972, 8.2799395 49.9736473, 8.2798531 49.9736631, 8.2797651 49.9736695, 8.2784918 49.9734859)",,Vogelsbergstraße,,,,,,
529440,529443,0,"[514883162, 4864221]",False,2,,residential,30,False,79.25500000000001,"LINESTRING (8.2801806 49.9733445, 8.2803905 49.9733642, 8.280958 49.9733912, 8.2811751 49.9734015, 8.281284 49.9734081)",,Vogelsbergstraße,,,,,,
