element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,operator,postal_code,ref,website,description,heritage,historic,start_date,building,nodes,building:levels,roof:levels,source,height,roof:shape,end,unimainz:buildingId,name,building:colour,roof:material,source:height,note:3D,roof:colour,image,wikidata,wikipedia,building:material,source:housenumber,source:address,source:position,note,roof:height,construction,roof:direction,roof:orientation,fixme,social_facility,social_facility:for,source_date,source:geometry,phone,survey:date,tourism,building:flats,description:de,nohousenumber,building:architecture,heritage:operator,name:signed,noaddress,ways,type
way,276193328,"POLYGON ((8.2407858 49.9125044, 8.2409721 49.912495, 8.2409551 49.9123545, 8.2407688 49.9123639, 8.2407858 49.9125044))",Mainz,DE,5,55129,Lorenz-Schneider-Straße,,,,,,,,,,,residential,"[2808143784, 2808143787, 2808143766, 2808143763, 2808143784]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,276193329,"POLYGON ((8.2409773 49.9128462, 8.2411677 49.9128521, 8.2411745 49.9127615, 8.2409841 49.9127556, 8.2409773 49.9128462))",Mainz,DE,16,55129,Nieder-Olmer-Straße,,,,,,,,,,,residential,"[2808144157, 2808144158, 2808144138, 2808144135, 2808144157]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,281933671,"POLYGON ((8.196318 49.9793762, 8.1963457 49.9792612, 8.1965508 49.9792817, 8.1965231 49.9793966, 8.196378 49.9793842, 8.196318 49.9793762))",Mainz,,2,55127,Zum Schiersteiner Grund,,,,,,,,,,,residential,"[2858956192, 2858956180, 2858956182, 2858956195, 3010105748, 2858956192]",,,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,281933773,"POLYGON ((8.197001 49.977108, 8.1967731 49.977081, 8.1967365 49.9772087, 8.1969643 49.9772356, 8.1969836 49.9771684, 8.197001 49.977108))",Mainz,,7,55127,Carl-Orff-Straße,,,,,,,,,,,residential,"[4563179814, 2858954595, 2858955613, 2858955620, 2858955608, 4563179814]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,281933842,"POLYGON ((8.1984526 49.978034, 8.1984491 49.9780487, 8.1984313 49.9781234, 8.198426 49.9781458, 8.198238 49.9781273, 8.1982646 49.9780155, 8.1984526 49.978034))",Mainz,,39,55127,Carl-Orff-Straße,,,,,,,,,,,residential,"[2858955767, 2858955772, 2858955781, 2858955789, 2858955783, 2858955765, 2858955767]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,281933843,"POLYGON ((8.1965635 49.9788865, 8.1965166 49.9788812, 8.1965189 49.9788729, 8.1965472 49.9787694, 8.1967464 49.9787919, 8.1967158 49.9789037, 8.1965635 49.9788865))",Mainz,,8,55127,Zum Schiersteiner Grund,,,,,,,,,,,residential,"[2858956119, 4563387680, 2858956114, 2858956000, 2858956104, 2858956122, 2858956119]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,282107898,"POLYGON ((8.2310078 50.0195725, 8.2309335 50.0195183, 8.2310316 50.0194627, 8.2311059 50.0195169, 8.2310078 50.0195725))",Mainz,DE,7,55120,Gastellstraße,,,,,,,,,,,residential,"[2860425459, 3997222250, 3997222249, 2860425457, 2860425459]",3,1,,,many,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,283319829,"POLYGON ((8.3095493 49.960332, 8.3095357 49.9602522, 8.3097644 49.9602361, 8.309778 49.9603159, 8.3095493 49.960332))",Mainz,DE,13,55130,Hans-Zöller-Straße,,,,,,,,,,,residential,"[2871923032, 2871923030, 2871923027, 2871923031, 2871923032]",2,,,,,,,Erthaler Hof,,,,,,,,,,,,,ehem. Bischöfliches Weingut im Barockstil,,,,,,,,,,,,,,,,,,,,,
way,283319837,"POLYGON ((8.3090414 49.9608587, 8.3090569 49.9607192, 8.3091692 49.9607244, 8.3091537 49.9608639, 8.3090414 49.9608587))",Mainz,DE,7,55130,Deutschhausgasse,,,,,,,,,,,residential,"[2871923073, 2871923058, 2871923059, 2871923074, 2871923073]",,,,,,,,Deutschhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,283319853,"POLYGON ((8.3097473 49.9612964, 8.3097429 49.9612825, 8.3097313 49.961246, 8.3095487 49.9612357, 8.309542 49.9612823, 8.3096404 49.961285, 8.3096582 49.9613093, 8.3096682 49.9613229, 8.3097473 49.9612964))",Mainz,DE,8,55130,Berghofstraße,,,,,,,,,,,residential,"[2871923726, 6973898207, 2871923719, 2871923717, 2871923723, 2871923724, 6973898206, 2871923729, 2871923726]",,,,,,,,Torgebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,283319864,"POLYGON ((8.3093822 49.9612677, 8.3094064 49.9612114, 8.3093423 49.9612, 8.3093676 49.9611408, 8.3094464 49.9611548, 8.3094352 49.961181, 8.3095306 49.961198, 8.3094923 49.9612873, 8.3093822 49.9612677))",,,,,,,,,,,,,,,,residential,"[2871923721, 2871923713, 2871923712, 2871923704, 2871923706, 2871923709, 2871923711, 2871923725, 2871923721]",,,,,,,,Sienerhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,284094031,"POLYGON ((8.1860447 49.9908995, 8.1860601 49.9908094, 8.1858617 49.9907954, 8.1858463 49.9908855, 8.185866 49.9908869, 8.1860447 49.9908995))",Mainz,DE,76,55126,Katzenberg,,,,,,,,,,,residential,"[2878593187, 2878593183, 2878593182, 2878593185, 2878593186, 2878593187]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,284094039,"POLYGON ((8.185866 49.9908869, 8.1858503 49.9909789, 8.1860497 49.990993, 8.1860654 49.990901, 8.1860447 49.9908995, 8.185866 49.9908869))",Mainz,DE,78,55126,Katzenberg,,,,,,,,,,,residential,"[2878593186, 2878593192, 2878593193, 2878593188, 2878593187, 2878593186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,284791656,"POLYGON ((8.1769201 49.9922076, 8.1769241 49.9921527, 8.1767452 49.9921474, 8.1767413 49.9922023, 8.1768717 49.9922062, 8.1769201 49.9922076))",Mainz,DE,9,55126,Breslauer Straße,,,,,,,,,,,residential,"[2884977933, 4047645564, 4047645563, 2884977940, 4578478823, 2884977933]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,286868116,"POLYGON ((8.2564727 49.990271, 8.2564352 49.990299, 8.2565044 49.9903374, 8.2566528 49.9902268, 8.2565777 49.9901851, 8.256537 49.9902154, 8.2564738 49.9901803, 8.2564035 49.9902326, 8.2564727 49.990271))",,,,,,,,,,,,,,,2013,residential,"[6555788685, 2905455394, 2905455398, 2905455397, 6555691483, 6555691484, 2905455392, 2905455387, 6555788685]",2,0,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291546,"POLYGON ((8.2560314 50.0023118, 8.2560018 50.0023362, 8.2559318 50.002394, 8.2561284 50.0024924, 8.256228 50.0024102, 8.2560314 50.0023118))",Mainz,,11,55122,Baentschstraße,,,,,,,,,,,residential,"[541417480, 2909127475, 2909127469, 2909127491, 2909127484, 541417480]",5,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291549,"POLYGON ((8.255717 50.0023266, 8.2558273 50.0023838, 8.2558393 50.0023657, 8.2559205 50.0024048, 8.2559318 50.002394, 8.2560018 50.0023362, 8.2559339 50.0022979, 8.2559621 50.0022677, 8.2558561 50.0022065, 8.255717 50.0023266))",Mainz,,9,55122,Baentschstraße,,,,,,,,,,,residential,"[541417479, 2909127478, 2909127481, 2909127474, 2909127469, 2909127475, 2909127477, 2909127465, 2909127490, 541417479]",5,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291551,"POLYGON ((8.2562806 50.0021387, 8.2562819 50.0021795, 8.2562149 50.0022484, 8.2563282 50.0023065, 8.2563852 50.0022507, 8.2563195 50.0022207, 8.2563642 50.0021803, 8.2562806 50.0021387))",Mainz,,3,55122,Baentschstraße,,,,,,,,,,,residential,"[2909127467, 2909127457, 2909127472, 2909127471, 2909127466, 541417497, 541417488, 2909127467]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291553,"POLYGON ((8.2564591 50.0023654, 8.2564024 50.0024141, 8.2564474 50.0024357, 8.2563732 50.0024994, 8.2564779 50.0025497, 8.2566087 50.0024373, 8.2564591 50.0023654))",Mainz,,19,55122,Baentschstraße,,,,,,,,,,,residential,"[541417493, 2909127485, 2909127473, 2909127486, 541417498, 541417492, 541417493]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291554,"POLYGON ((8.2564785 50.0022938, 8.2563852 50.0022507, 8.2563195 50.0022207, 8.2563642 50.0021803, 8.2563836 50.002163, 8.2564318 50.0021852, 8.2564574 50.0021623, 8.2565682 50.0022134, 8.2564785 50.0022938))",Mainz,,1,55122,Baentschstraße,,,,,,,,,,,residential,"[2909127482, 2909127466, 541417497, 541417488, 2909127462, 2909127493, 2909127464, 2909127476, 2909127482]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291556,"POLYGON ((8.2562166 50.0021069, 8.2562949 50.0020419, 8.2564419 50.002115, 8.2563836 50.002163, 8.2563642 50.0021803, 8.2562806 50.0021387, 8.2562166 50.0021069))",Mainz,,3,55122,Baentschstraße,,,,,,,,,,,residential,"[2909127455, 2909127483, 2909127458, 2909127462, 541417488, 2909127467, 2909127455]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291558,"POLYGON ((8.2564785 50.0022938, 8.2565682 50.0022134, 8.256621 50.0022352, 8.256695 50.0021685, 8.2568273 50.0022291, 8.2566642 50.0023761, 8.2564785 50.0022938))",Mainz,,17,55122,Baentschstraße,,,,,,,,,,,residential,"[2909127482, 2909127476, 2909127463, 2909127488, 541417485, 541417495, 2909127482]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291560,"POLYGON ((8.256228 50.0024102, 8.2561284 50.0024924, 8.2561507 50.0025064, 8.2561212 50.0025333, 8.2561778 50.0025618, 8.2562523 50.0024983, 8.2563102 50.002449, 8.256228 50.0024102))",Mainz,,13,55122,Baentschstraße,,,,,,,,,,,residential,"[2909127484, 2909127491, 2909127480, 2909127470, 2909127461, 2909127468, 541417494, 2909127484]",5,1,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287291562,"POLYGON ((8.2563185 50.0026793, 8.2564779 50.0025497, 8.2563732 50.0024994, 8.2563274 50.0025411, 8.2562523 50.0024983, 8.2561778 50.0025618, 8.2562336 50.0025967, 8.256223 50.0026217, 8.2563185 50.0026793))",Mainz,,21,55122,Baentschstraße,,,,,,,,,,,residential,"[2909127494, 541417498, 2909127486, 2909127459, 2909127468, 2909127461, 2909127495, 2909127492, 2909127494]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,287667205,"POLYGON ((8.2456704 49.9781381, 8.2455991 49.9781177, 8.245508 49.9782501, 8.2455793 49.9782703, 8.2456704 49.9781381))",Mainz,DE,2,55128,Hinter der Kapelle,,,,,,,,,,,residential,"[4409318852, 2561242401, 2561242429, 4409318853, 4409318852]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
