element_type,osmid,amenity,authentication,authentication:debit_card,authentication:membership_card,authentication:money_card,authentication:nfc,authentication:none,capacity,capacity:car,motorcar,name,operator,payment:none,geometry,access:conditional,amperage,bicycle,capacity:cars,fee,opening_hours,payment,scooter,socket:schuko,socket:type2,source,truck,voltage,payment:notes,authentication:app,parking:fee,payment:paypal,payment:token,ref,socket:type2:output,operator:wikidata,operator:wikipedia,payment:cash,payment:credit_cards,socket:chademo,socket:chademo:output,socket:type2_combo,socket:type2_combo:output,access,description,payment:mastercard,payment:visa,contact:website,network,payment:cards,brand,brand:wikidata,brand:wikipedia,survey:date,socket:device:USB-A,ref:EU:EVSE,level,covered,check_date:capacity
node,9656608071,charging_station,,,,,,,2,,,,Mainzer Stadtwerke,,POINT (8.2606308 50.0107104),,,,,,,,,,2,,,,,,,,,BC-4568-5,,,,,,,,,,private,,,,,,,,,,,,,,,
node,9922359945,charging_station,,,,,,,,,,,,,POINT (8.2133443 50.0033915),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10068725518,charging_station,,,,,,,2,,,,Mainzer Stadtwerke,,POINT (8.2799704 49.993625),,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10159992217,charging_station,,,,,,,4,,,,Shell,,POINT (8.2695288 49.9806099),,,,,yes,24/7,,,,,,,,,,,,,,,Q110716465,,,,,,,,yes,,,,,,,,,,,,,,,
node,10202237412,charging_station,,,,,,,2,,,,EnBW Energie Baden-Württemberg AG,,POINT (8.2705569 49.9772258),,,,,yes,,,,,,,,,,,,,,,,Q644304,,,,,,,,yes,,,,,,,,,,,,,,,
node,10202237413,charging_station,,,,,,,2,,,,EnBW Energie Baden-Württemberg AG,,POINT (8.270567 49.9771731),,,,,yes,,,,,,,,,,,,,,,,Q644304,,,,,,,,yes,,,,,,,,,,,,,,,
node,10202237414,charging_station,,,,,,,2,,,,EnBW Energie Baden-Württemberg AG,,POINT (8.2705831 49.9770761),,,,,yes,,,,,,,,,,,,,,,,Q644304,,,,,,,,yes,,,,,,,,,,,,,,,
node,10202237415,charging_station,,,,,,,2,,,,EnBW Energie Baden-Württemberg AG,,POINT (8.2705938 49.9770175),,,,,,,,,,,,,,,,,,,,,Q644304,,,,,,,,yes,,,,,,,,,,,,,,,
node,10202650218,charging_station,,,,,,,2,,,,ladenetz.de,,POINT (8.250076 49.9772573),,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10298039709,charging_station,,,,,,,3,,no,,EWR,,POINT (8.2099729 50.0028657),,,yes,,,24/7,,,3,,,,,,,,,,,,Q1276508,,,,,,,,yes,,,,,,,,,,,,,,yes,
node,10606229505,charging_station,,,,,,,2,,,,,,POINT (8.2354872 50.0221653),,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10606249405,charging_station,,,,,,,8,,,,,,POINT (8.223353 50.0270907),,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10871690194,charging_station,,,,,,,2,,,,EnBW,,POINT (8.2883574 49.9734928),,,,,,Mo-Sa 07:00-20:00,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
node,10871690195,charging_station,,,,,,,2,,,,EnBW,,POINT (8.2883869 49.9735337),,,,,,Mo-Sa 07:00-20:00,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
node,10871690196,charging_station,,,,,,,2,,,,EnBW,,POINT (8.2884191 49.9735738),,,,,,Mo-Sa 07:00-20:00,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
node,10871690197,charging_station,,,,,,,2,,,,EnBW,,POINT (8.2884486 49.9736148),,,,,,Mo-Sa 07:00-20:00,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
node,10888973406,charging_station,,,,,,,2,,,,Mainzer Stadtwerke,,POINT (8.2841629 49.978435),,,,,,24/7,,,,,,,,,,,,,,,Q15848847,,,,,,,,yes,,,,,,,,,,,,,,,2023-05-12
node,10929868565,charging_station,,,,,,,2,,,,,,POINT (8.2627378 49.964087),,,,,yes,,,,,,,,,,,,,,,,,,,,,,2,100 kW,yes,,,,,,,,,,,,,,,
