osmid,y,x,street_count,ref,highway,geometry
8292746341,49.438268,7.7542407,3,,,POINT (7.7542407 49.438268)
8292746349,49.4374625,7.7548502,1,,,POINT (7.7548502 49.4374625)
8292746350,49.4394025,7.7549263,3,,,POINT (7.7549263 49.4394025)
8292746352,49.4394744,7.7544481,1,,,POINT (7.7544481 49.4394744)
8292882122,49.4411497,7.7502325,3,,,POINT (7.7502325 49.4411497)
8292882123,49.4407926,7.7507162,1,,,POINT (7.7507162 49.4407926)
8293720268,49.4556197,7.7563622,1,,,POINT (7.7563622 49.4556197)
8295451770,49.4439541,7.6924276,3,,,POINT (7.6924276 49.4439541)
8295451774,49.4444081,7.6927785,3,,,POINT (7.6927785 49.4444081)
8295451775,49.4441027,7.6925425,3,,,POINT (7.6925425 49.4441027)
8295451776,49.4439103,7.6935553,3,,,POINT (7.6935553 49.4439103)
8295451777,49.444258,7.6926626,3,,,POINT (7.6926626 49.444258)
8295451778,49.4440625,7.6936013,3,,,POINT (7.6936013 49.4440625)
8295710679,49.4223787,7.7039491,3,,,POINT (7.7039491 49.4223787)
8295710681,49.4230025,7.7046522,1,,,POINT (7.7046522 49.4230025)
8296032317,49.449815,7.7861772,3,,,POINT (7.7861772 49.449815)
8296032327,49.4497046,7.785114,1,,,POINT (7.785114 49.4497046)
8296032328,49.4497515,7.7862485,3,,,POINT (7.7862485 49.4497515)
8296032334,49.4503197,7.7858433,1,,,POINT (7.7858433 49.4503197)
8296032335,49.4501746,7.7863694,3,,,POINT (7.7863694 49.4501746)
8296032339,49.4502496,7.787072,1,,,POINT (7.787072 49.4502496)
8301697916,49.4042261,7.7306115,3,,,POINT (7.7306115 49.4042261)
8301720822,49.4041207,7.7299603,1,,,POINT (7.7299603 49.4041207)
8302222452,49.4456935,7.7750765,3,,,POINT (7.7750765 49.4456935)
8302222454,49.4455424,7.7752123,1,,,POINT (7.7752123 49.4455424)
8310205580,49.4490477,7.7788768,3,,,POINT (7.7788768 49.4490477)
8310205582,49.4494959,7.7784903,1,,,POINT (7.7784903 49.4494959)
8310285316,49.4486358,7.7908501,3,,,POINT (7.7908501 49.4486358)
8310335817,49.4483792,7.790438,1,,,POINT (7.790438 49.4483792)
8310568266,49.444976,7.7920523,3,,,POINT (7.7920523 49.444976)
