u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,bridge,geometry,name,service,junction,access,width,tunnel,area
350660,262298893,0,1106703680,True,1,,tertiary,50,False,34.351,,"LINESTRING (7.743639 49.4275232, 7.7436432 49.4274479, 7.7436985 49.4273649, 7.7437492 49.4273148, 7.7438196 49.4272454)",Theodor-Heuss-Straße,,,,,,
350687,2540680701,0,33423440,False,,L 503,secondary,50,False,82.686,,"LINESTRING (7.750996 49.4284322, 7.7516534 49.4290406)",Trippstadter Straße,,,,,,
350687,1298231824,0,"[28735616, 242253640]",True,"['1', '2']",,secondary,50,False,160.82299999999998,,"LINESTRING (7.750996 49.4284322, 7.7508379 49.4283255, 7.7505052 49.4280474, 7.7502779 49.4278278, 7.7498984 49.4274355, 7.7497173 49.4272526)",Trippstadter Straße,,,,,,
350707,263006478,0,67197204,False,,,residential,,False,25.364,,"LINESTRING (7.7634761 49.4365274, 7.7634413 49.4365854, 7.7633701 49.4367041, 7.7633467 49.4367394)",Trippstadter Straße,,,,,,
350707,263006483,0,67197205,False,,B 37,primary,30,True,125.523,,"LINESTRING (7.7634761 49.4365274, 7.7635223 49.4365436, 7.7635792 49.4365591, 7.7636882 49.4365805, 7.7638642 49.4366116, 7.765135 49.4368567)",Logenstraße,,,,,,
350707,1191126485,0,251642050,False,,B 37,primary,30,False,58.571,,"LINESTRING (7.7634761 49.4365274, 7.7633941 49.4364845, 7.7633239 49.4364318, 7.7630114 49.4361006)",Trippstadter Straße,,,,,,
350714,1721713440,0,18828851,False,2,,tertiary,50,False,34.001999999999995,,"LINESTRING (7.7669362 49.4372091, 7.7668542 49.4373094, 7.7668072 49.4373465, 7.7666662 49.4374577)",Rudolf-Breitscheid-Straße,,,,,,
350714,263006492,0,45073854,False,4,B 37,primary,50,True,86.417,,"LINESTRING (7.7669362 49.4372091, 7.767141 49.4372536, 7.767841 49.4373881, 7.7679105 49.4373977, 7.767962 49.4374049, 7.7680869 49.4374131)",Logenstraße,,,,,,
350714,1721713421,0,45204017,False,3,B 37,primary,50,False,33.376,,"LINESTRING (7.7669362 49.4372091, 7.7668214 49.437181, 7.7667727 49.4371717, 7.7664952 49.4371212)",Logenstraße,,,,,,
350716,271151734,0,60806986,False,2,,tertiary,50,False,25.421,,"LINESTRING (7.7641114 49.4393602, 7.7639988 49.4394429, 7.7639745 49.4394607, 7.7638784 49.4395314)",Rudolf-Breitscheid-Straße,,,,,,
350716,263006481,0,841682079,False,2,,tertiary,30,True,79.34400000000001,,"LINESTRING (7.7641114 49.4393602, 7.7640047 49.439316, 7.7639446 49.439291, 7.7632869 49.4390181, 7.7631863 49.4389764)",Pirmasenser Straße,,,,,,
350716,263006482,0,951654094,False,2,,tertiary,50,True,69.479,,"LINESTRING (7.7641114 49.4393602, 7.7641858 49.4393036, 7.7642243 49.4392743, 7.7647359 49.4388853)",Rudolf-Breitscheid-Straße,,,,,,
350718,350719,0,168875591,False,,,residential,50,True,69.1,,"LINESTRING (7.7654102 49.4399821, 7.765384 49.4400325, 7.7653357 49.4401255, 7.7652284 49.4405519, 7.765219 49.4405894)",Humboldtstraße,,,,,,
350718,271151738,0,"[162551440, 1157166249]",True,,,residential,,False,48.298,,"LINESTRING (7.7654102 49.4399821, 7.7653657 49.439951, 7.7651806 49.4398218, 7.7649715 49.4397121, 7.7649229 49.4396866)",Pirmasenser Straße,,,,,,
350719,271151736,0,24952625,False,,,living_street,,False,50.023,,"LINESTRING (7.765219 49.4405894, 7.7652758 49.4405773, 7.7653634 49.4405586, 7.7657508 49.4403676, 7.7657936 49.4403465)",Humboldtstraße,,,,,,
350719,271151737,0,24952626,True,,,residential,30,False,64.81,,"LINESTRING (7.765219 49.4405894, 7.7651674 49.440579, 7.7643893 49.4404224, 7.7643627 49.4404171)",Annastraße,,,,,,
350719,350718,0,168875591,False,,,residential,50,False,69.1,,"LINESTRING (7.765219 49.4405894, 7.7652284 49.4405519, 7.7653357 49.4401255, 7.765384 49.4400325, 7.7654102 49.4399821)",Humboldtstraße,,,,,,
350719,1166352466,0,168875591,False,,,residential,50,True,24.153,,"LINESTRING (7.765219 49.4405894, 7.7652118 49.4406152, 7.7651592 49.4408031)",Humboldtstraße,,,,,,
