element_type,osmid,amenity,parking,geometry,access,fee,layer,name,wheelchair,toilets:wheelchair,surface,created_by,capacity,capacity:disabled,alt_name,lit,maxheight,operator,level,description,source,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note,park_ride,nodes,designation,type,building,building:levels,roof:levels,roof:shape,brand,brand:wikidata,brand:wikipedia,building:parts,opening_hours,operator:wikidata,operator:wikipedia,capacity:parent,capacity:women,parking:condition,parking:condition:customers,fixme,hgv,supervised,cables,ref,parking:condition:private,charge,name:etymology:wikidata,parking:lane:right,capacity:long,building:part,area,building:levels:underground,operator:type,orientation,ways
way,28954132,parking,,"POLYGON ((7.6887785 49.4688484, 7.6888629 49.4687908, 7.6888736 49.4688048, 7.6890174 49.4687069, 7.6889129 49.4686426, 7.6889236 49.4686069, 7.688726 49.4684901, 7.6886639 49.4685386, 7.688511 49.4684558, 7.6883457 49.4685747, 7.6887785 49.4688484))",,,,,,,,,,,,,,,,,,,,,,,,,"[318347416, 4415170478, 4415170477, 318345629, 10250844855, 10250844856, 4415170464, 4415170467, 318347420, 318347422, 318347416]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28955800,parking,surface,"POLYGON ((7.685322 49.4641106, 7.685623 49.4640844, 7.6856967 49.4640164, 7.6856917 49.4637457, 7.6854367 49.4637192, 7.685322 49.4641106))",,,,,,,,,,,,,,,,,,,,,,,,,"[318367621, 318367622, 2071282098, 318367624, 318367625, 318367621]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28957303,parking,surface,"POLYGON ((7.745728 49.4344858, 7.7466917 49.4346354, 7.7467124 49.4345951, 7.7470411 49.4346468, 7.7479175 49.4337596, 7.7479157 49.4336799, 7.7468926 49.4335299, 7.7463473 49.4334484, 7.7462837 49.4334529, 7.7461484 49.433823, 7.7462438 49.4338378, 7.7462067 49.4339393, 7.7461461 49.4341052, 7.746053 49.4340908, 7.7459955 49.4342481, 7.7454625 49.4341657, 7.745235 49.4341315, 7.7452058 49.4342132, 7.7452161 49.4342636, 7.7452626 49.4343039, 7.7453935 49.4343571, 7.7455605 49.4344092, 7.7457395 49.4344439, 7.745728 49.4344858))",permissive,,,,,,,,,,,,,,,,,,,,,,,,"[318385152, 1933736136, 1933736107, 318385153, 1225356880, 318385155, 1933735575, 1933735543, 318385157, 1147132623, 1147134606, 3962406659, 1147134558, 1933735832, 1147134357, 1147133856, 1933735851, 1933735899, 1933735924, 1933735954, 1147133267, 1933736021, 1933736041, 318385152]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29098121,parking,surface,"POLYGON ((7.7848302 49.4437991, 7.7880128 49.4432749, 7.787926 49.4428688, 7.7877986 49.4424376, 7.7876312 49.4420501, 7.7873149 49.4414825, 7.7869454 49.4415958, 7.787208 49.4420299, 7.7841089 49.442536, 7.7843 49.4430551, 7.7843702 49.4432789, 7.784488 49.44369, 7.7848302 49.4437991))",yes,yes,,Messeplatz,,,,,,,,,,,,,,,,,,,,,"[320067568, 320067569, 1181127370, 1215823573, 320067570, 3177045845, 3177045850, 3177045854, 320067571, 1224118374, 1224118533, 1024740009, 320067568]",,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29230955,parking,street_side,"POLYGON ((7.7752702 49.4476375, 7.7752991 49.4476088, 7.7755244 49.4477046, 7.7754955 49.4477333, 7.7752702 49.4476375))",,,,,yes,,,,,,,,,,,,,,,,,,,,"[321514645, 321514646, 321514647, 321514649, 321514645]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29468290,parking,,"POLYGON ((7.7309387 49.4595144, 7.7312879 49.4593694, 7.73153 49.4595308, 7.7315797 49.459564, 7.7316542 49.4596714, 7.731476 49.4597397, 7.7313145 49.4597471, 7.731222 49.4597349, 7.7311571 49.459747, 7.731083 49.4596178, 7.7309387 49.4595144))",,,,,,,,,,,,,,,,,,,,,,,,,"[343208788, 336571328, 3085113150, 324772762, 1728799671, 324772764, 1728799675, 324772765, 324281835, 3085113158, 343208788]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30496479,parking,,"POLYGON ((7.7313186 49.4602705, 7.7312867 49.4603525, 7.7312368 49.460428, 7.731211 49.460884, 7.7315197 49.4608811, 7.7314539 49.4602605, 7.7313186 49.4602705))",,,,,,,,,,,,,,,,,,,,,,,,,"[336572977, 336572982, 336572988, 336572994, 336572999, 336573005, 336572977]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30651606,parking,multi-storey,"POLYGON ((7.7696593 49.4464058, 7.769773 49.4461489, 7.7698378 49.446161, 7.769862 49.4461062, 7.7703042 49.4461889, 7.7702887 49.4462238, 7.770354 49.446236, 7.7703401 49.4462674, 7.7702319 49.4465118, 7.7701774 49.4465016, 7.7701523 49.4465582, 7.7700977 49.4465479, 7.770092 49.4465608, 7.7697469 49.4464962, 7.7697526 49.4464834, 7.7696903 49.4464717, 7.7697149 49.4464162, 7.7696593 49.4464058))",private,yes,,Parkhaus Pfalztheater,yes,,,,,,,,,,,,,Kaiserslautern,,,67657,Martin-Luther-Straße,,,"[1110285520, 338978758, 1086988818, 1086988822, 1086988833, 1086988811, 338978760, 338978754, 1110285215, 1110285592, 1110285146, 9187137244, 9187137243, 9187137242, 9187137245, 1110285377, 1110285679, 1110285520]",,,parking,1,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30675025,parking,multi-storey,"POLYGON ((7.7648644 49.4436862, 7.7648477 49.4436772, 7.7648337 49.4436697, 7.7647948 49.4436516, 7.7647954 49.4435895, 7.7647098 49.443544, 7.7646472 49.443539, 7.7646025 49.4435448, 7.7645563 49.4435621, 7.7645277 49.443586, 7.7645138 49.4436113, 7.7645113 49.4436403, 7.7645209 49.4436661, 7.7645458 49.4436899, 7.7645792 49.4437101, 7.7646258 49.4437198, 7.7646696 49.4437213, 7.7647287 49.4437088, 7.7647781 49.4437079, 7.7648004 49.4437166, 7.7648208 49.4437247, 7.7648644 49.4436862))",customers,yes,,Q-Park K in Lautern,,,,,,,,,,Q-Park,,,,,,,,,,,"[339232609, 4971012721, 1165059942, 1936465300, 339232603, 339232608, 1165059464, 339232604, 3373187352, 1165059136, 3373187353, 339232605, 3373187354, 1165060217, 3373187356, 339232606, 1165059642, 3373187355, 1936465302, 4971010219, 1936465304, 339232609]",,,parking,,,,Q-Park,Q1127798,en:Q-Park,vertical,Mo-Sa 07:00-21:00,Q1127798,en:Q-Park,,,,,,,,,,,,,,,,,,,,
way,30677745,parking,surface,"POLYGON ((7.7668731 49.4371161, 7.7670422 49.4367748, 7.7672967 49.4368246, 7.7672821 49.4368529, 7.7672361 49.4369424, 7.7671813 49.4370488, 7.7671339 49.4371532, 7.7670725 49.4371578, 7.7668731 49.4371161))",yes,no,,,,,,,,,,,,,,,,,,,,,,,"[1152739000, 339323868, 339323860, 3962406660, 1152738997, 1152739213, 1152738879, 1152739296, 1152739000]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
