element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,religion,wheelchair,wikidata,wikimedia_commons,wikipedia,geometry,denomination,wheelchair:description,fixme,addr:suburb,service_times,brand:wikidata,addr:country,contact:website,man_made,old_name,contact:facebook,contact:phone,opening_hours,barrier,image,tourism,level,description,historic,material,operator,name:en,room:ref,short_name,colour,nodes,bicycle,bollard,building,foot,name:fr,website,architect,architect:wikidata,building:architecture,diocese,heritage,architect:wikipedia,deanery,parish,start_date,building:use,alt_name,building:colour,building:levels,building:material,height,roof:material,roof:shape,operator:wikidata,amenity:community_centre,amenity:place_of_worship,name:signed,source,year_of_construction,contact:email,contact:fax,network,roof:levels,roof:orientation,source:name,building:part,addr:neighbourhood,capacity,name:de,landuse,contact:instagram,contact:twitter,contact:youtube,ways,type
node,7364298644,Saarbrücken,56,66113,Am Torhaus,place_of_worship,Holy Ghost Prayer Ministry,christian,yes,,,,POINT (6.9790573 49.2476276),,,,,,,DE,,,,https://www.facebook.com/holyghostprayerministrysaarbrucken/,+49 681 792405,"We 19:30-20:30; Fr 19:30-22:00, Fr[1]22:00-02:00; Su 10:30-14:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7570276956,,,,,place_of_worship,CZS Christliches Zentrum Saarbrücken,christian,no,,,,POINT (6.9910631 49.2311747),,,,,Su 10:30; Tu 18:00,,,http://www.cz-sb.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7639649895,,,,,place_of_worship,Mariengrotte,christian,,,,,POINT (6.9742196 49.2551017),roman_catholic,,,,,,,,cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8812301525,,,,,place_of_worship,Wegkreuz,christian,,,,,POINT (6.9253146 49.2591466),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9664431609,,,,,place_of_worship,Wat Thai Buddha Apa,buddhist,,,,,POINT (7.0307873 49.2783904),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9923285323,,,,,place_of_worship,Kirche die Bewegt,christian,,,,,POINT (6.9997079 49.2334483),baptist,,,,,Q1005073,,https://kirche-die-bewegt.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10167262558,,,,,place_of_worship,Seelenraum,multifaith,,,,,POINT (7.0447992 49.2571849),,,,,,,,,,,,,,,,,0,,,,,Multi-Faith room,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10604414674,,,,,place_of_worship,Erbaut Christliche Gemeinde Saarbrücken,christian,,,,,POINT (7.0612281 49.2480589),,,,,,,,https://www.cg-sb.de/,,,,,,,,,,,,,,,,CG-SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10711128436,,,,,place_of_worship,The Church of Pentecost Int.,christian,,,,,POINT (7.0365301 49.2780811),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10904082750,,,,,place_of_worship,Mount Zion Pentecostal Church,christian,,,,,POINT (6.9494552 49.2413568),,,,,,,,,,,,,,,,,,Kirche der Berg Zion Pfingstgemeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27864984,,51,66127,Hauptstraße,place_of_worship,Sankt Bartholomäus,christian,yes,,,,"POLYGON ((6.8978389 49.2303485, 6.89821 49.2304603, 6.8982863 49.2304421, 6.8983331 49.2303784, 6.8982922 49.2303061, 6.8979658 49.2302096, 6.8979463 49.2302038, 6.8979147 49.2302463, 6.8978652 49.2302313, 6.897842 49.2302615, 6.8978168 49.2302944, 6.8978679 49.2303094, 6.8978389 49.2303485))",catholic,,,,,,DE,,,,,,,bollard,,,,,,metal,,,,,red;white,"[305933543, 1021987380, 305933544, 305933545, 1021987469, 10927820223, 305933546, 1021988034, 1021987660, 10927831137, 1021987884, 1021987405, 305933543]",yes,foldable,church,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27865143,Saarbrücken,67,66127,Hauptstraße,place_of_worship,Evangelische Kirche,christian,yes,Q104369883,Category:Evangelische Kirche Klarenthal (Saarbrücken),,"POLYGON ((6.8991224 49.2283901, 6.8987256 49.2283653, 6.8987448 49.2282444, 6.8986408 49.2282386, 6.8986526 49.2281559, 6.8988298 49.2281651, 6.8988135 49.228258, 6.8991378 49.2282804, 6.8991224 49.2283901))",protestant,,,,,,DE,,,,,,,,,,,,,,,,,,,"[305934891, 252137683, 305934892, 305934894, 305934895, 305934897, 305934898, 305934899, 305934891]",,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
