element_type,osmid,access,amenity,covered,fee,parking,geometry,nodes,area,capacity,parking_space
way,1133937061,,parking_space,,,,"POLYGON ((7.0017572 49.234142, 7.0017865 49.234131, 7.0017526 49.2340926, 7.0017396 49.2340974, 7.0017236 49.2341033, 7.0017572 49.234142))","[10571713446, 10571713443, 10571713442, 10571713465, 10571713445, 10571713446]",,1,normal
way,1133937062,,parking_space,,,,"POLYGON ((7.001728 49.234153, 7.0017572 49.234142, 7.0017236 49.2341033, 7.0017103 49.2341083, 7.0016973 49.2341131, 7.0016946 49.234114, 7.001728 49.234153))","[10571713447, 10571713446, 10571713445, 10571713466, 10571713468, 10571713444, 10571713447]",,1,normal
way,1133937063,,parking_space,,,,"POLYGON ((7.0016886 49.2341678, 7.0017135 49.2341584, 7.0016801 49.2341194, 7.0016664 49.2341244, 7.0016549 49.2341287, 7.0016886 49.2341678))","[10571713451, 10571713449, 10571713448, 10571713470, 10571713450, 10571713451]",,1,normal
way,1133937064,,parking_space,,,,"POLYGON ((7.0016636 49.2341772, 7.0016886 49.2341678, 7.0016549 49.2341287, 7.0016356 49.2341358, 7.0016298 49.234138, 7.0016636 49.2341772))","[10571713454, 10571713451, 10571713450, 10571713473, 10571713453, 10571713454]",,1,normal
way,1133937065,,parking_space,,,,"POLYGON ((7.0016387 49.2341866, 7.0016636 49.2341772, 7.0016298 49.234138, 7.0016047 49.2341472, 7.0016387 49.2341866))","[10571713455, 10571713454, 10571713453, 10571713452, 10571713455]",,1,normal
way,1133937066,,parking_space,,,,"POLYGON ((7.0018117 49.2340708, 7.0018253 49.2340658, 7.001841 49.23406, 7.0018058 49.2340202, 7.0017773 49.2340308, 7.0018117 49.2340708))","[10571713458, 10571713437, 10571684750, 10571713457, 10571713456, 10571713458]",,1,normal
way,1133937067,,parking_space,,,,"POLYGON ((7.001769 49.2340866, 7.0017816 49.2340819, 7.0017956 49.2340767, 7.0017983 49.2340757, 7.001764 49.2340357, 7.0017347 49.2340466, 7.001769 49.2340866))","[10571713462, 10571713440, 10571713436, 10571713460, 10571713459, 10571713461, 10571713462]",,1,normal
way,1133937068,,parking_space,,,,"POLYGON ((7.0017396 49.2340974, 7.0017526 49.2340926, 7.001769 49.2340866, 7.0017347 49.2340466, 7.0017053 49.2340574, 7.0017396 49.2340974))","[10571713465, 10571713442, 10571713462, 10571713461, 10571713464, 10571713465]",,1,normal
way,1133937069,,parking_space,,,,"POLYGON ((7.0017103 49.2341083, 7.0017236 49.2341033, 7.0017396 49.2340974, 7.0017053 49.2340574, 7.001676 49.2340683, 7.0017103 49.2341083))","[10571713466, 10571713445, 10571713465, 10571713464, 10571713463, 10571713466]",,1,normal
way,1133937070,,parking_space,,,,"POLYGON ((7.0016664 49.2341244, 7.0016801 49.2341194, 7.0016946 49.234114, 7.0016973 49.2341131, 7.001663 49.2340731, 7.0016326 49.2340844, 7.0016664 49.2341244))","[10571713470, 10571713448, 10571713444, 10571713468, 10571713467, 10571713469, 10571713470]",,1,normal
way,1133937071,,parking_space,,,,"POLYGON ((7.0016356 49.2341358, 7.0016549 49.2341287, 7.0016664 49.2341244, 7.0016326 49.2340844, 7.0016021 49.2340957, 7.0016356 49.2341358))","[10571713473, 10571713450, 10571713470, 10571713469, 10571713472, 10571713473]",,1,normal
way,1133937072,,parking_space,,,,"POLYGON ((7.0016047 49.2341472, 7.0016298 49.234138, 7.0016356 49.2341358, 7.0016021 49.2340957, 7.0015712 49.2341071, 7.0015982 49.2341392, 7.0016047 49.2341472))","[10571713452, 10571713453, 10571713473, 10571713472, 10571713471, 8849080764, 10571713452]",,1,normal
way,1133937073,,parking_space,,,,"POLYGON ((7.0015693 49.2341495, 7.0015982 49.2341392, 7.0015712 49.2341071, 7.0015426 49.2341177, 7.0015693 49.2341495))","[10571713476, 8849080764, 10571713471, 10571713475, 10571713476]",,1,normal
way,1133937074,,parking_space,,,,"POLYGON ((7.0015405 49.2341598, 7.0015693 49.2341495, 7.0015426 49.2341177, 7.001514 49.2341283, 7.0015405 49.2341598))","[10571713758, 10571713476, 10571713475, 10571713474, 10571713758]",,1,normal
way,1133937075,,parking_space,,,,"POLYGON ((7.0019205 49.2339147, 7.0019488 49.2339041, 7.0019223 49.2338727, 7.0018934 49.2338834, 7.0019205 49.2339147))","[10571713484, 10571713479, 10571713478, 10571713477, 10571713484]",,1,normal
way,1133937076,,parking_space,,,,"POLYGON ((7.0018926 49.2339251, 7.0019205 49.2339147, 7.0018934 49.2338834, 7.0018655 49.2338938, 7.0018926 49.2339251))","[10571713485, 10571713484, 10571713477, 10571713480, 10571713485]",,1,normal
way,1133937077,,parking_space,,,,"POLYGON ((7.0018868 49.2338757, 7.0019157 49.2338649, 7.0019261 49.233861, 7.0018918 49.2338208, 7.0018522 49.2338356, 7.0018795 49.2338672, 7.0018868 49.2338757))","[10571713490, 10571713488, 10571713487, 10571713486, 10571713489, 10571713481, 10571713490]",,1,normal
