element_type,osmid,geometry,amenity,addr:city,addr:housenumber,addr:postcode,addr:street,operator,nodes,addr:country,addr:suburb,building,building:levels,name,contact:website,roof:levels,roof:shape,height,building:colour,roof:colour,note,alt_name,building:material,opening_hours,phone,roof:orientation,short_name,source,website,building:use,office,old_name,disused:amenity,ruins
way,101818844,"POLYGON ((6.9943235 49.2513814, 6.9942195 49.2513419, 6.994147 49.2514234, 6.9942509 49.2514628, 6.9943235 49.2513814))",,Saarbrücken,114,66113,Ottweilerstraße,,"[1175460015, 4489474666, 4489474669, 1175460282, 1175460015]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,111513910,"POLYGON ((6.9886791 49.2322829, 6.9886618 49.2321962, 6.9887863 49.2321856, 6.9887721 49.2321186, 6.9885553 49.2321338, 6.9885593 49.232156, 6.9885683 49.2322057, 6.9885747 49.2322405, 6.9885804 49.2322717, 6.9885837 49.2322899, 6.9886791 49.2322829))",,Saarbrücken,2,66117,Löwengasse,,"[1270296857, 1270296858, 1270296860, 1270296856, 1270296854, 6983977335, 6983977316, 6983977315, 6983977334, 2241797154, 1270296857]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,112938504,"POLYGON ((6.9314448 49.2584496, 6.9315415 49.2583824, 6.9314404 49.2583204, 6.9313437 49.2583876, 6.9314448 49.2584496))",,Saarbrücken,11,66115,Jakobshütte,,"[1282454113, 1282454094, 1282454117, 1282454089, 1282454113]",DE,,residential,,,,,,,,,,,,,,,,,,,,,,
way,116434982,"POLYGON ((7.0310037 49.2774706, 7.0311665 49.2775279, 7.0312344 49.2774459, 7.0310716 49.2773885, 7.0310037 49.2774706))",,Saarbrücken,19,66125,Friedensstraße,,"[1312677269, 1312677339, 1312677411, 1312677482, 1312677269]",,Dudweiler,residential,,,,,,,,,,,,,,,,,,,,,,
way,116730628,"POLYGON ((7.0378059 49.2827116, 7.0378767 49.2827312, 7.0379491 49.2826198, 7.0379138 49.2826101, 7.0379043 49.2826246, 7.0378866 49.2826198, 7.0378689 49.2826149, 7.0378319 49.2826717, 7.0378059 49.2827116))",,Saarbrücken,1,66125,Rehbachstraße,,"[1315255069, 1315255072, 10096370842, 10096370840, 10096370844, 10096370838, 1315255052, 10096370837, 1315255069]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,116730693,"POLYGON ((7.0380686 49.2828154, 7.0379928 49.2828859, 7.0380639 49.2829184, 7.037988 49.2829891, 7.038072 49.2830275, 7.0381479 49.2829568, 7.0381369 49.2829517, 7.0382126 49.2828812, 7.0380686 49.2828154))",,Saarbrücken,5,66125,Rehbachstraße,,"[1315255085, 1315255097, 10096370833, 10096370832, 10096370831, 10096370830, 1315255101, 1315255087, 1315255085]",,,residential,,,,,,,,,,,,,,,,,,,,,,
way,117623239,"POLYGON ((7.0459374 49.2701102, 7.0459674 49.2700527, 7.045869 49.2700308, 7.045839 49.2700883, 7.0459374 49.2701102))",,Saarbrücken,24,66125,Am Geisenberg,,"[1324706695, 1324706704, 1324706693, 1324706690, 1324706695]",,Dudweiler,residential,,,,,,,,,,,,,,,,,,,,,,
way,117623240,"POLYGON ((7.0490691 49.2684739, 7.0492346 49.2684213, 7.0491595 49.2683207, 7.0489941 49.2683733, 7.0490691 49.2684739))",,Saarbrücken,12,66125,Martin-Luther-Straße,,"[1324706679, 1324706686, 1324706694, 1324706710, 1324706679]",DE,Dudweiler,residential,,,,,,,,,,,,,,,,Bing,,,,,,
way,117623243,"POLYGON ((7.0450492 49.2706849, 7.0451658 49.27069, 7.0451723 49.2706261, 7.0450557 49.270621, 7.0450492 49.2706849))",,Saarbrücken,10,66125,In der Mückendell,,"[1324706688, 1324706698, 1324706668, 1324706702, 1324706688]",DE,Dudweiler,residential,,,,,,,,,,,,,,,,,,,,,,
way,117623244,"POLYGON ((7.045732 49.2702972, 7.045823 49.2703177, 7.0458566 49.2702544, 7.0457655 49.2702339, 7.045732 49.2702972))",,Saarbrücken,20,66125,Am Geisenberg,,"[1324706677, 1324706670, 1324706689, 1324706665, 1324706677]",,Dudweiler,residential,,,,,,,,,,,,,,,,,,,,,,
