element_type,osmid,amenity,taxi,geometry,access,barrier,traffic_sign,parking,wheelchair,highway,lit,hgv,description,fee,access:conditional,foot,foot:conditional,note,note:access,surveillance,name,bicycle,motorcar,capacity,surface,emergency,maxheight,start_date,website,motor_vehicle,motorcycle,trailer,vehicle,wheelchair:description,opening_hours,level,layer,operator,maxwidth,private,park_ride,supervised,ref,bus,addr:city,addr:housenumber,addr:postcode,addr:street,contact:website,indoor,fixme,addr:country,brand,covered,kiss_ride,maxstay,operator:type,operator:wikidata,capacity:disabled,disabled,markings,nodes,paving_stones:material,orientation,building,brand:wikidata,name:fr,maxweight,smoothness,max_level,min_level,maxstay:conditional,parking:authentication:disc:conditional,access:note,zone,maxstay:monitoring,parking:authentication:disc,source,parking_disc,wikimedia_commons,fee:conditional,building:levels,roof:levels,roof:shape,capacity:parent,capacity:women,parking:orientation,alt_name,contact:phone,charge,old_name,building:use,authentication:disc,denomination,religion,ruins,charge:conditional,location,building:colour,payment:cash,area,building:part,landuse,service,park,parking:restriction:conditional,parking:zone,toilets:wheelchair,phone,restriction:conditional,capacity:tourist_bus,tourist_bus,authentication:disc:conditional,charge:note,building:min_level,wikidata,parking:condition,parking:condition:residents,restriction,skateboard,restriction:taxi,parking:condition:conditional,motorhome,disabled:conditional,capacity:charging,car_sharing,parking:restriction,ways,type
node,1700022938,parking,,POINT (7.0204732 49.246435),private,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1704940363,parking,,POINT (6.999005 49.2216079),,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2288219790,parking,,POINT (7.1209491 49.245836),permissive,,,surface,,,,,,,,,,,,,Staffel,,,3,unpaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2335469001,parking,,POINT (7.0216078 49.2054718),,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2459691546,parking,,POINT (7.0550433 49.2319928),permissive,,,surface,,,no,,,no,,,,,,,,,,,compacted,,,,,,,,,,,,,SaarForst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3157049394,parking,,POINT (6.9857692 49.2662928),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3157049395,parking,,POINT (6.9843625 49.2661145),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3186269636,parking,,POINT (7.0422656 49.2771533),customers,,,surface,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,Krankenhaus St. Josef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3543519316,parking,,POINT (7.0192125 49.2224832),,,,surface,,,,,,no,,,,,,,,,,10,,,,,,,,,,,,,,S.A.L.T.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3791857453,parking,,POINT (7.1082653 49.2120624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4096013492,parking,,POINT (6.9995021 49.2213722),,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4758524993,parking,,POINT (6.9730753 49.2406701),private,,,underground,,,,,,,,,,,,,Hotel,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5578903422,parking,,POINT (7.0060774 49.2491641),customers,,,surface,,,,,,no,,,,,,,,,,,paving_stones,,,,,,,,,,,,,Firma Confidenz,,,,,,,,,,,,,"Laut Schild ist das ein Kundenparkplatz der Firma Confidenz, aber laut http://archive.is/V5GuI ist diese Firma nicht mal in der Nähe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5585386704,parking,,POINT (7.0059831 49.2459287),customers,,,surface,,,,,Parkplatz des Tierarztes,no,,,,,,,,,,,paving_stones,,,,,,,,,,,,,Tierarztpraxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5585396675,parking,,POINT (7.0060523 49.249203),private,,,surface,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5585903646,parking,,POINT (6.9899668 49.2378634),unknown,,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5589324781,parking,,POINT (6.9900446 49.2379212),customers,,,multi-storey,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Saarbrücken,2,66111,Kohlwaagstraße,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6537544355,parking,,POINT (6.9977026 49.2376692),customers,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6587363456,parking,,POINT (7.04587 49.2540892),customers,,,surface,,,,,,no,,,,,,,,,,,dirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6694998158,parking,,POINT (7.0024699 49.2371123),customers,,,surface,,,,,Elternhaltestelle,no,,,,"Tags? Dies ist als Haltverbot ausgeschildert, es als Parkplatz auszuschildern kann nicht die beste Lösung sein",,,,,,,,,,,,,,,,,,,,Max-Ophüls-Grundschule,,,,,,,,,,,,,,,,,yes,3 hours,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7431806598,parking,,POINT (6.9788098 49.2342175),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7474825521,parking,,POINT (6.9847418 49.2346673),customers,,,rooftop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10096380173,parking,,POINT (7.0376932 49.282403),customers,,,surface,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Sparkasse Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10599594914,parking,,POINT (7.0006959 49.2416682),no,,,surface,,,,,,no,,,,,,,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,designated,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10889855359,parking,,POINT (7.0365784 49.1761922),private,,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10889855375,parking,,POINT (7.0365278 49.1759446),,,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23326546,parking,,"POLYGON ((6.964813 49.2107787, 6.9649381 49.2108862, 6.9650041 49.2108535, 6.9658845 49.2103885, 6.9657354 49.2102676, 6.9657041 49.2102845, 6.964813 49.2107787))",customers,,,surface,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,Mercure Hotel Saarbruecken Süd,,,,,,,,,,,,,,,,,,,,,,,,"[362450756, 362450755, 362450751, 362450764, 362450760, 4951170256, 362450756]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
