element_type,osmid,amenity,authentication:debit_card,authentication:membership_card,authentication:money_card,capacity,fee,motorcar,opening_hours,operator,ref,geometry,website,amperage,contact:website,manufacturer,socket:schuko,socket:type2,fixme,operator:wikidata,name,authentication:pin,bicycle,charging_station:type,description,maxstay,payment:coins,scooter,truck,check_date:opening_hours,lit,noname,noref,authentication:nfc,socket:type2_combo,authentication:app,voltage,covered,operator:wikipedia,parking:fee,socket:chademo,socket:chademo:output,socket:type2:output,socket:type2_combo:output,charge,authentication:short_message,motor_vehicle,access,note,strapline,supervised,support,man_made,brand,start_date
node,7800992015,charging_station,,,,,,,,,,POINT (7.0360239 49.2509836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,
node,7898462013,charging_station,,,,,no,,24/7,,,POINT (7.0287196 49.2386093),,,,,7,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7898462014,charging_station,,,,,no,,24/7,,,POINT (7.0312276 49.2772209),,,,,4,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7898462015,charging_station,,,,,no,,24/7,,,POINT (7.0490472 49.2763798),,,,,4,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7921038092,charging_station,,,,8,,,24/7,,,POINT (6.9874885 49.2426921),,,,,,,,,,,yes,,Schließfächer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7931639755,charging_station,,,,,yes,,,EnBW,DE*EBW*E905052*1;DE*EBW*E905052*2;DE*EBW*E905052*3,POINT (6.9664298 49.2094984),,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,50 kW,43 kW,50 kW,,,,,,,,,,,
node,7931639758,charging_station,,yes,,,yes,,,EnBW,DE*EBW*E905344*1;DE*EBW*E905344*2;DE*EBW*E905344*3,POINT (6.9663605 49.2094663),,,,,,,,,EnBW mobility+,,,,,,,,,,,,,,2,,,,,,1,50,,300,,,,,Stations-ID laut Beschriftung 8088,,,,,,
node,7935836902,charging_station,,,,3,yes,,,EnBW,4170,POINT (6.9671762 49.2075864),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7960485403,charging_station,,,,3,yes,,,Pfalzwerke,Hornbach I,POINT (7.0329454 49.2263246),,,,,,,,Q2082280,1•2•3 energie,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Öko-Strom für ihr Auto,,,,,
node,7960485424,charging_station,,,,1,,,,Pfalzwerke,Hornbach II,POINT (7.0329234 49.2262811),,,,,,,,Q2082280,1•2•3 energie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Öko-Strom für ihr Auto,,,,,
node,8016489192,charging_station,,yes,,2,yes,,24/7,Energie SaarLorLux,,POINT (7.0028305 49.2413739),,,,Gebrüder Bauer GbR,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
node,8024937599,charging_station,,,,2,yes,yes,24/7,Energie SaarLorLux,,POINT (6.9891081 49.2361729),,,,,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8425953162,charging_station,,,,2,,,24/7,Energie SaarLorLux,,POINT (7.0398761 49.2544586),,,,,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8558020584,charging_station,,,,4,,,24/7,,,POINT (6.9867866 49.2431743),,,,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,no,,,,
node,8640050509,charging_station,,,,,,yes,,,,POINT (7.0120672 49.2273998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8660019170,charging_station,,,,1,,,,STEAG,,POINT (6.9780244 49.2385086),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,
node,8833517464,charging_station,,,,,,,,,,POINT (6.9552913 49.2413489),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,wall_mounted,,,
node,8843376557,charging_station,,,,,,,,,,POINT (6.9681182 49.2107231),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mennekes,,
node,8882992966,charging_station,,,,2,,,,Energie SaarLorLux,,POINT (7.0329362 49.276027),,,,,,,,Q26794801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9172270347,charging_station,,,,2,,yes,,Stadtwerke Saarbrücken,,POINT (6.9781604 49.2347828),,16,http://www.e-mobil-saar.de,Bauer,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9241183176,charging_station,,,,,,yes,,,,POINT (6.9879447 49.2377978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9244182793,charging_station,,,,2,yes,yes,,Energie SaarLorLux,,POINT (6.9974446 49.2363683),,,,,,,,Q26794801,e Ladesäule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
