element_type,osmid,geometry,addr:housenumber,addr:street,addr:city,addr:country,addr:postcode,source,operator,description,note,amenity,historic,addr:suburb,operator:type,wheelchair,nodes,building,building:levels,roof:shape,source:geometry,start_date,roof:levels,source:outline,addr:subdistrict,building:colour,building:use,roof:colour,building:material,roof:material,contact:website,last_renovation,smoking,source_1,website,heritage,heritage:operator,ref:lda,roof:orientation,name,short_name,architect,nohousenumber,wikimedia_commons,heritage:description,source:addr,social_facility,social_facility:for,fixme,building:levels:underground,height,addr:old_housenumber,layer,contact:email,sport,addr:official_housenumber,loc_name,opening_hours,payment:credit_cards,payment:debit_cards,shop,denomination,religion,addr2:housenumber,addr2:street,source:addr:housenumber,roof:height,construction:start_date,construction,construction:building,opening_date,ways,type
way,123965561,"POLYGON ((8.3867994 48.9934107, 8.3867883 48.9933102, 8.3866946 48.9933147, 8.386693 48.9933003, 8.3866692 48.9932948, 8.3866377 48.9932959, 8.3866178 48.9933038, 8.3866245 48.993347, 8.386631 48.9934187, 8.3867994 48.9934107))",64b,Marie-Alexandra-Straße,Karlsruhe,DE,76135,,,,,,,,,,"[1380936060, 1380936029, 1380936030, 1380936026, 1380936022, 1380936023, 1380936028, 1380936040, 1380936061, 1380936060]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123965562,"POLYGON ((8.3871682 48.9932829, 8.3872534 48.9932794, 8.3872592 48.9933423, 8.3872446 48.9933429, 8.3872462 48.99336, 8.3873557 48.9933556, 8.3873599 48.9934012, 8.3873617 48.9934211, 8.387184 48.9934283, 8.3871682 48.9932829))",56a,Marie-Alexandra-Straße,Karlsruhe,DE,76135,,,,,,,,,,"[1380936019, 1380936017, 1380936037, 1380936038, 1380936048, 1380936047, 1380936059, 1380936063, 1380936068, 1380936019]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123980324,"POLYGON ((8.3882736 48.9930095, 8.3885411 48.9929971, 8.3885527 48.9931051, 8.3884924 48.9931078, 8.3882858 48.9931172, 8.3882736 48.9930095))",44,Marie-Alexandra-Straße,Karlsruhe,DE,76135,,,,,,,Beiertheim-Bulach,,,"[1381039766, 1381039764, 1381039881, 1381039886, 1381039877, 1381039766]",residential,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123980326,"POLYGON ((8.3871365 48.9930632, 8.3872589 48.9930573, 8.3873014 48.9930553, 8.3873127 48.9931563, 8.387276 48.9931581, 8.3871478 48.9931642, 8.3871365 48.9930632))",56,Marie-Alexandra-Straße,Karlsruhe,DE,76135,,,,,,,,,,"[1381039806, 2139880350, 1381039802, 1381039921, 2139880353, 1381039935, 1381039806]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123980329,"POLYGON ((8.3873014 48.9930553, 8.3874666 48.9930477, 8.3874776 48.9931488, 8.3873127 48.9931563, 8.3873014 48.9930553))",54,Marie-Alexandra-Straße,Karlsruhe,DE,76135,,,,,,,,,,"[1381039802, 1381039791, 1381039917, 1381039921, 1381039802]",residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123980339,"POLYGON ((8.3885527 48.9931051, 8.3884924 48.9931078, 8.3885031 48.9932067, 8.3885621 48.993204, 8.3885527 48.9931051))",44,Marie-Alexandra-Straße,Karlsruhe,,76135,,,,,,,,,,"[1381039881, 1381039886, 1381039975, 1381039973, 1381039881]",residential,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123980361,"POLYGON ((8.388147 48.9933976, 8.388135 48.993281, 8.388296 48.9932738, 8.3883018 48.9933395, 8.3882179 48.9933431, 8.3882232 48.9933942, 8.388147 48.9933976))",46a,Marie-Alexandra-Straße,Karlsruhe,DE,76135,,,,,,,,,,"[1381040104, 1381040026, 1381040023, 1381040064, 1381040067, 1381040102, 1381040104]",residential,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123980366,"POLYGON ((8.388296 48.9932738, 8.3882937 48.9932479, 8.3885651 48.9932376, 8.3885733 48.9933208, 8.388574 48.9933424, 8.3883869 48.9933495, 8.3883858 48.9933363, 8.3883018 48.9933395, 8.388296 48.9932738))",44,Marie-Alexandra-Straße,Karlsruhe,,76135,,,,,,,,,,"[1381040023, 1381040006, 1381039994, 1381040055, 1381040066, 1381040077, 1381040060, 1381040064, 1381040023]",residential,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125771536,"POLYGON ((8.4535858 49.0323541, 8.4535859 49.0323174, 8.4536007 49.0323174, 8.4536009 49.0322475, 8.4535861 49.0322475, 8.4535862 49.0322199, 8.4535897 49.0322199, 8.4535897 49.0322114, 8.4536049 49.0322114, 8.4536049 49.0322075, 8.4536548 49.0322075, 8.4536548 49.0321953, 8.4537047 49.0321953, 8.4537046 49.0322076, 8.4537515 49.0322076, 8.4537515 49.0322115, 8.4537654 49.0322116, 8.4537654 49.0322201, 8.4537682 49.0322201, 8.4537681 49.0322677, 8.4537863 49.0322677, 8.4537862 49.0322814, 8.4537862 49.0322948, 8.453768 49.0322948, 8.4537679 49.0323543, 8.4535858 49.0323541))",22,Leipziger Allee,Karlsruhe,DE,76139,,,,,,,Hagsfeld,,,"[2339116114, 6268867277, 6268867274, 6268867275, 6268867276, 1396135426, 6268867278, 6268867279, 6268867280, 6268867281, 6268867282, 6268867283, 6268867284, 6268867285, 6268867286, 6268867287, 6268867288, 6268867289, 1396135417, 6268867290, 6268867291, 9136046699, 6268867292, 6268867293, 2339116117, 2339116114]",residential,5,gabled,"Maps4BW, LGL, www.lgl-bw.de",~1990s,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125771545,"POLYGON ((8.453772 49.0311232, 8.4536007 49.0311228, 8.4535999 49.0312846, 8.4537712 49.031285, 8.453772 49.0311232))",32,Leipziger Allee,Karlsruhe,DE,76139,,,,,,,Hagsfeld,,,"[3327714069, 3327714068, 1396135473, 1396135419, 3327714069]",residential,6,gabled,"Maps4BW, LGL, www.lgl-bw.de",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
