element_type,osmid,amenity,capacity:disabled,description,parking_space,wheelchair,geometry,surface,traffic_sign,access,capacity:charging,access:disabled,capacity:short,maxlength,capacity:parent,capacity:women,layer,level,capacity,level:ref,ref,emergency,source,capacity:car_sharing,name,nodes,parking,parking:disabled,building,ref:permit,lit,fee,opening_hours,smoothness,supervised,capacity:disabled:conditional,parking:orientation,fire_service,maxstay:conditional,doctor,start_date,note,hgv,access:description,capacity:trailer,covered,customers,operator,fee:conditional,maxstay,capacity:private,access:conditional,capacity:taxi,taxi,vehicle,disabled,fixme,noref,tourist_bus,capacity:hgv,parking:fee,surface:colour,parking_space:conditional
node,5761632555,parking_space,,,,,POINT (8.4413577 49.0213154),paving_stones,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632556,parking_space,,,,,POINT (8.4413808 49.0213439),paving_stones,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632557,parking_space,,,,,POINT (8.4414039 49.0213723),paving_stones,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632558,parking_space,,,,,POINT (8.441427 49.0214008),paving_stones,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632559,parking_space,,,,,POINT (8.4414502 49.0214292),paving_stones,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632560,parking_space,,,,,POINT (8.4414733 49.0214577),paving_stones,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632561,parking_space,,,,,POINT (8.4414964 49.0214861),paving_stones,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632562,parking_space,,,,,POINT (8.4415195 49.0215146),paving_stones,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632563,parking_space,,,,,POINT (8.4415427 49.021543),paving_stones,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632564,parking_space,,,,,POINT (8.4415658 49.0215715),paving_stones,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632565,parking_space,,,,,POINT (8.4415889 49.0215999),paving_stones,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632566,parking_space,,,,,POINT (8.441612 49.0216284),paving_stones,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632567,parking_space,,,,,POINT (8.4416351 49.0216568),paving_stones,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761632568,parking_space,,,,,POINT (8.4416583 49.0216853),paving_stones,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6017546857,parking_space,1,,disabled,,POINT (8.4397664 49.0321354),,,private,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6017546864,parking_space,1,,disabled,,POINT (8.4399462 49.0320193),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045332,parking_space,,Sick SVD,,,POINT (8.4421158 49.022574),paving_stones,,private,,,,,,,,,1,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045333,parking_space,1,inovex,disabled,,POINT (8.4416818 49.0220333),paving_stones,,private,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045334,parking_space,,inovex,,,POINT (8.4417035 49.0220603),paving_stones,,private,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045335,parking_space,,inovex,private,,POINT (8.4417252 49.0220873),paving_stones,,private,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045336,parking_space,,inovex,private,,POINT (8.4417469 49.0221144),paving_stones,,private,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045337,parking_space,,inovex,,,POINT (8.4417686 49.0221414),paving_stones,,private,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6019045338,parking_space,,inovex,private,,POINT (8.4417903 49.0221685),paving_stones,,private,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
