osmid,y,x,ref,highway,street_count,geometry
9031508802,49.0081422,8.3231968,,,3,POINT (8.3231968 49.0081422)
9031516225,49.0102802,8.3268263,,,3,POINT (8.3268263 49.0102802)
9031516231,49.0100713,8.3278498,,,1,POINT (8.3278498 49.0100713)
9031516240,49.008069,8.3232626,,,1,POINT (8.3232626 49.008069)
9034063723,49.0594969,8.3219643,,,3,POINT (8.3219643 49.0594969)
9034063724,49.0599121,8.3209944,,,1,POINT (8.3209944 49.0599121)
9034063737,49.0620501,8.3251446,,,1,POINT (8.3251446 49.0620501)
9034558368,49.0132992,8.4317602,,,3,POINT (8.4317602 49.0132992)
9034558371,49.0137575,8.4314454,,,1,POINT (8.4314454 49.0137575)
9035666872,49.0093926,8.3891015,,,1,POINT (8.3891015 49.0093926)
9035666873,49.009754,8.3892896,,,3,POINT (8.3892896 49.009754)
9037347837,49.0119707,8.3334205,,,3,POINT (8.3334205 49.0119707)
9037347845,49.0111359,8.334259,,,1,POINT (8.334259 49.0111359)
9037347847,49.0119636,8.3339316,,,3,POINT (8.3339316 49.0119636)
9037347849,49.012218,8.3339085,,,3,POINT (8.3339085 49.012218)
9037347858,49.0123719,8.3331156,,,1,POINT (8.3331156 49.0123719)
9037347867,49.0119443,8.3348831,,,3,POINT (8.3348831 49.0119443)
9037585158,49.0558441,8.3306598,,,3,POINT (8.3306598 49.0558441)
9037585163,49.055171,8.3322745,,,3,POINT (8.3322745 49.055171)
9040297840,48.9908591,8.3845022,,,1,POINT (8.3845022 48.9908591)
9040297857,48.9912507,8.384183,,,1,POINT (8.384183 48.9912507)
9047807589,49.0657971,8.3679197,,,1,POINT (8.3679197 49.0657971)
9047807590,49.0655731,8.3687712,,,3,POINT (8.3687712 49.0655731)
9047807592,49.0656749,8.3680386,,,1,POINT (8.3680386 49.0656749)
9052676530,49.016992,8.3471406,,,3,POINT (8.3471406 49.016992)
9052676537,49.0166647,8.3482636,,,1,POINT (8.3482636 49.0166647)
9052676538,49.0195922,8.3429902,,,3,POINT (8.3429902 49.0195922)
9052676544,49.0203095,8.3438823,,,1,POINT (8.3438823 49.0203095)
9052676545,49.0172208,8.3442708,,,3,POINT (8.3442708 49.0172208)
9052676552,49.0172066,8.3449397,,,1,POINT (8.3449397 49.0172066)
9052676553,49.0188266,8.3445858,,,3,POINT (8.3445858 49.0188266)
9052676559,49.0182774,8.3444435,,,1,POINT (8.3444435 49.0182774)
9052676560,49.0186129,8.3438742,,,1,POINT (8.3438742 49.0186129)
9052676565,49.01916,8.343891,,,3,POINT (8.343891 49.01916)
9052979699,49.0186453,8.3705773,,,3,POINT (8.3705773 49.0186453)
9053157874,49.024135,8.3543799,,,3,POINT (8.3543799 49.024135)
9053157875,49.0242098,8.3544701,,,1,POINT (8.3544701 49.0242098)
9058096639,49.0111575,8.3157713,,,3,POINT (8.3157713 49.0111575)
9058096652,49.0107829,8.3166029,,,4,POINT (8.3166029 49.0107829)
9058096660,49.0109355,8.3162641,,,3,POINT (8.3162641 49.0109355)
9058164529,49.0180492,8.3201726,,,3,POINT (8.3201726 49.0180492)
9058164537,49.018033,8.320901,,,3,POINT (8.320901 49.018033)
9058164538,49.0187084,8.3192461,,,3,POINT (8.3192461 49.0187084)
9058164543,49.0183176,8.3192305,,,3,POINT (8.3192305 49.0183176)
9058203548,49.0183404,8.3643715,,,1,POINT (8.3643715 49.0183404)
9060545973,48.9888771,8.4493574,,,1,POINT (8.4493574 48.9888771)
9063060409,48.9538843,8.509634,,,1,POINT (8.509634 48.9538843)
9063761863,49.0358665,8.3945476,,,3,POINT (8.3945476 49.0358665)
9063761864,49.0358767,8.3946611,,,1,POINT (8.3946611 49.0358767)
9064080655,49.0331798,8.3938061,,,1,POINT (8.3938061 49.0331798)
9064081081,49.0364827,8.4550063,,,3,POINT (8.4550063 49.0364827)
9064081082,49.0364814,8.4554165,,,3,POINT (8.4554165 49.0364814)
9064081083,49.0363206,8.4554156,,,1,POINT (8.4554156 49.0363206)
9064081084,49.0363215,8.4550055,,,1,POINT (8.4550055 49.0363215)
9064440585,48.9477599,8.4805748,,,1,POINT (8.4805748 48.9477599)
