element_type,osmid,amenity,amperage,authentication:membership_card,bicycle,capacity,fee,motorcar,note,old_ref,opening_hours,operator,payment:enbw_elektronautenkarte,ref,scooter,socket:type2,voltage,geometry,access,authentication:intercharge,operator:wikidata,operator:wikipedia,payment:intercharge,socket:type2:output,description,truck,charging_station:plug,network,socket:schuko,level,socket,lastcheck,authentication:nfc,brand,check_date,payment:app,payment:contactless,short_ref,emergency,fixme,highway,man_made,monitoring:air_quality,monitoring:humidity,monitoring:noise,monitoring:temperature,name,start_date,wifi,layer,capacity:private,not:operator:wikidata,authentication:none,maxstay,parking:fee,manufacturer,model,socket:type2_combo,socket:type2_combo:output,internet_access,internet_access:fee,authentication:website,contact:website,maxheight,maxlength,maxwidth,payment:website,bicycle_parking,covered,motor_vehicle,customers,socket:chademo,email,contact:phone,socket:type2:current,car,socket:chademo:output,motorcycle,payment:cash,reservation,authentication:app,capacity:charging,socket:type2:voltage,socket:type2_combo:current,socket:type2_combo:voltage,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity:wikipedia,brand:wikidata,brand:wikipedia,not:brand:wikidata,short_name,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,website,manufacturer:wikidata,authentication:contactless,charge,payment:chargepoint_card,payment:credit_cards,nodes,orientation,parking:condition,parking:condition:both:maxstay
node,9759420094,charging_station,,,,2,,,,,,Jungheinrich Vertrieb Deutschland AG & Co. KG,,,,,,POINT (8.4743296 49.0331806),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9836354795,charging_station,,,,2,,,,,,EVlink,,,,,,POINT (8.4135468 49.0106179),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schneider Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9836354796,charging_station,,,,2,,,,,,EVlink,,,,,,POINT (8.4135562 49.0106742),private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schneider Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9846587768,charging_station,,yes,,2,yes,yes,,,24/7,EnBW Energie Baden-Württemberg AG,,DE*EBW*E904330,,2,400,POINT (8.3968693 49.0143861),yes,,Q644304,,,150 kW,,,,,,,,,yes,EnBW,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9943289975,charging_station,,,,2,,yes,,,,Mennekes,,,,,,POINT (8.4629806 48.9976112),,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9943289977,charging_station,,,,2,,yes,,,,Alfen,,,,,,POINT (8.4630518 48.9976623),,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10009235747,charging_station,,,,10,yes,,,,,,,,,,,POINT (8.44707 48.993703),private,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,Ladestation KFZ,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10079576350,charging_station,,,,,,,,,,,,,,,,POINT (8.4475647 48.9934352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fahrradladestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10182037510,charging_station,,yes,,2,yes,yes,,,,Eneco eMobility,,,,2,400,POINT (8.4263242 49.0147792),customers,,,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,
node,10237871211,charging_station,,,,2,yes,yes,,,"Mo-Sa 00:00-06:00,18:00-24:00;PH off",Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,,,,2,,POINT (8.4416487 49.0282187),,,,,,,"Ladestation des Fraunhofer Instituts, werktags von 18:00 Uhr bis 06:00 Uhr für externe Elektrofahrzeuge freigegeben.",,,,,,,,yes,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10237871212,charging_station,,,,2,yes,yes,,,"Mo-Sa 00:00-06:00,18:00-24:00;PH off",Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.,,,,2,,POINT (8.4415666 49.0282189),,,,,,,"Ladestation des Fraunhofer Instituts, werktags von 18:00 Uhr bis 06:00 Uhr für externe Elektrofahrzeuge freigegeben.",,,,,,,,yes,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10664982465,charging_station,,,no,2,yes,yes,,,06:00-22:00,ALDI Süd,,,,1,,POINT (8.3852245 48.9938601),yes,,Q41171672,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,150 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,
node,10825071354,charging_station,,,yes,,,,,,,IKEA Deutschland GmbH & Co. KG,,,yes,,,POINT (8.4393517 49.0052045),private,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10911448083,charging_station,,,,2,,,,,,,,,,,,POINT (8.4887832 48.9445831),customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1151646807,charging_station,,,,2,yes,,,,,EnBW Energie Baden-Württemberg AG,,,,,,"POLYGON ((8.4012983 48.9847034, 8.4014197 48.984715, 8.4014101 48.9847581, 8.4012887 48.9847465, 8.4012983 48.9847034))",yes,,Q644304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,150 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1338500789, 9823754486, 10713281428, 1338500787, 1338500789]",perpendicular,disc,4 h
way,1152558092,charging_station,,,,2,,,,,,EnBW Energie Baden-Württemberg AG,,,,1,,"POLYGON ((8.4731856 49.0011828, 8.4731887 49.0011359, 8.4732637 49.001138, 8.4732605 49.001185, 8.4731856 49.0011828))",yes,,Q644304,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,150 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[10720170607, 10720170608, 10720170609, 10720170610, 10720170607]",,,
