element_type,osmid,geometry,name,wheelchair,amenity,check_date,operator,ref,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,note,wheelchair:description,fixme,man_made,surveillance,description,brand,opening_hours,parking,nodes,building,building:levels,owner,roof:levels,source:geometry,start_date,building:use,disused:leisure,old_name,roof:shape,brand:wikidata,brand:wikipedia,building:facade:material,check_date:opening_hours,height,shop,source:outline,addr:housename,architect,heritage,office,seamark:building:function,seamark:name,seamark:type,nohousenumber,disused:amenity,indoor_seating,outdoor_seating,takeaway,source,fast_food,roof:material,roof:orientation,building:material,roof:height,last_renovation,building:colour,contact:email,contact:fax,contact:phone,contact:website,payment:cash,payment:girocard,payment:maestro,repair,second_hand,roof:colour,phone,website,lastcheck,addr:source,smoking,email,fax,source:addr,loc_name,heritage:operator,ref:lda,layer,location,historic,access:parking,alt_name,short_name,start_date:description,wikidata,craft,noaddress,healthcare,construction:start_date,disused:building,addr:subdistrict,cuisine,toilets:wheelchair,automated,self_service,diet:vegan,diet:vegetarian,drive_through,internet_access,internet_access:fee,old_operator,ref:note,source:height,operator:type,generator:output:electricity,generator:source,building:min_level,disused:name,contact:mobile,min_height,source:min_height,disused:shop,brewery,min_age,opening_hours:signed,payment:credit_cards,payment:debit_cards,roof:direction,construction,opening_date,ways,type
way,104994937,"POLYGON ((8.4472423 48.9910144, 8.4472131 48.9909306, 8.447296 48.9909182, 8.4473251 48.991002, 8.4472423 48.9910144))",,,,,,,,,,,,,,,,,,,,,,"[1210499704, 1210500292, 1210500150, 1210499674, 1210499704]",commercial,2,,0,,,,,,,,,,,,,"Maps4BW (LGL-BW, www.lgl-bw.de)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104994960,"POLYGON ((8.4453336 48.9912749, 8.4452672 48.9910897, 8.445557 48.991045, 8.445573 48.9910895, 8.4456234 48.9912301, 8.4453336 48.9912749))",,,,,,,,,,,,,,,,,,,,,,"[1210499840, 1210499958, 1210500328, 1210499835, 1210499657, 1210499840]",commercial,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,LA-KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105025071,"POLYGON ((8.4040568 48.9989576, 8.4041098 48.9989669, 8.4041279 48.99897, 8.4041433 48.998932, 8.4041917 48.9988126, 8.403946 48.9987697, 8.4038976 48.9988892, 8.4039337 48.9988955, 8.4039183 48.9989334, 8.4040454 48.9989556, 8.4040568 48.9989576))",,,,,,,Karlsruhe,DE,27,,Ettlinger Straße,,,,,,,,,,,"[1210794842, 7683343983, 1210794754, 7076364023, 1210793138, 1210794263, 1210795278, 1210794639, 1210793523, 7076364021, 1210794842]",commercial,8,,0,"Maps4BW, LGL, www.lgl-bw.de",,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105198177,"POLYGON ((8.4433735 49.0072402, 8.4433118 49.0070978, 8.4437097 49.0070236, 8.4437508 49.0070159, 8.44377 49.0070601, 8.4437289 49.0070678, 8.4437849 49.0071969, 8.4434112 49.0072666, 8.4433735 49.0072402))",,,,,Graf Hardenberg GmbH,,Karlsruhe,,11,76137,Am Großmarkt,,"Das EG wurde zum Nfz-Zentrum umgebaut, die drei oben liegenden Etagen sind weiterhin Parkdecks des AZ (Stand: 12-06-2021)",,,,,,,,multi-storey,"[3791140296, 1212247157, 7745081875, 1212247406, 3791140293, 3791140294, 8232351076, 8232351072, 3791140296]",commercial,4,,,"Maps4BW (LGL-BW, www.lgl-bw.de)",2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,105258357,"POLYGON ((8.4520475 49.0051073, 8.4514027 49.0052202, 8.4514163 49.0052536, 8.4514348 49.005299, 8.4514489 49.0053338, 8.4514568 49.0053531, 8.451462 49.0053659, 8.4514959 49.0054494, 8.4521408 49.0053365, 8.452103 49.0052438, 8.4520796 49.0051861, 8.4520626 49.0051443, 8.4520475 49.0051073))",,,,,,,,,,,,,,,,,,,,,,"[4185415181, 4185415183, 1213003377, 4023539899, 4278829853, 1213003336, 9521718429, 1213000178, 1213000187, 1213003354, 4250167693, 1213003344, 4185415181]",commercial,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106143138,"POLYGON ((8.4783854 48.9926087, 8.4782932 48.9927042, 8.4785982 48.9928308, 8.4786903 48.9927353, 8.4783854 48.9926087))",,,,,,,Karlsruhe,DE,30,76227,Bergwaldstraße,Durlach,,,,,,,,,,"[1222090833, 1222090419, 1222090181, 1222090803, 1222090833]",commercial,,,,,,,,,,,,,,,,"Maps4BW (LGL-BW, wwwlgl-bw.de)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106256916,"POLYGON ((8.4447345 48.9951109, 8.4456818 48.994943, 8.4456594 48.9948885, 8.445645 48.9948537, 8.4455527 48.9946295, 8.4454816 48.9944569, 8.4450916 48.994526, 8.445131 48.9946217, 8.4451375 48.9946376, 8.444893 48.994681, 8.444703 48.9947146, 8.4445803 48.9947364, 8.4447345 48.9951109))",Atruvia AG,,,,,,Karlsruhe,DE,4,76227,Dieselstraße,Durlach,,,,,,,,,,"[1223069944, 1223069948, 3147926835, 3147926833, 3124265957, 1223069959, 1223069935, 3147946382, 1223069931, 3124265959, 3124265960, 1223069967, 1223069944]",commercial,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106256919,"POLYGON ((8.4435326 48.9940637, 8.44382 48.9940211, 8.4438388 48.9940757, 8.4440826 48.9940395, 8.4439634 48.9936938, 8.4439533 48.9936647, 8.4437186 48.9936995, 8.4437062 48.9936634, 8.4434098 48.9937074, 8.443455 48.9938056, 8.4433546 48.9938262, 8.4434341 48.9940401, 8.4435302 48.994025, 8.4435326 48.9940637))",Atruvia AG,,,,,2,Karlsruhe,DE,1,76227,Dieselstraße,Durlach,,,,,,Gebäude 2,,,,"[1223069933, 1223069962, 1223069950, 1223069941, 3077457302, 1223069958, 1223069956, 1223069939, 1223069971, 3395816633, 3395816634, 3395816636, 3395816635, 1223069933]",commercial,4,,0,,,,,,,,,,,,,,Gebäude 2,,,it,,,,,,,,,knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106290188,"POLYGON ((8.4439477 48.9945361, 8.4441155 48.9949822, 8.4433726 48.9951081, 8.4433349 48.9950058, 8.4439108 48.9949039, 8.4437719 48.994566, 8.4439477 48.9945361))",Atruvia AG,,,,,3,Karlsruhe,DE,3a,76227,Dieselstraße,Durlach,,,,,,Gebäude 3,,,,"[1223321641, 1223321722, 1223321717, 1223321706, 1223321650, 1223321793, 1223321641]",commercial,2,,,,,,,,,,,,,,,,,,,it,,,,,,,,,knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106492308,"POLYGON ((8.4444688 49.0097993, 8.4447282 49.0096556, 8.4446116 49.0095651, 8.4443523 49.0097088, 8.4444688 49.0097993))",,,,,,,Karlsruhe,DE,18,76131,Weinweg,Rintheim,,,,,,,,,,"[1225082650, 1225082906, 1225083135, 1225082973, 1225082650]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106492343,"POLYGON ((8.4438552 49.010221, 8.4441487 49.0100555, 8.4440191 49.0099566, 8.4440734 49.009926, 8.4440275 49.0098909, 8.4439732 49.0099215, 8.4439689 49.0099183, 8.4436754 49.0100837, 8.4437655 49.0101525, 8.443748 49.0101623, 8.4437881 49.0101929, 8.4437395 49.0102202, 8.4438019 49.0102679, 8.443868 49.0102307, 8.4438552 49.010221))",,,,,,,Karlsruhe,DE,17,76131,Heinrich-Wittmann-Straße,Rintheim,,,,,,,,,,"[1225083119, 1225082964, 4291160900, 4291160899, 1225082838, 6124736245, 6124736246, 1225083058, 4291160901, 4291160902, 4291160903, 4291160904, 4291160906, 4291160905, 1225083119]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,metal,,,#BBBBBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106746426,"POLYGON ((8.4447161 49.0091533, 8.4447384 49.0091404, 8.4447589 49.0091285, 8.4447893 49.0091128, 8.4447077 49.0090494, 8.4446745 49.0090677, 8.4446623 49.0090745, 8.4446345 49.0090899, 8.4447161 49.0091533))",,,,,,,,,,,,,,,,,,,,,,"[1227747042, 9182448944, 9182448930, 1227746867, 1227747231, 9182448939, 9182448945, 1227747239, 1227747042]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106746442,"POLYGON ((8.4450131 49.0093842, 8.4451166 49.0093269, 8.4450223 49.0092536, 8.4450162 49.009257, 8.4449717 49.0092223, 8.4449624 49.0092275, 8.4449404 49.0092104, 8.4448523 49.0092592, 8.4450131 49.0093842))",,,,,,,Karlsruhe,DE,33,76131,Weinweg,,,,,,,,,,,"[1227747023, 1227746915, 6254644709, 6254644710, 6254644711, 6254644712, 1227747116, 1227747387, 1227747023]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sv-struck.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107108973,"POLYGON ((8.4039365 49.0062021, 8.4038519 49.0062057, 8.4038508 49.0061944, 8.4037331 49.0061995, 8.4037634 49.0065013, 8.4037745 49.0065009, 8.4039361 49.0064939, 8.4039656 49.0064926, 8.4039365 49.0062021))",,,,,,,Karlsruhe,DE,25,76133,Karl-Friedrich-Straße,,,,,,,,,,,"[1231508987, 1248748473, 1248748465, 1231508745, 1248748467, 1231508815, 1231508864, 7997798776, 1231508987]",commercial,4,,2,,,,,,hipped,,,,,,,,,,,,,,,,,,,,LA-KA,,,,,,,,,,,,,,,,,#666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107108991,"POLYGON ((8.4042714 49.0068612, 8.404295 49.0067992, 8.4042808 49.0067969, 8.4042595 49.00678, 8.4042764 49.0067709, 8.4042272 49.0067318, 8.4040045 49.0065553, 8.4039539 49.0065152, 8.4039371 49.0065018, 8.4039361 49.0064939, 8.4037745 49.0065009, 8.4037793 49.0065484, 8.4037297 49.0065505, 8.4037403 49.0066556, 8.4037789 49.0066666, 8.4038151 49.0066807, 8.4038482 49.0066977, 8.4037988 49.0067251, 8.4039393 49.0068342, 8.4039888 49.0068068, 8.4040001 49.0068269, 8.4040086 49.0068475, 8.4040144 49.0068685, 8.4040172 49.0068897, 8.4041659 49.0069141, 8.4041911 49.0068481, 8.4042714 49.0068612))",Markgräflich-Hochbergsches Palais,,,,,,Karlsruhe,DE,23,76133,Karl-Friedrich-Straße,,,,,,,,,,,"[1231509019, 1231509037, 7997798774, 1231508850, 1231509041, 1248748470, 1248748469, 7997798766, 7997798775, 1231508864, 1231508815, 1231508670, 1231508994, 1231508884, 7997798770, 7997798769, 1231509044, 1231508756, 1231509178, 1231508704, 7997798773, 7997798772, 7997798771, 1231508843, 1231509165, 1231508914, 1231509019]",commercial,2.5,,,"Maps4BW, LGL, www.lgl-bw.de",1960,,,,,,,,,,,,,Friedrich Weinbrenner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markgräfliches Palais,Markgräfliches Palais,"Ursprünglich 1814, im Zweiten Weltkrieg zerstört und 1960 nach Vorbild des Originals wiederaufgebaut",Q15834047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107909769,"POLYGON ((8.444388 49.0074492, 8.444352 49.007456, 8.444316 49.0074628, 8.4442849 49.0074687, 8.4442801 49.0074696, 8.4442279 49.0073498, 8.4441162 49.0070937, 8.4442904 49.0071062, 8.4443461 49.0071102, 8.4444019 49.0071141, 8.4445134 49.0071221, 8.4444613 49.0074363, 8.4443909 49.0074313, 8.444388 49.0074492))",,,,,,,,,,,,,,,,,,,,,,"[6254644896, 1478836953, 4718761377, 6254644894, 1239263975, 6254644891, 1239263979, 7041905037, 1239263964, 7041905038, 1239263968, 1239263973, 6254644895, 6254644896]",commercial,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107909774,"POLYGON ((8.4430301 49.0069735, 8.4429527 49.0067963, 8.442929 49.0068008, 8.4428677 49.0066605, 8.4428901 49.0066563, 8.4428731 49.0066173, 8.4431542 49.0065646, 8.443212 49.0066971, 8.4432477 49.0067788, 8.4430797 49.0068104, 8.4431526 49.0069775, 8.4430604 49.0069948, 8.4430301 49.0069735))",,limited,,,Graf Hardenberg GmbH,,,,,,,,,,,,,,,,,"[1239263965, 1239263978, 1239263947, 1239263981, 1239263942, 1239263959, 1179196741, 1179196692, 1239263956, 1239263980, 1239263933, 3791140292, 1239263965]",commercial,,,,"Maps4BW (LGL-BW, www.lgl-bw.de)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107909776,"POLYGON ((8.4442217 49.0069217, 8.4440594 49.0065465, 8.443935 49.0065696, 8.443892 49.0065776, 8.4439265 49.0066575, 8.4440543 49.0069529, 8.4442217 49.0069217))",,,,,,,Karlsruhe,DE,10,76137,Am Großmarkt,Rintheim,,,,,,,,,,"[1239263974, 1239263976, 6254644886, 1239263972, 7235319103, 1239263971, 1239263974]",commercial,2,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
