,geometry,population
20,"POLYGON ((7.6542845790360134 49.42790283847498, 7.654324075976339 49.426459022411144, 7.6534639 49.42620759999999, 7.652406100000001 49.4260437, 7.652072100000001 49.42631759999999, 7.6518542 49.42649359999999, 7.6518602 49.426737599999996, 7.651804200000001 49.42687159999999, 7.6515602 49.4274545, 7.651475200000001 49.427660499999995, 7.6512720863548385 49.42786773736551, 7.6542845790360134 49.42790283847498))",3.666325081816543
21,"POLYGON ((7.65376248842789 49.44697701195355, 7.6549878000000025 49.44684789999999, 7.6556386 49.4467074, 7.6573903 49.4465324, 7.658211200000001 49.4465054, 7.660527044226931 49.44681949414313, 7.660556062212306 49.445754517918914, 7.653798115757943 49.44567604032994, 7.65376248842789 49.44697701195355))",0.0
22,"POLYGON ((7.660556062212306 49.445754517918914, 7.660677112813794 49.441311210697066, 7.6539197766521285 49.44123274534612, 7.653798115757943 49.44567604032994, 7.660556062212306 49.445754517918914))",3.666325081816544
23,"POLYGON ((7.660677112813794 49.441311210697066, 7.660798133509759 49.43686789982412, 7.654041407490139 49.43678944670902, 7.6539197766521285 49.44123274534612, 7.660677112813794 49.441311210697066))",3.6663250818165434
24,"POLYGON ((7.660798133509759 49.43686789982412, 7.660919124309746 49.43242458530012, 7.654163008281571 49.43234614441865, 7.654041407490139 49.43678944670902, 7.660798133509759 49.43686789982412))",3.666325081816543
25,"POLYGON ((7.660919124309746 49.43242458530012, 7.6610400852233 49.427981267125, 7.6542845790360134 49.42790283847498, 7.654163008281571 49.43234614441865, 7.660919124309746 49.43242458530012))",3.6663250818165443
26,"POLYGON ((7.6610400852233 49.427981267125, 7.661072279111826 49.42679848721537, 7.6607959 49.4270846, 7.6594361000000015 49.42694359999999, 7.6588662 49.427786499999996, 7.654324075976339 49.426459022411144, 7.6542845790360134 49.42790283847498, 7.6610400852233 49.427981267125))",3.666325081816544
27,"POLYGON ((7.660527044226931 49.44681949414313, 7.6646562000000005 49.4473794, 7.6660501 49.4476443, 7.667253034881559 49.44808272889585, 7.66731403808587 49.4458326007192, 7.660556062212306 49.445754517918914, 7.660527044226931 49.44681949414313))",0.0
28,"POLYGON ((7.66731403808587 49.4458326007192, 7.667434478385269 49.441389281320824, 7.660677112813794 49.441311210697066, 7.660556062212306 49.445754517918914, 7.66731403808587 49.4458326007192))",3.666325081816544
29,"POLYGON ((7.667434478385269 49.441389281320824, 7.6675548889298 49.43694595827357, 7.660798133509759 49.43686789982412, 7.660677112813794 49.441311210697066, 7.667434478385269 49.441389281320824))",3.666325081816544
30,"POLYGON ((7.6675548889298 49.43694595827357, 7.667675269728961 49.432502631577414, 7.660919124309746 49.43242458530012, 7.660798133509759 49.43686789982412, 7.6675548889298 49.43694595827357))",3.6663250818165434
31,"POLYGON ((7.667675269728961 49.432502631577414, 7.667795620792247 49.428059301232345, 7.6610400852233 49.427981267125, 7.660919124309746 49.43242458530012, 7.667675269728961 49.432502631577414))",3.6663250818165447
32,"POLYGON ((7.667795620792247 49.428059301232345, 7.667915942129148 49.423615967238334, 7.664409491722943 49.42357551569536, 7.6631556 49.425230799999994, 7.662948700000001 49.42543349999999, 7.662357700000002 49.42601269999999, 7.6620257 49.4259247, 7.6617608 49.426085699999994, 7.661072279111826 49.42679848721537, 7.6610400852233 49.427981267125, 7.667795620792247 49.428059301232345))",3.666325081816544
