element_type,osmid,operator,geometry,amenity,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,nodes,building,building:levels,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,name,opening_hours,roof:levels,roof:shape,shop,toilets:wheelchair,wheelchair:description,survey:date,check_date,disused:shop,old_name,internet_access,toilets,roof:height,source,building:colour,roof:colour,contact:email,contact:phone,contact:website,addr:suburb,cuisine,indoor_seating,internet_access:fee,outdoor_seating,payment:american_express,payment:cash,payment:contactless,payment:cryptocurrencies,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:v_pay,payment:visa,smoking,source:date,takeaway,nohousenumber,wikidata,wikipedia,roof:orientation,building:roof,diet:vegan,diet:vegetarian,layer,contact:fax,height,automated,self_service,start_date,website,location,fixme
way,128533920,,"POLYGON ((6.6405496 49.7575448, 6.6406184 49.7575807, 6.6405871 49.7576234, 6.6405951 49.757632, 6.6405522 49.7576693, 6.6405616 49.7576771, 6.6405254 49.7577161, 6.6405348 49.757723, 6.6404865 49.757775, 6.6404624 49.7577967, 6.6404084 49.757837, 6.6403282 49.7577813, 6.6402269 49.757722, 6.6401866 49.7576766, 6.6402335 49.7576574, 6.6403527 49.7576086, 6.6404215 49.7575805, 6.640499 49.7575238, 6.640541 49.7575519, 6.6405496 49.7575448))",,,,,,,,"[1420263034, 4519571518, 3754331356, 4519571167, 4519571168, 4519571169, 4519571170, 4519571171, 4519571172, 4519571173, 4519571174, 1420263114, 1417402063, 1417402053, 1417402045, 4584220819, 3326073903, 4584220786, 4584220785, 1420263034]",retail,4,,,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128534176,,"POLYGON ((6.6418364 49.7570643, 6.6419096 49.7571776, 6.641783 49.7572041, 6.6417056 49.7570857, 6.6418364 49.7570643))",,Trier,DE,35,54290,Simeonstraße,,"[1420268487, 1420268497, 1420268500, 1420268493, 1420268487]",retail,4,,,,,,,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128555125,,"POLYGON ((6.6422108 49.7575767, 6.6422931 49.7575948, 6.6423355 49.7574626, 6.6422637 49.7574472, 6.642257 49.7574619, 6.6422108 49.7575767))",,Trier,DE,18,54290,Glockenstraße,,"[1420429166, 1420429168, 1420429137, 1420429134, 1420429141, 1420429166]",retail,4,,,,,,,,mansard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128555140,,"POLYGON ((6.6425037 49.7577008, 6.6424544 49.7577047, 6.6423618 49.7577201, 6.642354 49.7577423, 6.6424117 49.7577995, 6.6425322 49.7577639, 6.6425037 49.7577008))",,Trier,DE,27,54290,Simeonstraße,,"[1420429185, 1420429188, 1420429191, 1420429194, 1420429205, 1420429196, 1420429185]",retail,3,,,,,,,1,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128650765,,"POLYGON ((6.643454 49.758873, 6.6435514 49.7589324, 6.6437151 49.7588621, 6.6436166 49.7587934, 6.6435591 49.7588216, 6.643454 49.758873))",,Trier,DE,11,54290,Simeonstraße,,"[1421203918, 1421203950, 1421203912, 4988341344, 1421203899, 1421203918]",retail,4,,,,,,,2,mansard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,across,,,,,,,,,,,,
way,128657878,,"POLYGON ((6.6417006 49.7566066, 6.6415904 49.7566342, 6.6415496 49.7565803, 6.6416522 49.7565457, 6.6417006 49.7566066))",,Trier,DE,7,54290,Sternstraße,,"[1421259471, 1421259474, 1421259469, 1421259448, 1421259471]",retail,3,,,,,,,2,mansard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,across,,,,,,,,,,,,
way,128657904,,"POLYGON ((6.6417964 49.7567762, 6.6416553 49.7568121, 6.6416263 49.7567645, 6.6415937 49.7567111, 6.6417347 49.7566752, 6.6417964 49.7567762))",,Trier,DE,3a,54290,Hauptmarkt,,"[6818000254, 1420268465, 6871078458, 1421259493, 6818000255, 6818000254]",retail,2,,,,,,,2,mansard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128887906,,"POLYGON ((6.6441395 49.7593002, 6.6443459 49.759366, 6.6444373 49.7592677, 6.6444453 49.7592477, 6.6444263 49.7592249, 6.6444558 49.7592104, 6.6444081 49.7591648, 6.644318 49.7592055, 6.6442541 49.759236, 6.6442102 49.7592556, 6.6442203 49.7592646, 6.6441395 49.7593002))",,Trier,DE,2,54290,Simeonstraße,,"[1423078403, 1423078421, 1423078388, 1423078390, 4988341323, 1423078377, 1423078358, 1423078369, 1423078384, 4988341342, 4988341341, 1423078403]",retail,3,,,,,,,2,mansard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129496573,,"POLYGON ((6.6416249 49.7563881, 6.6414781 49.75644, 6.6413952 49.7563034, 6.6415526 49.7562651, 6.6417205 49.7562252, 6.6417755 49.7563037, 6.6416595 49.756334, 6.6416048 49.7563509, 6.6416249 49.7563881))",,Trier,DE,6,54290,Hauptmarkt,,"[1421259361, 1428659602, 1427383108, 1421259309, 1421259305, 1421259318, 1421259338, 1421259343, 1421259361]",retail,3,,,,,,,2,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,130421725,,"POLYGON ((6.6392291 49.7599737, 6.6391953 49.7599638, 6.6390764 49.759929, 6.6388935 49.7602088, 6.6390413 49.7602598, 6.6392291 49.7599737))",,Trier,DE,21;22,54290,Bruchhausenstraße,,"[1436516856, 4632201672, 1436516844, 1436516935, 1436516937, 1436516856]",retail,4,,,,,,,2,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
