u,v,key,osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,width,access,service,bridge,junction,tunnel
10602555,6116612738,0,"[652447592, 652447591]",False,,,service,False,93.573,,"LINESTRING (6.6530669 49.7604886, 6.6531764 49.7604542, 6.6532356 49.7604375, 6.6533536 49.7604168, 6.654035 49.7600256, 6.6540966 49.7599902)",,,customers,,,,
10602558,10602555,0,10565112,False,2,In der Reichsabtei,secondary,True,79.252,50,"LINESTRING (6.6527584 49.7598043, 6.6530669 49.7604886)",L 145,,,,,,
10602558,91412562,0,10565112,False,2,In der Reichsabtei,secondary,False,136.016,50,"LINESTRING (6.6527584 49.7598043, 6.6526906 49.7596663, 6.6526294 49.759551, 6.6526195 49.7595306, 6.6525138 49.7593886, 6.6524041 49.7592798, 6.6522816 49.7591799, 6.6521269 49.7590866, 6.6520313 49.7590478, 6.6519873 49.75903, 6.6518717 49.7589896, 6.6516066 49.7589023)",L 145,,,,,,
10602558,1403856694,0,126700202,False,,,service,True,50.299,,"LINESTRING (6.6527584 49.7598043, 6.6531145 49.7596585, 6.6533499 49.7595622)",,,,driveway,,,
10602644,343599412,0,48345838,True,2,,secondary,False,16.963,50,"LINESTRING (6.6492473 49.7580805, 6.6491906 49.7580084, 6.6491697 49.757938)",L 145,,,,,,
10602644,343599680,0,48345839,True,2,Theodor-Heuss-Allee,secondary,False,27.218,50,"LINESTRING (6.6492473 49.7580805, 6.6492149 49.7580924, 6.6490988 49.7581373, 6.6489271 49.7582112)",,,,,,,
10602703,10602723,0,48964066,False,2,,secondary_link,True,11.357,50,"LINESTRING (6.6447311 49.7598846, 6.6447209 49.7598276, 6.6447074 49.7597837)",,,,,,,
10602703,5225166603,0,"[9362856, 625753456, 1112368247, 490066103]",True,3,Nordallee,secondary,False,106.158,50,"LINESTRING (6.6447311 49.7598846, 6.6446688 49.7599103, 6.6446193 49.7599284, 6.6445058 49.7599711, 6.6443478 49.7600297, 6.6439232 49.760167, 6.6438634 49.7601844, 6.6434185 49.7603218)",,,,,,,
10602703,4509086511,0,"[972288963, 6073348, 343376110]",False,"['2', '3']",Paulinstraße,residential,False,73.899,30,"LINESTRING (6.6447311 49.7598846, 6.644764 49.7599577, 6.6447967 49.7599894, 6.6448057 49.7599988, 6.6448337 49.7600225, 6.6452969 49.7603445, 6.6453653 49.7603987)",,,,,,,
10602723,20909565,0,44129316,True,2,Christophstraße,secondary,False,60.837,50,"LINESTRING (6.6447074 49.7597837, 6.644824 49.7597169, 6.6452935 49.7593893)",,,,,,,
10602723,10602703,0,48964066,False,2,,secondary_link,False,11.357,50,"LINESTRING (6.6447074 49.7597837, 6.6447209 49.7598276, 6.6447311 49.7598846)",,,,,,,
20833713,20833718,0,153416368,False,,Sickingenstraße,residential,False,210.57400000000004,30,"LINESTRING (6.651352 49.748487, 6.6515704 49.7486198, 6.6519358 49.748814, 6.6526657 49.7491914, 6.652836 49.7492772, 6.6530603 49.7494107, 6.6532187 49.7495453, 6.6533611 49.7496603, 6.6534621 49.7496921, 6.653562 49.7496964)",,,,,,,
