element_type,osmid,barrier,geometry,created_by,amenity,parking,wheelchair,access,name,private,capacity,layer,source,level,maxheight,fee,surface,toilets:wheelchair,check_date,ref,park_ride,supervised,operator,addr:city,addr:housenumber,addr:street,maxstay,lit,opening_hours,smoothness,motorcar,description,capacity:disabled,nodes,building,building:levels,roof:shape,fixme,capacity:tourist_bus,tourist_bus,hgv,operator:type,capacity:women,toilets,toilets:access,addr:country,addr:postcode,fee:conditional,building:material,roof:levels,maxweight,motorcycle,capacity:parent,maxstay:conditional,tunnel,access:conditional,orientation,landuse,check_date:fee,payment:cash,payment:credit_cards,payment:debit_cards,parking:orientation,ways,type
way,31574450,,"POLYGON ((6.624433 49.7401043, 6.6252797 49.7399729, 6.6252891 49.7394209, 6.6248292 49.7394327, 6.6247665 49.7394362, 6.6247594 49.7395755, 6.6245749 49.7398583, 6.6243975 49.7399821, 6.624433 49.7401043))",,parking,surface,,,Moselauen,,,,,,,,,,,,,,,,,,,,,,,,,"[353301892, 353301895, 353301898, 4187088361, 353301901, 353301904, 353301908, 353301911, 353301892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31660536,,"POLYGON ((6.6416055 49.7298882, 6.6415 49.7295562, 6.6423913 49.7294123, 6.6425272 49.729774, 6.6416055 49.7298882))",,parking,surface,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,"[354375646, 354375649, 354375652, 321988132, 354375646]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31660537,,"POLYGON ((6.6429716 49.7295963, 6.6429258 49.72947, 6.6428804 49.7293742, 6.6428159 49.7293203, 6.643146 49.7292469, 6.6435014 49.7291807, 6.6436241 49.729372, 6.6437161 49.7295206, 6.6437093 49.7295463, 6.6436502 49.7295524, 6.6435762 49.7295599, 6.643574 49.7295304, 6.6431199 49.7295767, 6.6430488 49.729584, 6.6429716 49.7295963))",,parking,surface,yes,customers,,,,,,,,no,,,,,,,,,,,,,,,,,,"[354375657, 1722582161, 1722582156, 354375662, 1722582148, 354375667, 1722603803, 1722582162, 1722582165, 1722582166, 1722582173, 1722582163, 1722582180, 1722582183, 354375657]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31660538,,"POLYGON ((6.6425434 49.7292915, 6.6425182 49.7292438, 6.6427775 49.7291407, 6.6432199 49.7288261, 6.643372 49.7284394, 6.6434134 49.7284425, 6.6432466 49.728979, 6.643198 49.7290258, 6.6431361 49.7290725, 6.6430608 49.7291303, 6.6429461 49.729191, 6.6428257 49.7292355, 6.6426893 49.7292686, 6.6425434 49.7292915))",,parking,surface,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,"[354375674, 354375676, 1722582137, 354375681, 354375688, 354375692, 354375695, 1722582127, 1722582130, 354375698, 1722582142, 354375700, 1722582150, 354375674]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31660539,,"POLYGON ((6.6433999 49.7278157, 6.643428 49.7275453, 6.6433243 49.7272153, 6.6434979 49.7271653, 6.6435544 49.7272614, 6.6435996 49.7274372, 6.6436076 49.727612, 6.643544 49.7278323, 6.6433999 49.7278157))",,parking,street_side,,yes,,,,,,,,no,,,,,,,,,,,,,,,,,,"[354375708, 354375710, 314737593, 311998127, 354375722, 1722616299, 354375726, 354375729, 354375708]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31660540,,"POLYGON ((6.6446384 49.7279584, 6.6450307 49.727766, 6.6453217 49.7280187, 6.6450065 49.728165, 6.6446384 49.7279584))",,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[354375734, 354375738, 354375746, 354375753, 354375734]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31660632,,"POLYGON ((6.6423586 49.7426935, 6.6425829 49.7425219, 6.6429275 49.7423719, 6.6429557 49.7423596, 6.6429736 49.7423761, 6.6429985 49.7423703, 6.6431599 49.7424115, 6.6431493 49.7424285, 6.6431612 49.7424316, 6.6431421 49.7424621, 6.6433968 49.7425292, 6.643415 49.7425001, 6.6439218 49.7426334, 6.6440584 49.7426788, 6.6437481 49.7429441, 6.6434329 49.7427811, 6.6433612 49.7427461, 6.6429853 49.7430391, 6.6423586 49.7426935))",,parking,surface,yes,customers,,,,,,,,no,,,,,,,,,,,,,,,,,,"[354380424, 1721676296, 10788314071, 1721676175, 1721676196, 354380427, 1721654743, 358384462, 1721654745, 1721654746, 1721654749, 1721654747, 358384459, 354380434, 358384469, 10788314068, 10788314062, 354380446, 354380424]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31660633,,"POLYGON ((6.6358425 49.749279, 6.6358325 49.7492514, 6.6357711 49.749082, 6.6356318 49.7491048, 6.6354602 49.749133, 6.6354262 49.7490481, 6.6355297 49.7490303, 6.6353686 49.7486884, 6.6351058 49.7487358, 6.6350503 49.748619, 6.6353649 49.748557, 6.6354284 49.7486905, 6.6354389 49.7487125, 6.635671 49.7486723, 6.6356585 49.7486462, 6.6359249 49.7485955, 6.6360401 49.748843, 6.6361127 49.7489964, 6.6359969 49.7491124, 6.6360019 49.7491385, 6.6360734 49.7492752, 6.6360813 49.7492938, 6.6359482 49.749306, 6.6359352 49.7492678, 6.6358425 49.749279))",,parking,surface,yes,customers,,,,,,,,no,,,,,no,,,,,,,,,,,Client Parking bastelstube und Biomarkt,yes,"[354380458, 4176370859, 602087026, 4176370860, 602087013, 4095955649, 4095955648, 354380461, 2681960513, 2681960505, 2681960503, 2681960511, 2681960512, 2681960510, 2681960507, 354380465, 4581120992, 354380467, 602087025, 1727778321, 1727778353, 602087027, 1436183873, 1436183870, 354380458]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31681149,,"POLYGON ((6.6293786 49.7511011, 6.6291802 49.7511287, 6.6290764 49.7509033, 6.6291647 49.7508911, 6.6291933 49.7508871, 6.6292192 49.7508835, 6.6293226 49.7508692, 6.6293786 49.7511011))",,parking,surface,,yes,,,25,,,,,yes,,,,,,,,,,,,,,,,,,"[206256831, 206256829, 4621874669, 4621874828, 330171337, 4621874829, 354615480, 206256831]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32133992,,"POLYGON ((6.6309422 49.7388448, 6.6306791 49.7384867, 6.6306611 49.7384623, 6.6306424 49.7384368, 6.6306288 49.7384182, 6.6306125 49.738396, 6.6305943 49.7383713, 6.6305332 49.7383904, 6.6304453 49.7384206, 6.6299839 49.7385794, 6.6300146 49.7386127, 6.6304162 49.7389915, 6.6309422 49.7388448))",,parking,surface,yes,yes,Abteiplatz,,,,,,,yes,asphalt,,,,,,,,,,,,,,,,,"[360722016, 10859802925, 10859802923, 10859802920, 10859802918, 8494237476, 360722021, 10859802919, 10859802938, 360722024, 360722039, 360722027, 360722016]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
