element_type,osmid,amenity,capacity,check_date,geometry,parking_space,nodes,parking
way,974356904,parking_space,,,"POLYGON ((6.6751422 49.7483729, 6.6751118 49.7483577, 6.67507 49.7483913, 6.6751001 49.7484063, 6.6751422 49.7483729))",,"[9017324168, 9017324166, 9017324165, 9017324167, 9017324168]",
way,974356905,parking_space,,,"POLYGON ((6.6751727 49.748388, 6.6751422 49.7483729, 6.6751001 49.7484063, 6.6751302 49.7484214, 6.6751727 49.748388))",,"[9017324170, 9017324168, 9017324167, 9017324169, 9017324170]",
way,974356906,parking_space,,,"POLYGON ((6.6752019 49.7484041, 6.6751727 49.748388, 6.6751302 49.7484214, 6.6751597 49.7484369, 6.6752019 49.7484041))",,"[9017324172, 9017324170, 9017324169, 9017324171, 9017324172]",
way,974356907,parking_space,,,"POLYGON ((6.6752304 49.7484207, 6.6752019 49.7484041, 6.6751597 49.7484369, 6.675188 49.7484535, 6.6752304 49.7484207))",,"[9017324174, 9017324172, 9017324171, 9017324173, 9017324174]",
way,974356908,parking_space,,,"POLYGON ((6.6752592 49.7484379, 6.6752304 49.7484207, 6.675188 49.7484535, 6.6752154 49.7484698, 6.6752592 49.7484379))",,"[9017324176, 9017324174, 9017324173, 9017324175, 9017324176]",
way,974356909,parking_space,,,"POLYGON ((6.6752878 49.7484544, 6.6752592 49.7484379, 6.6752154 49.7484698, 6.6752439 49.7484862, 6.6752878 49.7484544))",,"[9017324178, 9017324176, 9017324175, 9017324177, 9017324178]",
way,974356910,parking_space,,,"POLYGON ((6.6753164 49.7484708, 6.6752878 49.7484544, 6.6752439 49.7484862, 6.6752725 49.7485027, 6.6753164 49.7484708))",,"[9017324180, 9017324178, 9017324177, 9017324179, 9017324180]",
way,974356911,parking_space,,,"POLYGON ((6.675345 49.7484872, 6.6753164 49.7484708, 6.6752725 49.7485027, 6.6753011 49.7485191, 6.675345 49.7484872))",,"[9017324182, 9017324180, 9017324179, 9017324181, 9017324182]",
way,974356912,parking_space,,,"POLYGON ((6.6753734 49.7485036, 6.675345 49.7484872, 6.6753011 49.7485191, 6.6753295 49.7485354, 6.6753734 49.7485036))",,"[9017324184, 9017324182, 9017324181, 9017324183, 9017324184]",
way,974356913,parking_space,,,"POLYGON ((6.6754022 49.7485201, 6.6753734 49.7485036, 6.6753295 49.7485354, 6.6753584 49.748552, 6.6754022 49.7485201))",,"[9017324186, 9017324184, 9017324183, 9017324185, 9017324186]",
way,974356914,parking_space,,,"POLYGON ((6.6754305 49.7485363, 6.6754022 49.7485201, 6.6753584 49.748552, 6.6753866 49.7485682, 6.6754305 49.7485363))",,"[9017324188, 9017324186, 9017324185, 9017324187, 9017324188]",
way,974356915,parking_space,,,"POLYGON ((6.6763766 49.7485906, 6.6763409 49.7486286, 6.6763833 49.7486452, 6.676419 49.7486072, 6.6763766 49.7485906))",,"[9017324195, 9017324194, 9017324193, 9017324192, 9017324195]",
way,974356916,parking_space,,,"POLYGON ((6.6756391 49.7483525, 6.6756683 49.7483637, 6.675702 49.7483272, 6.6756728 49.748316, 6.6756391 49.7483525))",,"[9017324197, 9017324207, 9017324206, 9017324196, 9017324197]",
way,974356917,parking_space,,,"POLYGON ((6.67561 49.7483412, 6.6756391 49.7483525, 6.6756728 49.748316, 6.6756437 49.7483047, 6.67561 49.7483412))",,"[9017324199, 9017324197, 9017324196, 9017324198, 9017324199]",
